doc_type,msi_variant,n,pearson_r,pearson_p,spearman_r,spearman_p
statement,msi_signed_per_1000,39,-0.113,0.4916,-0.062,0.7061
statement,msi_avg_modal_strength,39,-0.325,0.0436,-0.352,0.0281
statement,msi_modal_density,39,0.03,0.8543,0.138,0.4016
statement,msi_total_density,39,0.041,0.8062,0.117,0.4766
minutes,msi_signed_per_1000,39,0.179,0.2745,0.127,0.4408
minutes,msi_avg_modal_strength,39,0.208,0.204,0.134,0.4159
minutes,msi_modal_density,39,-0.203,0.215,-0.139,0.3988
minutes,msi_total_density,39,0.064,0.6965,0.088,0.5932
press_conf_transcript,msi_signed_per_1000,39,0.268,0.0988,0.22,0.1791
press_conf_transcript,msi_avg_modal_strength,39,0.225,0.1685,0.121,0.4615
press_conf_transcript,msi_modal_density,39,0.113,0.4923,0.252,0.1214
press_conf_transcript,msi_total_density,39,0.1,0.5434,0.158,0.3371
