meeting_date,label,delta_pct,horizon,prior_meeting
2015-09-17,baseline,,2016,
2015-12-16,neutral,0.0,2016,2015-09-17
2016-03-16,dovish,-0.5,2017,2015-12-16
2016-06-15,dovish,-0.3,2017,2016-03-16
2016-09-21,dovish,-0.5,2017,2016-06-15
2016-12-14,hawkish,0.3,2017,2016-09-21
2017-09-20,neutral,0.0,2018,2016-12-14
2017-12-13,neutral,0.0,2018,2017-09-20
2018-03-21,hawkish,0.2,2019,2017-12-13
2018-06-13,hawkish,0.2,2019,2018-03-21
2018-09-26,neutral,0.0,2019,2018-06-13
2018-12-19,dovish,-0.2,2019,2018-09-26
2019-03-20,dovish,-0.5,2020,2018-12-19
2019-06-19,dovish,-0.5,2020,2019-03-20
2019-09-18,dovish,-0.2,2020,2019-06-19
2019-12-11,dovish,-0.3,2020,2019-09-18
2020-06-10,dovish,-1.8,2021,2019-12-11
2020-09-16,neutral,0.0,2021,2020-06-10
2020-12-16,neutral,0.0,2021,2020-09-16
2021-03-17,neutral,0.0,2022,2020-12-16
2021-06-16,neutral,0.0,2022,2021-03-17
2021-09-22,hawkish,0.2,2022,2021-06-16
2021-12-15,hawkish,0.6,2022,2021-09-22
2022-03-16,hawkish,1.2,2023,2021-12-15
2022-06-15,hawkish,1.0,2023,2022-03-16
2022-09-21,hawkish,0.8,2023,2022-06-15
2022-12-14,hawkish,0.5,2023,2022-09-21
2023-03-22,hawkish,0.2,2024,2022-12-14
2023-06-14,hawkish,0.3,2024,2023-03-22
2023-09-20,hawkish,0.5,2024,2023-06-14
2023-12-13,dovish,-0.5,2024,2023-09-20
2024-03-20,hawkish,0.3,2025,2023-12-13
2024-06-12,hawkish,0.2,2025,2024-03-20
2024-09-18,dovish,-0.7,2025,2024-06-12
2024-12-18,hawkish,0.5,2025,2024-09-18
2025-03-19,neutral,0.0,2026,2024-12-18
2025-06-18,hawkish,0.2,2026,2025-03-19
2025-09-17,dovish,-0.2,2026,2025-06-18
2025-12-10,neutral,0.0,2026,2025-09-17
2026-03-18,neutral,0.0,2027,2025-12-10
