lm_strong_modal_n,lm_weak_modal_n,lm_uncertainty_n,lm_strong_per_1000,lm_weak_per_1000,lm_uncertainty_per_1000,lm_net_modal_per_1000,lm_strong_minus_weak,n_tokens,doc_id,doc_type,date,chair
7,2,7,12.774,3.65,12.774,9.124,5,548,statement_20100127,statement,2010-01-27,Bernanke
4,2,6,8.909,4.454,13.363,4.454,2,449,statement_20100316,statement,2010-03-16,Bernanke
3,2,6,7.229,4.819,14.458,2.41,1,415,statement_20100428,statement,2010-04-28,Bernanke
3,3,7,8.219,8.219,19.178,0.0,0,365,statement_20100623,statement,2010-06-23,Bernanke
7,0,5,15.119,0.0,10.799,15.119,7,463,statement_20100810,statement,2010-08-10,Bernanke
4,1,5,9.259,2.315,11.574,6.944,3,432,statement_20100921,statement,2010-09-21,Bernanke
7,2,7,14.113,4.032,14.113,10.081,5,496,statement_20101103,statement,2010-11-03,Bernanke
7,2,5,14.141,4.04,10.101,10.101,5,495,statement_20101214,statement,2010-12-14,Bernanke
6,1,3,13.636,2.273,6.818,11.364,5,440,statement_20110126,statement,2011-01-26,Bernanke
7,2,5,14.989,4.283,10.707,10.707,5,467,statement_20110315,statement,2011-03-15,Bernanke
7,1,3,14.989,2.141,6.424,12.848,6,467,statement_20110427,statement,2011-04-27,Bernanke
8,1,4,17.354,2.169,8.677,15.184,7,461,statement_20110622,statement,2011-06-22,Bernanke
6,2,7,11.342,3.781,13.233,7.561,4,529,statement_20110809,statement,2011-08-09,Bernanke
7,1,5,11.667,1.667,8.333,10.0,6,600,statement_20110921,statement,2011-09-21,Bernanke
5,3,7,10.04,6.024,14.056,4.016,2,498,statement_20111102,statement,2011-11-02,Bernanke
5,2,7,11.287,4.515,15.801,6.772,3,443,statement_20111213,statement,2011-12-13,Bernanke
3,1,5,6.977,2.326,11.628,4.651,2,430,statement_20120125,statement,2012-01-25,Bernanke
4,1,6,9.091,2.273,13.636,6.818,3,440,statement_20120313,statement,2012-03-13,Bernanke
3,2,7,6.682,4.454,15.59,2.227,1,449,statement_20120425,statement,2012-04-25,Bernanke
2,3,8,3.906,5.859,15.625,-1.953,-1,512,statement_20120620,statement,2012-06-20,Bernanke
4,3,7,8.529,6.397,14.925,2.132,1,469,statement_20120801,statement,2012-08-01,Bernanke
7,3,6,12.174,5.217,10.435,6.957,4,575,statement_20120913,statement,2012-09-13,Bernanke
9,3,6,16.043,5.348,10.695,10.695,6,561,statement_20121024,statement,2012-10-24,Bernanke
13,4,9,18.466,5.682,12.784,12.784,9,704,statement_20121212,statement,2012-12-12,Bernanke
12,4,10,18.127,6.042,15.106,12.085,8,662,statement_20130130,statement,2013-01-30,Bernanke
10,4,10,15.221,6.088,15.221,9.132,6,657,statement_20130320,statement,2013-03-20,Bernanke
10,4,10,14.641,5.857,14.641,8.785,6,683,statement_20130501,statement,2013-05-01,Bernanke
11,3,8,15.471,4.219,11.252,11.252,8,711,statement_20130619,statement,2013-06-19,Bernanke
10,4,9,14.006,5.602,12.605,8.403,6,714,statement_20130731,statement,2013-07-31,Bernanke
12,4,11,14.76,4.92,13.53,9.84,8,813,statement_20130918,statement,2013-09-18,Bernanke
12,5,12,15.171,6.321,15.171,8.85,7,791,statement_20131030,statement,2013-10-30,Bernanke
15,4,9,16.835,4.489,10.101,12.346,11,891,statement_20131218,statement,2013-12-18,Bernanke
14,3,7,16.393,3.513,8.197,12.881,11,854,statement_20140129,statement,2014-01-29,Bernanke
13,3,10,14.428,3.33,11.099,11.099,10,901,statement_20140319,statement,2014-03-19,Yellen
13,5,10,15.532,5.974,11.947,9.558,8,837,statement_20140430,statement,2014-04-30,Yellen
13,4,9,15.777,4.854,10.922,10.922,9,824,statement_20140618,statement,2014-06-18,Yellen
12,6,12,13.667,6.834,13.667,6.834,6,878,statement_20140730,statement,2014-07-30,Yellen
13,7,15,14.115,7.6,16.287,6.515,6,921,statement_20140917,statement,2014-09-17,Yellen
