doc_id,doc_type,date,chair,n_tokens,modal_count,epistemic_count,msi_modal_density,msi_epistemic_density,msi_total_density,msi_avg_modal_strength,msi_avg_epistemic_strength,msi_signed_per_1000
minutes_20100127,minutes,2010-01-27,Bernanke,11574,142,65,9.184,3.223,12.407,0.749,0.574,7.43
minutes_20100316,minutes,2010-03-16,Bernanke,6771,52,50,6.07,4.076,10.146,0.79,0.552,2.954
minutes_20100428,minutes,2010-04-28,Bernanke,7204,70,56,8.065,4.317,12.382,0.83,0.555,7.218
minutes_20100623,minutes,2010-06-23,Bernanke,8078,60,64,5.88,4.283,10.163,0.792,0.541,3.838
minutes_20100810,minutes,2010-08-10,Bernanke,6829,48,60,5.623,5.154,10.778,0.8,0.587,4.686
minutes_20100921,minutes,2010-09-21,Bernanke,6168,35,49,4.54,4.653,9.193,0.8,0.586,5.35
minutes_20101103,minutes,2010-11-03,Bernanke,7237,57,61,6.425,4.588,11.013,0.816,0.544,4.698
minutes_20101214,minutes,2010-12-14,Bernanke,6837,41,49,4.505,4.315,8.82,0.751,0.602,4.534
minutes_20110126,minutes,2011-01-26,Bernanke,10666,86,63,5.419,3.441,8.86,0.672,0.583,3.75
minutes_20110315,minutes,2011-03-15,Bernanke,6909,43,55,4.733,4.53,9.263,0.76,0.569,3.908
minutes_20110427,minutes,2011-04-27,Bernanke,7901,88,53,9.012,3.949,12.96,0.809,0.589,8.607
minutes_20110622,minutes,2011-06-22,Bernanke,7600,65,76,6.829,6.079,12.908,0.798,0.608,8.421
minutes_20110809,minutes,2011-08-09,Bernanke,6749,48,72,5.438,6.016,11.454,0.765,0.564,5.927
minutes_20110921,minutes,2011-09-21,Bernanke,8587,82,77,7.465,4.716,12.181,0.782,0.526,5.706
minutes_20111102,minutes,2011-11-02,Bernanke,7824,73,69,7.157,4.946,12.104,0.767,0.561,6.135
minutes_20111213,minutes,2011-12-13,Bernanke,7759,77,57,7.669,4.111,11.78,0.773,0.56,6.186
minutes_20120125,minutes,2012-01-25,Bernanke,10829,98,79,6.381,4.192,10.573,0.705,0.575,4.894
minutes_20120313,minutes,2012-03-13,Bernanke,6412,48,59,5.583,5.334,10.917,0.746,0.58,4.211
minutes_20120425,minutes,2012-04-25,Bernanke,7099,74,70,7.381,5.578,12.96,0.708,0.566,5.071
minutes_20120620,minutes,2012-06-20,Bernanke,8070,73,84,7.299,6.035,13.333,0.807,0.58,7.931
minutes_20120801,minutes,2012-08-01,Bernanke,7212,64,76,6.461,5.713,12.174,0.728,0.542,4.021
minutes_20120913,minutes,2012-09-13,Bernanke,7589,80,64,7.919,4.533,12.452,0.751,0.537,5.93
minutes_20121023,minutes,2012-10-23,Bernanke,6951,58,62,6.258,4.848,11.106,0.75,0.544,2.59
minutes_20121024,minutes,2012-10-24,Bernanke,6645,58,66,6.546,5.403,11.949,0.75,0.544,2.859
minutes_20121212,minutes,2012-12-12,Bernanke,7662,69,65,7.126,4.516,11.642,0.791,0.532,4.437
minutes_20130130,minutes,2013-01-30,Bernanke,11109,122,74,7.606,3.502,11.108,0.693,0.526,4.501
minutes_20130320,minutes,2013-03-20,Bernanke,7296,86,73,8.333,5.304,13.638,0.707,0.53,3.838
minutes_20130501,minutes,2013-05-01,Bernanke,6938,62,51,6.601,4.511,11.113,0.739,0.614,5.621
minutes_20130619,minutes,2013-06-19,Bernanke,8245,79,81,8.065,5.931,13.996,0.842,0.604,9.096
minutes_20130731,minutes,2013-07-31,Bernanke,7237,81,60,8.539,4.588,13.127,0.763,0.553,6.218
minutes_20130918,minutes,2013-09-18,Bernanke,8319,81,82,7.224,5.337,12.562,0.742,0.541,4.327
minutes_20131030,minutes,2013-10-30,Bernanke,7700,95,83,8.818,5.649,14.468,0.715,0.524,4.805
minutes_20131218,minutes,2013-12-18,Bernanke,8920,98,92,8.363,5.729,14.092,0.761,0.555,5.942
minutes_20140129,minutes,2014-01-29,Bernanke,12163,147,83,9.068,3.749,12.818,0.75,0.549,7.071
minutes_20140319,minutes,2014-03-19,Yellen,8430,103,92,9.336,6.24,15.575,0.764,0.572,7.592
minutes_20140430,minutes,2014-04-30,Yellen,6860,54,55,6.851,4.592,11.443,0.87,0.573,7.289
minutes_20140618,minutes,2014-06-18,Yellen,8697,100,92,9.153,6.163,15.316,0.796,0.583,9.314
minutes_20140730,minutes,2014-07-30,Yellen,8117,80,80,7.552,5.716,13.268,0.766,0.58,6.899
minutes_20140917,minutes,2014-09-17,Yellen,9270,105,87,8.738,5.361,14.099,0.771,0.571,7.012
minutes_20141029,minutes,2014-10-29,Yellen,8425,99,101,8.475,6.588,15.062,0.721,0.55,5.104
minutes_20141217,minutes,2014-12-17,Yellen,7658,89,96,8.462,7.469,15.931,0.728,0.596,8.88
minutes_20150128,minutes,2015-01-28,Yellen,14590,201,130,9.047,4.736,13.783,0.657,0.532,5.003
minutes_20150318,minutes,2015-03-18,Yellen,8642,107,88,9.662,5.751,15.413,0.78,0.565,8.91
minutes_20150429,minutes,2015-04-29,Yellen,7690,68,93,6.801,6.931,13.732,0.769,0.573,7.022
minutes_20150617,minutes,2015-06-17,Yellen,8186,87,73,7.83,5.338,13.169,0.737,0.599,6.963
minutes_20150729,minutes,2015-07-29,Yellen,8543,90,72,8.369,4.905,13.274,0.794,0.582,7.492
minutes_20150917,minutes,2015-09-17,Yellen,7533,76,84,7.447,6.651,14.098,0.738,0.596,6.77
minutes_20151028,minutes,2015-10-28,Yellen,8169,84,87,8.006,6.133,14.139,0.779,0.576,7.712
minutes_20151216,minutes,2015-12-16,Yellen,7741,75,73,7.712,5.736,13.448,0.796,0.608,9.043
minutes_20160127,minutes,2016-01-27,Yellen,13800,162,109,8.413,4.493,12.906,0.717,0.569,7.609
minutes_20160316,minutes,2016-03-16,Yellen,7843,64,77,6.324,5.827,12.151,0.775,0.594,7.013
minutes_20160427,minutes,2016-04-27,Yellen,9416,87,105,6.691,6.223,12.914,0.724,0.558,4.779
minutes_20160615,minutes,2016-06-15,Yellen,8433,70,85,6.451,5.751,12.202,0.777,0.571,6.759
minutes_20160727,minutes,2016-07-27,Yellen,10412,81,109,6.166,6.099,12.265,0.793,0.583,7.011
minutes_20160921,minutes,2016-09-21,Yellen,10888,105,98,7.256,5.309,12.564,0.752,0.59,7.623
minutes_20161102,minutes,2016-11-02,Yellen,9379,86,98,7.037,5.928,12.965,0.767,0.567,7.463
minutes_20161214,minutes,2016-12-14,Yellen,8495,72,84,6.439,5.792,12.231,0.76,0.586,6.474
minutes_20170201,minutes,2017-02-01,Yellen,12621,126,100,7.282,4.596,11.877,0.729,0.58,6.022
minutes_20170315,minutes,2017-03-15,Yellen,9146,85,87,7.555,5.543,13.099,0.813,0.583,8.638
minutes_20170503,minutes,2017-05-03,Yellen,8702,76,96,7.067,6.458,13.526,0.809,0.585,7.814
minutes_20170614,minutes,2017-06-14,Yellen,8969,95,86,8.73,5.842,14.572,0.824,0.609,10.592
minutes_20170726,minutes,2017-07-26,Yellen,7616,70,89,6.985,6.92,13.905,0.76,0.592,6.828
minutes_20170920,minutes,2017-09-20,Yellen,8857,85,101,7.587,6.898,14.486,0.791,0.605,8.129
minutes_20171101,minutes,2017-11-01,Yellen,7693,63,89,6.408,6.824,13.233,0.783,0.59,7.929
minutes_20171213,minutes,2017-12-13,Yellen,7587,68,75,7.038,5.602,12.64,0.785,0.567,6.854
minutes_20180131,minutes,2018-01-31,Yellen,12414,123,100,7.0,4.761,11.761,0.707,0.591,5.8
minutes_20180321,minutes,2018-03-21,Powell,7479,62,83,6.993,6.525,13.518,0.844,0.588,6.819
minutes_20180502,minutes,2018-05-02,Powell,8157,77,75,7.012,5.627,12.639,0.743,0.612,8.336
minutes_20180613,minutes,2018-06-13,Powell,7340,53,61,4.946,5.054,10.0,0.685,0.608,5.586
minutes_20180801,minutes,2018-08-01,Powell,8462,82,68,6.452,4.632,11.085,0.666,0.576,4.491
minutes_20180926,minutes,2018-09-26,Powell,7315,64,60,6.562,4.921,11.483,0.75,0.6,6.972
minutes_20181108,minutes,2018-11-08,Powell,8434,69,71,5.62,4.565,10.185,0.687,0.542,3.438
minutes_20181219,minutes,2018-12-19,Powell,8601,72,71,5.906,4.895,10.801,0.706,0.593,6.046
minutes_20190130,minutes,2019-01-30,Powell,14344,145,84,6.93,3.193,10.123,0.686,0.545,3.625
minutes_20190320,minutes,2019-03-20,Powell,9805,101,97,7.874,5.599,13.473,0.764,0.566,6.629
minutes_20190501,minutes,2019-05-01,Powell,9559,92,72,6.946,4.247,11.194,0.722,0.564,4.917
minutes_20190619,minutes,2019-06-19,Powell,8451,80,62,6.863,3.988,10.851,0.725,0.544,4.851
minutes_20190731,minutes,2019-07-31,Powell,10913,82,82,5.874,4.041,9.915,0.782,0.538,4.582
minutes_20190918,minutes,2019-09-18,Powell,10872,94,81,6.356,4.093,10.449,0.735,0.549,4.691
minutes_20191030,minutes,2019-10-30,Powell,12803,148,103,7.592,4.366,11.958,0.657,0.543,3.983
minutes_20191211,minutes,2019-12-11,Powell,8613,73,56,5.503,3.704,9.207,0.649,0.57,2.903
minutes_20200129,minutes,2020-01-29,Powell,13349,158,76,7.858,2.952,10.81,0.664,0.518,3.671
minutes_20200315,minutes,2020-03-15,Powell,10139,94,48,7.752,2.722,10.474,0.836,0.575,6.904
minutes_20200429,minutes,2020-04-29,Powell,9437,104,54,8.212,3.253,11.466,0.745,0.569,6.146
minutes_20200610,minutes,2020-06-10,Powell,10225,111,75,8.098,4.137,12.235,0.746,0.564,5.281
minutes_20200729,minutes,2020-07-29,Powell,9105,79,63,7.172,3.811,10.983,0.827,0.551,5.272
minutes_20200916,minutes,2020-09-16,Powell,10152,102,86,8.333,5.181,13.515,0.829,0.612,9.653
minutes_20201105,minutes,2020-11-05,Powell,9558,93,75,7.146,4.488,11.634,0.734,0.572,6.591
minutes_20201216,minutes,2020-12-16,Powell,8352,63,59,6.07,4.227,10.297,0.805,0.598,7.184
minutes_20210127,minutes,2021-01-27,Powell,12772,105,91,6.272,4.087,10.359,0.763,0.574,5.951
minutes_20210317,minutes,2021-03-17,Powell,8854,72,68,6.167,4.665,10.831,0.758,0.607,7.454
minutes_20210428,minutes,2021-04-28,Powell,8883,81,71,6.484,4.548,11.032,0.711,0.569,6.079
minutes_20210616,minutes,2021-06-16,Powell,9673,93,100,7.474,6.027,13.501,0.777,0.583,7.96
minutes_20210728,minutes,2021-07-28,Powell,10702,118,92,8.139,4.999,13.138,0.738,0.582,7.475
minutes_20210922,minutes,2021-09-22,Powell,8942,79,84,6.52,5.435,11.955,0.738,0.579,5.368
minutes_20211103,minutes,2021-11-03,Powell,8456,77,72,7.474,5.026,12.5,0.821,0.59,8.633
minutes_20211215,minutes,2021-12-15,Powell,9546,91,87,6.945,5.123,12.068,0.729,0.562,6.181
minutes_20220126,minutes,2022-01-26,Powell,13688,143,99,7.569,4.004,11.572,0.724,0.554,5.845
minutes_20220316,minutes,2022-03-16,Powell,8766,79,79,6.719,5.282,12.001,0.746,0.586,7.529
minutes_20220504,minutes,2022-05-04,Powell,7953,68,80,6.966,5.721,12.687,0.815,0.569,6.916
minutes_20220615,minutes,2022-06-15,Powell,8126,61,82,6.375,5.833,12.208,0.849,0.578,7.999
minutes_20220727,minutes,2022-07-27,Powell,8695,86,92,8.074,6.095,14.169,0.816,0.576,7.476
minutes_20220921,minutes,2022-09-21,Powell,7942,62,77,6.547,5.691,12.239,0.839,0.587,7.051
minutes_20221102,minutes,2022-11-02,Powell,8152,65,51,6.195,3.803,9.998,0.777,0.608,5.643
minutes_20221214,minutes,2022-12-14,Powell,7866,50,66,5.327,5.263,10.59,0.838,0.627,7.755
minutes_20230201,minutes,2023-02-01,Powell,8834,70,80,6.079,5.354,11.433,0.767,0.591,7.358
minutes_20230322,minutes,2023-03-22,Powell,7606,55,85,6.1,6.153,12.253,0.844,0.551,5.259
minutes_20230503,minutes,2023-05-03,Powell,8359,72,84,6.149,5.814,11.963,0.714,0.579,5.264
minutes_20230614,minutes,2023-06-14,Powell,7205,51,91,5.496,7.148,12.644,0.776,0.566,5.829
minutes_20230726,minutes,2023-07-26,Powell,7052,54,71,5.672,5.842,11.514,0.741,0.58,5.956
minutes_20230920,minutes,2023-09-20,Powell,6745,60,64,6.731,5.219,11.95,0.757,0.55,4.893
minutes_20231101,minutes,2023-11-01,Powell,7032,55,70,5.262,5.347,10.609,0.673,0.537,2.133
minutes_20231213,minutes,2023-12-13,Powell,6999,63,61,6.93,4.858,11.787,0.77,0.557,5.144
minutes_20240131,minutes,2024-01-31,Powell,7695,50,72,4.665,5.341,10.006,0.718,0.571,5.198
minutes_20240320,minutes,2024-03-20,Powell,7445,70,68,7.132,5.306,12.438,0.759,0.581,7.253
minutes_20240501,minutes,2024-05-01,Powell,7289,67,56,6.572,4.28,10.852,0.715,0.557,5.625
minutes_20240612,minutes,2024-06-12,Powell,6693,52,52,5.394,4.557,9.951,0.694,0.587,4.632
minutes_20240731,minutes,2024-07-31,Powell,6848,43,47,4.366,3.811,8.178,0.695,0.555,3.505
minutes_20240918,minutes,2024-09-18,Powell,6851,45,49,5.094,4.043,9.137,0.776,0.565,5.693
minutes_20241107,minutes,2024-11-07,Powell,7443,44,64,4.595,4.407,9.002,0.777,0.512,3.628
minutes_20241218,minutes,2024-12-18,Powell,7006,48,72,4.896,5.367,10.263,0.715,0.522,3.711
minutes_20250129,minutes,2025-01-29,Powell,8307,53,64,4.574,3.84,8.415,0.717,0.498,1.445
minutes_20250319,minutes,2025-03-19,Powell,7402,50,61,4.539,4.607,9.146,0.672,0.559,3.648
minutes_20250507,minutes,2025-05-07,Powell,7716,57,55,4.588,3.616,8.204,0.621,0.507,1.037
minutes_20250618,minutes,2025-06-18,Powell,7179,55,52,5.767,4.165,9.932,0.753,0.575,5.015
minutes_20250730,minutes,2025-07-30,Powell,7213,57,59,6.003,4.478,10.481,0.76,0.547,4.991
minutes_20250917,minutes,2025-09-17,Powell,6467,37,55,4.5,5.056,9.556,0.786,0.595,6.34
minutes_20251029,minutes,2025-10-29,Powell,8467,81,68,6.897,4.453,11.35,0.721,0.554,5.079
minutes_20251210,minutes,2025-12-10,Powell,7792,66,75,6.661,5.48,12.141,0.786,0.569,8.085
minutes_20260128,minutes,2026-01-28,Powell,6711,45,59,4.932,4.962,9.894,0.736,0.564,4.768
minutes_20260318,minutes,2026-03-18,Powell,6195,38,70,4.73,6.344,11.073,0.771,0.561,5.327
minutes_20260429,minutes,2026-04-29,Powell,6981,47,47,4.928,3.954,8.881,0.732,0.587,5.157
speech_bernanke_20110203a,speech,2011-02-03,Bernanke,3029,45,20,12.578,3.962,16.54,0.847,0.6,11.885
speech_bernanke_20110210a,speech,2011-02-10,Bernanke,4482,56,20,6.247,1.941,8.188,0.5,0.435,-3.793
speech_bernanke_20110218a,speech,2011-02-18,Bernanke,2173,15,4,5.798,1.427,7.225,0.84,0.775,7.363
speech_bernanke_20110302a,speech,2011-03-02,Bernanke,3066,43,11,8.741,2.479,11.22,0.623,0.691,3.262
speech_bernanke_20110323a,speech,2011-03-23,Bernanke,2994,37,13,10.387,2.004,12.391,0.841,0.462,7.682
speech_bernanke_20110404a,speech,2011-04-04,Bernanke,4021,25,12,4.924,1.567,6.491,0.792,0.525,2.984
speech_bernanke_20110429a,speech,2011-04-29,Bernanke,2773,25,5,6.022,1.515,7.537,0.668,0.84,3.967
speech_bernanke_20110505a,speech,2011-05-05,Bernanke,3690,52,18,9.864,2.9,12.764,0.7,0.594,4.878
speech_bernanke_20110512a,speech,2011-05-12,Bernanke,590,3,1,3.898,0.508,4.407,0.767,0.3,0.0
speech_bernanke_20110516a,speech,2011-05-16,Bernanke,4127,40,19,6.542,2.762,9.305,0.675,0.6,3.15
speech_bernanke_20110607a,speech,2011-06-07,Bernanke,4507,44,25,7.056,3.262,10.317,0.723,0.588,5.991
speech_bernanke_20110614a,speech,2011-06-14,Bernanke,2158,48,10,15.57,2.919,18.489,0.7,0.63,12.975
speech_bernanke_20110826a,speech,2011-08-26,Bernanke,3632,62,25,13.271,3.965,17.236,0.777,0.576,9.912
speech_bernanke_20110908a,speech,2011-09-08,Bernanke,2799,24,15,6.181,2.93,9.11,0.721,0.547,4.645
speech_bernanke_20110915a,speech,2011-09-15,Bernanke,601,5,0,6.323,0.0,6.323,0.76,0.0,4.992
speech_bernanke_20110928a,speech,2011-09-28,Bernanke,5164,46,7,5.713,0.93,6.642,0.641,0.686,3.486
speech_bernanke_20111018a,speech,2011-10-18,Bernanke,4073,46,22,7.734,3.044,10.778,0.685,0.564,4.91
speech_bernanke_20111109a,speech,2011-11-09,Bernanke,1213,18,3,10.965,0.907,11.871,0.739,0.367,5.771
speech_bernanke_20111110a,speech,2011-11-10,Bernanke,2336,27,7,7.449,2.14,9.589,0.644,0.714,3.425
speech_bernanke_20120216a,speech,2012-02-16,Bernanke,3893,43,16,8.502,2.749,11.251,0.77,0.669,5.908
speech_bernanke_20120314a,speech,2012-03-14,Bernanke,1478,17,2,8.796,0.88,9.675,0.765,0.65,4.736
speech_bernanke_20120323a,speech,2012-03-23,Bernanke,703,6,1,8.108,1.422,9.531,0.95,1.0,9.957
speech_bernanke_20120326a,speech,2012-03-26,Bernanke,4971,65,31,9.053,2.897,11.949,0.692,0.465,0.604
speech_bernanke_20120409a,speech,2012-04-09,Bernanke,3767,40,13,7.247,1.672,8.92,0.682,0.485,2.124
speech_bernanke_20120413a,speech,2012-04-13,Bernanke,5117,44,14,5.941,1.583,7.524,0.691,0.579,3.713
speech_bernanke_20120510a,speech,2012-05-10,Bernanke,3264,29,15,6.25,2.665,8.915,0.703,0.58,2.757
speech_bernanke_20120724a,speech,2012-07-24,Bernanke,1156,5,4,2.163,1.557,3.72,0.5,0.45,-3.46
speech_bernanke_20120806a,speech,2012-08-06,Bernanke,1757,15,6,5.236,2.22,7.456,0.613,0.65,1.707
speech_bernanke_20120807a,speech,2012-08-07,Bernanke,1243,23,4,10.7,1.77,12.47,0.578,0.55,2.414
speech_bernanke_20120831a,speech,2012-08-31,Bernanke,7431,87,48,8.168,3.566,11.735,0.698,0.552,3.633
speech_bernanke_20121001a,speech,2012-10-01,Bernanke,4510,83,20,14.213,2.528,16.741,0.772,0.57,10.643
speech_bernanke_20121014a,speech,2012-10-14,Bernanke,1788,18,12,8.725,3.915,12.64,0.867,0.583,10.067
speech_bernanke_20121115a,speech,2012-11-15,Bernanke,4016,55,13,9.935,1.619,11.554,0.725,0.5,4.731
speech_bernanke_20121120a,speech,2012-11-20,Bernanke,5054,80,41,11.298,4.313,15.611,0.714,0.532,4.551
speech_bernanke_20130301a,speech,2013-03-01,Bernanke,5577,70,61,8.463,7.011,15.474,0.674,0.641,6.993
speech_bernanke_20130325a,speech,2013-03-25,Bernanke,2604,20,5,4.647,0.998,5.645,0.605,0.52,0.384
speech_bernanke_20130408a,speech,2013-04-08,Bernanke,4365,33,34,5.956,4.307,10.263,0.788,0.553,5.498
speech_bernanke_20130412a,speech,2013-04-12,Bernanke,3744,25,10,4.06,1.576,5.636,0.608,0.59,1.335
speech_bernanke_20130510a,speech,2013-05-10,Bernanke,4501,41,24,5.51,2.666,8.176,0.605,0.5,1.333
speech_bernanke_20130518a,speech,2013-05-18,Bernanke,2842,37,14,10.837,1.97,12.808,0.832,0.4,4.926
speech_bernanke_20130602a,speech,2013-06-02,Bernanke,1888,36,8,15.36,2.119,17.479,0.806,0.5,10.593
speech_bernanke_20130710a,speech,2013-07-10,Bernanke,7172,47,15,4.615,1.115,5.731,0.704,0.533,3.067
speech_bernanke_20131002a,speech,2013-10-02,Bernanke,1157,15,3,11.322,1.124,12.446,0.873,0.433,8.643
speech_bernanke_20131014a,speech,2013-10-14,Bernanke,1411,5,2,3.118,0.425,3.544,0.88,0.3,2.126
speech_bernanke_20131108a,speech,2013-11-08,Bernanke,2550,13,12,3.216,2.706,5.922,0.631,0.575,1.176
speech_bernanke_20131113a,speech,2013-11-13,Bernanke,1259,16,2,8.261,0.477,8.737,0.65,0.3,2.383
speech_bernanke_20131114a,speech,2013-11-14,Bernanke,580,6,2,6.897,1.724,8.621,0.667,0.5,1.724
speech_bernanke_20131119a,speech,2013-11-19,Bernanke,6461,93,53,10.525,4.721,15.245,0.731,0.575,6.81
speech_bernanke_20131216a,speech,2013-12-16,Bernanke,1327,5,7,2.864,3.391,6.255,0.76,0.643,1.507
speech_bernanke_20131216b,speech,2013-12-16,Bernanke,825,17,3,18.788,2.061,20.848,0.912,0.567,18.182
speech_bernanke_20140103a,speech,2014-01-03,Bernanke,7462,61,42,6.178,3.297,9.475,0.756,0.586,3.752
speech_powell_20180213a,speech,2018-02-13,Powell,764,16,2,15.707,1.047,16.754,0.75,0.4,10.471
