n,phrase,count
2,would be,2364
2,will be,1447
2,i would,1262
2,we ’ll,911
2,it would,872
2,we will,841
2,committee will,810
2,that would,755
2,could be,741
2,we can,711
2,will continue,700
2,that could,664
2,may be,650
2,it will,566
2,that will,507
2,would say,482
2,i will,478
2,might be,471
2,we would,461
2,committee would,460
2,can be,422
2,will take,418
2,you can,396
2,would likely,395
2,should be,392
2,’ll be,386
2,inflation would,339
2,it ’s,326
2,they would,306
2,would continue,305
2,ca n,301
2,would n,301
2,would have,295
2,can you,259
2,inflation will,258
2,may have,257
2,rate would,245
2,you could,237
2,i ’ll,235
2,and will,232
2,you would,222
2,would you,220
2,rate will,213
2,it could,209
2,would not,203
2,that might,195
2,that may,194
2,would take,193
2,shall be,190
2,i ’d,178
2,it may,176
2,will have,168
2,could impede,165
2,would like,163
2,we ’d,160
2,can do,157
2,we should,157
2,you will,154
2,could have,153
2,wo n,153
2,will depend,149
2,policy will,147
2,we could,147
2,and would,146
2,would depend,146
2,could you,146
2,what would,144
2,must be,141
2,i could,141
2,will likely,140
2,can not,140
2,it might,138
2,will remain,136
2,policy would,136
2,would remain,135
2,it can,129
2,that can,127
2,would need,123
2,will not,119
2,i can,119
2,may not,118
2,you ’ll,118
2,conditions will,117
2,will assess,116
2,conditions would,115
2,can see,115
2,could lead,114
2,inflation could,114
2,can to,114
2,will do,114
2,economy will,112
2,they will,109
2,’d like,109
2,assessment will,108
2,’ll have,108
2,might have,106
2,would help,106
2,would just,106
2,i ca,104
2,will move,101
2,assessments will,100
2,should help,99
2,they can,98
2,’ll see,97
2,will carefully,96
2,there will,95
2,might not,93
2,which would,93
2,which could,93
2,growth would,92
2,’ll go,92
2,will also,91
2,could help,91
2,that should,90
2,would also,89
2,should not,86
2,will help,86
2,would expand,86
2,could affect,85
2,’s it,85
2,it ’ll,84
2,committee should,83
2,we ca,83
2,economy would,81
2,activity will,80
2,activity would,79
2,would expect,79
2,we may,79
2,will expand,77
2,could also,76
2,would move,76
2,’d be,76
2,will keep,73
2,will need,73
2,will evolve,71
2,and could,71
2,we might,71
2,will you,71
2,conditions may,70
2,committee could,70
2,will come,70
2,fed will,70
2,what will,70
2,would increase,69
2,purchases would,69
2,there may,69
2,can say,69
2,they could,67
2,can we,67
2,rates would,65
3,the committee will,809
3,will continue to,536
3,it would be,465
3,the committee would,458
3,i would say,440
3,that it would,376
3,ca n t,301
3,would n t,301
3,committee will continue,271
3,would be appropriate,267
3,committee would be,258
