doc_id,doc_type,date,chair,n_tokens,n_sents,modal_count,modals_per_1000,epistemic_count,epistemics_per_1000,mod_can,mod_constraintsâwould,mod_contactâwould,mod_could,mod_employmentâwould,mod_help,mod_hispanicsâwould,mod_hospitalityâwould,mod_indebtednessâcould,mod_may,mod_might,mod_must,mod_need,mod_nextâafter,mod_ought,mod_pricesâwould,mod_servicesâwould,mod_shall,mod_should,mod_will,mod_would,mod_’d,mod_’ll,mod_’s
statement_20100127,statement,2010-01-27,Bernanke,568,18,7,12.324,7,12.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
statement_20100316,statement,2010-03-16,Bernanke,459,14,5,10.893,6,13.072,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
statement_20100428,statement,2010-04-28,Bernanke,420,13,4,9.524,6,14.286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20100623,statement,2010-06-23,Bernanke,368,13,4,10.87,6,16.304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20100810,statement,2010-08-10,Bernanke,474,18,7,14.768,10,21.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
statement_20100921,statement,2010-09-21,Bernanke,435,16,4,9.195,9,20.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
statement_20101103,statement,2010-11-03,Bernanke,505,20,8,15.842,5,9.901,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
statement_20101214,statement,2010-12-14,Bernanke,504,18,9,17.857,4,7.937,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0
statement_20110126,statement,2011-01-26,Bernanke,447,15,5,11.186,4,8.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
statement_20110315,statement,2011-03-15,Bernanke,474,16,6,12.658,5,10.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
statement_20110427,statement,2011-04-27,Bernanke,473,16,6,12.685,5,10.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
statement_20110622,statement,2011-06-22,Bernanke,468,17,7,14.957,8,17.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
statement_20110809,statement,2011-08-09,Bernanke,534,21,7,13.109,9,16.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
statement_20110921,statement,2011-09-21,Bernanke,614,25,8,13.029,7,11.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
statement_20111102,statement,2011-11-02,Bernanke,503,18,5,9.94,7,13.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
statement_20111213,statement,2011-12-13,Bernanke,446,16,5,11.211,7,15.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
statement_20120125,statement,2012-01-25,Bernanke,436,15,3,6.881,8,18.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20120313,statement,2012-03-13,Bernanke,446,17,4,8.969,10,22.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
statement_20120425,statement,2012-04-25,Bernanke,455,18,3,6.593,11,24.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20120620,statement,2012-06-20,Bernanke,520,21,3,5.769,8,15.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
statement_20120801,statement,2012-08-01,Bernanke,474,17,4,8.439,9,18.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
statement_20120913,statement,2012-09-13,Bernanke,583,21,9,15.437,7,12.007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0,0,0
statement_20121024,statement,2012-10-24,Bernanke,569,20,11,19.332,7,12.302,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,1,0,0,0
statement_20121212,statement,2012-12-12,Bernanke,715,24,14,19.58,6,8.392,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,0,0,0,0
statement_20130130,statement,2013-01-30,Bernanke,673,21,13,19.316,8,11.887,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
statement_20130320,statement,2013-03-20,Bernanke,672,21,12,17.857,8,11.905,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
statement_20130501,statement,2013-05-01,Bernanke,698,22,12,17.192,8,11.461,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
statement_20130619,statement,2013-06-19,Bernanke,726,21,13,17.906,9,12.397,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
statement_20130731,statement,2013-07-31,Bernanke,729,21,13,17.833,6,8.23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
statement_20130918,statement,2013-09-18,Bernanke,832,22,17,20.433,8,9.615,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
statement_20131030,statement,2013-10-30,Bernanke,810,23,16,19.753,8,9.877,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
statement_20131218,statement,2013-12-18,Bernanke,919,25,18,19.587,12,13.058,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,14,0,0,0,0
statement_20140129,statement,2014-01-29,Bernanke,882,25,17,19.274,8,9.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
statement_20140319,statement,2014-03-19,Yellen,930,29,17,18.28,12,12.903,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,13,0,0,0,0
statement_20140430,statement,2014-04-30,Yellen,860,27,17,19.767,11,12.791,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,13,0,0,0,0
statement_20140618,statement,2014-06-18,Yellen,847,26,17,20.071,11,12.987,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,13,0,0,0,0
statement_20140730,statement,2014-07-30,Yellen,902,27,15,16.63,12,13.304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,0,0,0,0
statement_20140917,statement,2014-09-17,Yellen,946,28,16,16.913,13,13.742,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,13,0,0,0,0
statement_20141029,statement,2014-10-29,Yellen,761,26,10,13.141,18,23.653,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0
statement_20141217,statement,2014-12-17,Yellen,764,24,12,15.707,19,24.869,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,0,0,0,0
statement_20150128,statement,2015-01-28,Yellen,590,23,7,11.864,14,23.729,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0
statement_20150318,statement,2015-03-18,Yellen,607,23,8,13.18,10,16.474,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0
statement_20150429,statement,2015-04-29,Yellen,584,21,8,13.699,8,13.699,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0
statement_20150617,statement,2015-06-17,Yellen,569,20,8,14.06,8,14.06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0
statement_20150729,statement,2015-07-29,Yellen,562,20,8,14.235,8,14.235,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0
statement_20150917,statement,2015-09-17,Yellen,612,22,9,14.706,9,14.706,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0
statement_20151028,statement,2015-10-28,Yellen,603,21,9,14.925,8,13.267,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0
statement_20151216,statement,2015-12-16,Yellen,618,21,10,16.181,10,16.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
statement_20160127,statement,2016-01-27,Yellen,589,20,9,15.28,10,16.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
statement_20160316,statement,2016-03-16,Yellen,602,22,9,14.95,9,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
statement_20160427,statement,2016-04-27,Yellen,607,22,9,14.827,9,14.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
statement_20160615,statement,2016-06-15,Yellen,571,21,9,15.762,9,15.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
statement_20160727,statement,2016-07-27,Yellen,597,23,9,15.075,9,15.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
statement_20160921,statement,2016-09-21,Yellen,635,23,9,14.173,10,15.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
statement_20161102,statement,2016-11-02,Yellen,629,23,9,14.308,10,15.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
statement_20161214,statement,2016-12-14,Yellen,568,21,9,15.845,10,17.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
statement_20170201,statement,2017-02-01,Yellen,530,21,10,18.868,9,16.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
statement_20170315,statement,2017-03-15,Yellen,552,21,10,18.116,9,16.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
statement_20170503,statement,2017-05-03,Yellen,549,22,10,18.215,10,18.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
statement_20170614,statement,2017-06-14,Yellen,584,22,9,15.411,11,18.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0
statement_20170726,statement,2017-07-26,Yellen,538,20,8,14.87,11,20.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
statement_20170920,statement,2017-09-20,Yellen,565,21,11,19.469,11,19.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
statement_20171101,statement,2017-11-01,Yellen,543,21,9,16.575,10,18.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
statement_20171213,statement,2017-12-13,Yellen,515,20,8,15.534,9,17.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
statement_20180131,statement,2018-01-31,Yellen,448,17,8,17.857,9,20.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
statement_20180321,statement,2018-03-21,Powell,477,19,8,16.771,9,18.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
statement_20180502,statement,2018-05-02,Powell,450,18,8,17.778,9,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
statement_20180613,statement,2018-06-13,Powell,345,14,3,8.696,4,11.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20180801,statement,2018-08-01,Powell,333,14,3,9.009,4,12.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20180926,statement,2018-09-26,Powell,315,13,3,9.524,4,12.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20181108,statement,2018-11-08,Powell,328,13,3,9.146,4,12.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20181219,statement,2018-12-19,Powell,355,13,4,11.268,6,16.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
statement_20190130,statement,2019-01-30,Powell,355,13,4,11.268,3,8.451,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20190320,statement,2019-03-20,Powell,371,13,4,10.782,3,8.086,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20190501,statement,2019-05-01,Powell,347,13,4,11.527,3,8.646,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20190619,statement,2019-06-19,Powell,384,14,4,10.417,3,7.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
statement_20190731,statement,2019-07-31,Powell,433,15,5,11.547,3,6.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
statement_20190918,statement,2019-09-18,Powell,419,15,4,9.547,3,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
statement_20191011,statement,2019-10-11,Powell,752,16,8,10.638,3,3.989,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
statement_20191030,statement,2019-10-30,Powell,378,14,3,7.937,4,10.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20191211,statement,2019-12-11,Powell,337,13,3,8.902,4,11.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20200129,statement,2020-01-29,Powell,337,13,3,8.902,4,11.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
statement_20200303,statement,2020-03-03,Powell,152,8,1,6.579,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
statement_20200315,statement,2020-03-15,Powell,726,28,10,13.774,3,4.132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
statement_20200323,statement,2020-03-23,Powell,636,20,7,11.006,1,1.572,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
statement_20200331,statement,2020-03-31,Powell,282,10,6,21.277,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
statement_20200429,statement,2020-04-29,Powell,445,16,8,17.978,3,6.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
statement_20200610,statement,2020-06-10,Powell,448,16,8,17.857,3,6.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
statement_20200729,statement,2020-07-29,Powell,469,17,9,19.19,3,6.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
statement_20200827,statement,2020-08-27,Powell,629,25,5,7.949,2,3.18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0
statement_20200916,statement,2020-09-16,Powell,574,18,10,17.422,5,8.711,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0
statement_20201105,statement,2020-11-05,Powell,491,18,9,18.33,3,6.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
statement_20201216,statement,2020-12-16,Powell,508,18,9,17.717,3,5.906,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
statement_20210127,statement,2021-01-27,Powell,513,18,8,15.595,3,5.848,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
