inflation,employment,tightening,accommodation,lm_neg,lm_pos,sw_hawk_minus_dove,sw_hawk_score,sw_dove_score,n_tokens,doc_id,doc_type,date
9.124,7.299,1.825,9.124,9.124,20.073,-10.949,15.511,26.46,548,statement_20100127,statement,2010-01-27
13.363,8.909,4.454,11.136,15.59,24.499,-6.682,25.612,32.294,449,statement_20100316,statement,2010-03-16
14.458,9.639,7.229,7.229,16.867,24.096,1.205,30.12,28.916,415,statement_20100428,statement,2010-04-28
21.918,10.959,10.959,8.219,19.178,21.918,12.329,42.466,30.137,365,statement_20100623,statement,2010-06-23
17.279,8.639,4.32,8.639,12.959,15.119,3.241,28.078,24.837,463,statement_20100810,statement,2010-08-10
18.519,11.574,4.63,9.259,18.519,16.204,3.473,32.408,28.935,432,statement_20100921,statement,2010-09-21
22.177,12.097,6.048,10.081,24.194,18.145,9.072,40.322,31.25,496,statement_20101103,statement,2010-11-03
22.222,12.121,6.061,8.081,28.283,20.202,12.122,42.425,30.303,495,statement_20101214,statement,2010-12-14
25.0,13.636,0.0,6.818,20.455,22.727,3.41,35.227,31.818,440,statement_20110126,statement,2011-01-26
34.261,8.565,0.0,6.424,8.565,19.272,13.919,38.544,24.625,467,statement_20110315,statement,2011-03-15
36.403,8.565,2.141,6.424,8.565,19.272,18.201,42.826,24.625,467,statement_20110427,statement,2011-04-27
28.2,10.846,0.0,2.169,23.861,10.846,21.692,40.13,18.438,461,statement_20110622,statement,2011-06-22
26.465,7.561,1.89,1.89,26.465,11.342,26.465,41.587,15.122,529,statement_20110809,statement,2011-08-09
18.333,6.667,1.667,11.667,21.667,11.667,6.666,30.834,24.168,600,statement_20110921,statement,2011-09-21
22.088,8.032,2.008,6.024,18.072,14.056,12.048,33.132,21.084,498,statement_20111102,statement,2011-11-02
20.316,9.029,2.257,6.772,15.801,15.801,6.772,30.474,23.701,443,statement_20111213,statement,2011-12-13
16.279,9.302,0.0,6.977,20.93,18.605,1.163,26.744,25.581,430,statement_20120125,statement,2012-01-25
22.727,9.091,4.545,9.091,15.909,18.182,7.954,35.227,27.273,440,statement_20120313,statement,2012-03-13
22.272,8.909,2.227,6.682,15.59,22.272,5.567,32.294,26.727,449,statement_20120425,statement,2012-04-25
15.625,9.766,0.0,9.766,25.391,17.578,-0.0,28.32,28.321,512,statement_20120620,statement,2012-06-20
17.058,10.661,0.0,8.529,23.454,21.322,-1.066,28.785,29.851,469,statement_20120801,statement,2012-08-01
13.913,10.435,5.217,13.913,17.391,26.087,-9.566,27.825,37.392,575,statement_20120913,statement,2012-09-13
14.26,10.695,1.783,14.26,17.825,26.738,-13.368,24.956,38.324,561,statement_20121024,statement,2012-10-24
18.466,12.784,0.0,12.784,14.205,21.307,-10.653,25.569,36.221,704,statement_20121212,statement,2012-12-12
21.148,13.595,3.021,16.616,15.106,18.127,-7.552,31.722,39.274,662,statement_20130130,statement,2013-01-30
21.309,13.699,4.566,13.699,12.177,18.265,-4.567,31.963,36.531,657,statement_20130320,statement,2013-03-20
21.962,14.641,7.321,16.105,11.713,17.57,-4.392,35.139,39.531,683,statement_20130501,statement,2013-05-01
22.504,15.471,7.032,15.471,14.065,16.878,-2.812,36.569,39.381,711,statement_20130619,statement,2013-06-19
21.008,15.406,7.003,14.006,14.006,16.807,-2.802,35.014,37.816,714,statement_20130731,statement,2013-07-31
19.68,15.99,4.92,12.3,14.76,19.68,-6.15,31.98,38.13,813,statement_20130918,statement,2013-09-18
20.228,15.171,3.793,12.642,13.906,17.699,-5.689,30.974,36.663,791,statement_20131030,statement,2013-10-30
20.202,19.08,4.489,10.101,15.713,16.835,-5.051,32.547,37.599,891,statement_20131218,statement,2013-12-18
19.906,18.735,4.684,10.539,12.881,17.564,-7.025,31.03,38.056,854,statement_20140129,statement,2014-01-29
21.088,18.868,4.44,9.989,12.209,16.648,-5.548,31.633,37.181,901,statement_20140319,statement,2014-03-19
21.505,19.116,4.779,10.753,9.558,17.921,-7.766,31.063,38.829,837,statement_20140430,statement,2014-04-30
21.845,19.417,4.854,12.136,6.068,19.417,-11.529,29.733,41.261,824,statement_20140618,statement,2014-06-18
19.362,20.501,4.556,10.251,11.39,19.362,-10.82,29.613,40.433,878,statement_20140730,statement,2014-07-30
19.544,20.63,4.343,11.944,9.772,20.63,-14.116,28.773,42.889,921,statement_20140917,statement,2014-09-17
28.15,20.107,0.0,12.064,13.405,18.767,-6.702,34.852,41.554,746,statement_20141029,statement,2014-10-29
26.702,18.692,1.335,10.681,13.351,17.356,-3.338,34.713,38.051,749,statement_20141217,statement,2014-12-17
29.01,23.891,0.0,13.652,17.065,22.184,-11.092,37.543,48.635,586,statement_20150128,statement,2015-01-28
28.476,23.451,5.025,10.05,15.075,21.776,-3.351,41.038,44.389,597,statement_20150318,statement,2015-03-18
31.359,24.39,1.742,8.711,17.422,15.679,0.871,41.812,40.941,574,statement_20150429,statement,2015-04-29
32.2,23.256,1.789,10.733,8.945,19.678,-5.367,38.462,43.828,559,statement_20150617,statement,2015-06-17
30.741,25.316,1.808,10.85,10.85,19.892,-8.138,37.974,46.112,553,statement_20150729,statement,2015-07-29
29.95,23.295,6.656,11.647,13.311,18.303,-0.832,43.261,44.093,601,statement_20150917,statement,2015-09-17
28.716,21.959,6.757,11.824,11.824,16.892,-0.844,41.385,42.229,592,statement_20151028,statement,2015-10-28
26.403,18.152,4.95,6.601,11.551,16.502,4.124,37.128,33.004,606,statement_20151216,statement,2015-12-16
27.778,17.361,1.736,5.208,15.625,15.625,6.945,37.326,30.382,576,statement_20160127,statement,2016-01-27
27.257,11.925,3.407,6.814,10.221,17.036,8.518,35.775,27.257,587,statement_20160316,statement,2016-03-16
27.027,13.514,1.689,5.068,11.824,16.892,7.6,34.628,27.028,592,statement_20160427,statement,2016-04-27
28.674,14.337,0.0,5.376,19.713,16.129,10.753,38.531,27.778,558,statement_20160615,statement,2016-06-15
27.491,17.182,3.436,6.873,13.746,13.746,6.872,37.8,30.928,582,statement_20160727,statement,2016-07-27
25.806,12.903,3.226,4.839,11.29,14.516,9.677,34.677,25.0,620,statement_20160921,statement,2016-09-21
24.43,13.029,4.886,4.886,9.772,14.658,8.958,34.202,25.244,614,statement_20161102,statement,2016-11-02
28.829,16.216,3.604,7.207,9.009,12.613,7.208,36.938,29.73,555,statement_20161214,statement,2016-12-14
25.145,15.474,1.934,7.737,3.868,13.54,-0.968,29.013,29.981,517,statement_20170201,statement,2017-02-01
27.829,14.842,3.711,7.421,3.711,11.132,5.566,33.395,27.829,539,statement_20170315,statement,2017-03-15
28.037,14.953,0.0,5.607,9.346,11.215,6.543,32.71,26.167,535,statement_20170503,statement,2017-05-03
24.691,14.109,3.527,5.291,7.055,10.582,7.055,31.745,24.691,567,statement_20170614,statement,2017-06-14
26.871,15.355,0.0,5.758,5.758,11.516,2.879,29.75,26.871,521,statement_20170726,statement,2017-07-26
29.197,14.599,0.0,5.474,12.774,12.774,9.124,35.584,26.46,548,statement_20170920,statement,2017-09-20
32.258,18.975,0.0,5.693,11.385,11.385,7.59,37.951,30.36,527,statement_20171101,statement,2017-11-01
29.94,17.964,1.996,5.988,9.98,11.976,6.986,36.926,29.94,501,statement_20171213,statement,2017-12-13
32.184,20.69,2.299,4.598,2.299,13.793,3.448,35.633,32.184,435,statement_20180131,statement,2018-01-31
30.303,17.316,4.329,4.329,2.165,19.481,4.329,35.715,31.386,462,statement_20180321,statement,2018-03-21
29.885,18.391,0.0,4.598,2.299,16.092,-0.0,31.035,31.035,435,statement_20180502,statement,2018-05-02
30.12,24.096,3.012,6.024,6.024,18.072,-3.012,36.144,39.156,332,statement_20180613,statement,2018-06-13
31.25,25.0,0.0,6.25,3.125,21.875,-9.375,32.812,42.188,320,statement_20180801,statement,2018-08-01
29.703,23.102,3.3,3.3,3.3,19.802,-1.65,34.653,36.303,303,statement_20180926,statement,2018-09-26
28.481,22.152,0.0,3.165,6.329,18.987,-3.165,31.646,34.81,316,statement_20181108,statement,2018-11-08
26.239,20.408,2.915,2.915,2.915,17.493,-1.458,30.611,32.069,343,statement_20181219,statement,2018-12-19
29.24,17.544,0.0,11.696,2.924,14.62,-5.848,30.702,36.55,342,statement_20190130,statement,2019-01-30
30.726,19.553,0.0,11.173,11.173,11.173,0.0,36.312,36.312,358,statement_20190320,statement,2019-03-20
29.94,17.964,0.0,8.982,8.982,11.976,1.497,34.431,32.934,334,statement_20190501,statement,2019-05-01
29.81,18.97,2.71,10.84,8.13,13.55,-0.0,36.585,36.585,369,statement_20190619,statement,2019-06-19
26.506,16.867,2.41,9.639,4.819,12.048,-1.204,31.326,32.53,415,statement_20190731,statement,2019-07-31
27.638,17.588,0.0,12.563,7.538,15.075,-6.282,31.407,37.689,398,statement_20190918,statement,2019-09-18
0.0,0.0,0.0,2.762,5.525,2.762,-1.38,2.763,4.143,724,statement_20191011,statement,2019-10-11
27.701,16.62,0.0,8.31,8.31,13.85,0.001,31.856,31.855,361,statement_20191030,statement,2019-10-30
30.675,18.405,0.0,6.135,6.135,15.337,1.534,33.742,32.209,326,statement_20191211,statement,2019-12-11
30.675,18.405,0.0,6.135,6.135,12.27,3.068,33.742,30.675,326,statement_20200129,statement,2020-01-29
6.993,6.993,0.0,20.979,6.993,20.979,-27.972,10.489,38.462,143,statement_20200303,statement,2020-03-03
16.901,11.268,2.817,11.268,11.268,16.901,-5.634,25.352,30.986,710,statement_20200315,statement,2020-03-15
1.61,1.61,1.61,12.882,4.831,6.441,-12.077,5.636,17.712,621,statement_20200323,statement,2020-03-23
0.0,0.0,0.0,17.606,3.521,10.563,-21.127,1.76,22.888,284,statement_20200331,statement,2020-03-31
22.727,11.364,0.0,11.364,20.455,13.636,3.408,32.954,29.546,440,statement_20200429,statement,2020-04-29
22.573,11.287,2.257,11.287,15.801,15.801,2.256,32.73,30.475,443,statement_20200610,statement,2020-06-10
21.552,12.931,2.155,10.776,12.931,15.086,-1.078,30.172,31.25,464,statement_20200729,statement,2020-07-29
9.202,6.135,1.534,1.534,10.736,12.27,2.3,16.104,13.804,652,statement_20200827,statement,2020-08-27
26.786,14.286,1.786,8.929,14.286,19.643,2.678,35.715,33.037,560,statement_20200916,statement,2020-09-16
27.197,14.644,2.092,10.46,16.736,14.644,5.231,37.657,32.426,478,statement_20201105,statement,2020-11-05
28.571,16.327,2.041,10.204,16.327,18.367,3.061,38.776,35.715,490,statement_20201216,statement,2020-12-16
28.169,16.097,2.012,10.06,20.121,20.121,4.024,40.242,36.218,497,statement_20210127,statement,2021-01-27
24.44,16.293,2.037,10.183,16.293,20.367,-2.036,34.623,36.66,491,statement_20210317,statement,2021-03-17
22.541,14.344,2.049,12.295,14.344,28.689,-9.221,31.762,40.983,488,statement_20210428,statement,2021-04-28
22.634,14.403,4.115,12.346,12.346,28.807,-8.23,32.922,41.153,486,statement_20210616,statement,2021-06-16
22.0,14.0,4.0,12.0,10.0,30.0,-10.0,31.0,41.0,500,statement_20210728,statement,2021-07-28
21.236,13.514,3.861,11.583,11.583,28.958,-8.688,30.889,39.576,518,statement_20210922,statement,2021-09-22
19.231,11.218,6.41,12.821,11.218,20.833,-3.206,31.25,34.456,624,statement_20211103,statement,2021-11-03
14.981,16.854,5.618,14.981,13.109,22.472,-15.917,27.154,43.071,534,statement_20211215,statement,2021-12-15
13.544,13.544,9.029,13.544,13.544,20.316,-7.901,29.345,37.246,443,statement_20220126,statement,2022-01-26
22.222,13.889,11.111,2.778,16.667,19.444,15.278,41.666,26.389,360,statement_20220316,statement,2022-03-16
22.785,10.127,12.658,2.532,17.722,15.19,24.05,44.304,20.254,395,statement_20220504,statement,2022-05-04
23.684,7.895,10.526,2.632,18.421,10.526,27.631,43.421,15.79,380,statement_20220615,statement,2022-06-15
27.523,9.174,9.174,3.058,15.291,12.232,25.995,44.343,18.348,327,statement_20220727,statement,2022-07-27
27.439,9.146,9.146,3.049,15.244,12.195,25.915,44.207,18.293,328,statement_20220921,statement,2022-09-21
27.708,7.557,12.594,2.519,17.632,12.594,32.745,49.118,16.373,397,statement_20221102,statement,2022-11-02
27.708,7.557,12.594,2.519,17.632,12.594,32.745,49.118,16.373,397,statement_20221214,statement,2022-12-14
22.535,8.451,11.268,5.634,16.901,14.085,21.126,42.253,21.128,355,statement_20230201,statement,2023-02-01
23.196,10.309,12.887,2.577,10.309,10.309,23.197,41.237,18.04,388,statement_20230322,statement,2023-03-22
25.424,11.299,11.299,2.825,11.299,8.475,24.011,42.373,18.361,354,statement_20230503,statement,2023-05-03
24.725,10.989,8.242,5.495,10.989,8.242,17.856,38.462,20.605,364,statement_20230614,statement,2023-06-14
25.281,11.236,11.236,5.618,11.236,8.427,21.067,42.135,21.067,356,statement_20230726,statement,2023-07-26
24.931,11.08,8.31,5.54,13.85,11.08,18.006,40.166,22.16,361,statement_20230920,statement,2023-09-20
24.523,10.899,8.174,2.725,10.899,13.624,17.711,38.147,20.436,367,statement_20231101,statement,2023-11-01
23.81,10.582,7.937,5.291,13.228,13.228,15.874,38.361,22.487,378,statement_20231213,statement,2023-12-13
22.472,11.236,5.618,8.427,5.618,19.663,1.405,30.899,29.495,356,statement_20240131,statement,2024-01-31
22.857,11.429,5.714,8.571,5.714,20.0,1.428,31.428,30.0,350,statement_20240320,statement,2024-03-20
21.176,9.412,7.059,7.059,11.765,18.824,8.234,34.117,25.883,425,statement_20240501,statement,2024-05-01
24.793,11.019,5.51,8.264,5.51,22.039,2.755,33.058,30.303,363,statement_20240612,statement,2024-06-12
21.053,10.526,5.263,7.895,5.263,18.421,1.316,28.948,27.631,380,statement_20240731,statement,2024-07-31
21.333,13.333,2.667,8.0,10.667,18.667,-1.333,29.334,30.666,375,statement_20240918,statement,2024-09-18
17.699,17.699,2.95,11.799,5.9,11.799,-11.799,23.599,35.398,339,statement_20241107,statement,2024-11-07
16.484,16.484,2.747,10.989,8.242,10.989,-9.615,23.352,32.968,364,statement_20241218,statement,2024-12-18
18.237,18.237,3.04,6.079,6.079,12.158,-6.079,24.316,30.395,329,statement_20250129,statement,2025-01-29
12.953,12.953,7.772,5.181,15.544,7.772,6.477,28.497,22.02,386,statement_20250319,statement,2025-03-19
17.391,17.391,5.797,5.797,8.696,8.696,0.0,27.536,27.536,345,statement_20250507,statement,2025-05-07
15.723,15.723,3.145,6.289,9.434,6.289,-1.572,23.585,25.157,318,statement_20250618,statement,2025-06-18
14.409,14.409,2.882,5.764,8.646,5.764,-1.441,21.614,23.055,347,statement_20250730,statement,2025-07-30
9.05,4.525,0.0,0.0,0.0,13.575,-2.262,9.05,11.312,221,statement_20250822,statement,2025-08-22
14.045,14.045,2.809,8.427,11.236,8.427,-4.213,22.472,26.686,356,statement_20250917,statement,2025-09-17
12.987,12.987,2.597,10.39,10.39,7.792,-6.494,20.779,27.273,385,statement_20251029,statement,2025-10-29
12.285,12.285,0.0,9.828,12.285,7.371,-7.371,18.428,25.799,407,statement_20251210,statement,2025-12-10
15.974,12.78,0.0,9.585,9.585,12.78,-7.989,20.767,28.755,313,statement_20260128,statement,2026-01-28
15.244,12.195,0.0,9.146,9.146,9.146,-6.097,19.817,25.914,328,statement_20260318,statement,2026-03-18
16.575,11.05,2.762,13.812,11.05,8.287,-4.143,24.862,29.006,362,statement_20260429,statement,2026-04-29
7.236,4.589,6.089,3.618,13.943,6.795,8.692,20.296,11.605,11332,minutes_20100127,minutes,2010-01-27
12.166,4.956,6.308,4.806,21.929,10.213,14.57,29.438,14.869,6658,minutes_20100316,minutes,2010-03-16
11.823,5.911,6.193,3.941,19.423,12.949,11.401,27.727,16.326,7105,minutes_20100428,minutes,2010-04-28
11.041,5.646,5.019,4.266,17.315,9.912,9.85,24.718,14.868,7970,minutes_20100623,minutes,2010-06-23
10.074,5.481,6.963,5.63,21.778,10.815,11.407,27.926,16.518,6750,minutes_20100810,minutes,2010-08-10
11.811,7.546,4.429,4.593,21.161,9.35,10.007,26.821,16.814,6096,minutes_20100921,minutes,2010-09-21
12.662,7.597,6.331,5.627,20.54,11.255,10.412,29.263,18.852,7108,minutes_20101103,minutes,2010-11-03
13.811,5.643,6.683,5.049,20.345,11.435,14.257,30.666,16.41,6734,minutes_20101214,minutes,2010-12-14
10.302,5.819,4.674,2.862,13.355,9.158,8.393,21.654,13.26,10483,minutes_20110126,minutes,2011-01-26
19.795,8.504,6.452,4.692,15.543,11.29,15.178,34.019,18.841,6820,minutes_20110315,minutes,2011-03-15
18.182,5.634,8.195,4.097,16.389,10.371,19.655,34.572,14.917,7810,minutes_20110427,minutes,2011-04-27
15.127,6.104,4.777,2.389,22.558,7.564,18.908,31.183,12.275,7536,minutes_20110622,minutes,2011-06-22
11.201,7.766,5.078,4.779,26.583,8.662,12.694,29.57,16.876,6696,minutes_20110809,minutes,2011-08-09
10.976,5.783,5.429,7.081,24.667,7.789,11.98,28.739,16.759,8473,minutes_20110921,minutes,2011-09-21
12.266,6.456,3.099,5.165,20.529,10.071,8.973,25.63,16.657,7745,minutes_20111102,minutes,2011-11-02
8.731,7.688,4.04,5.082,21.762,9.773,5.995,23.652,17.657,7674,minutes_20111213,minutes,2011-12-13
7.601,6.663,2.534,4.035,17.643,8.54,3.988,18.956,14.968,10656,minutes_20120125,minutes,2012-01-25
13.428,9.163,4.581,6.003,17.22,14.85,4.028,26.619,22.591,6330,minutes_20120313,minutes,2012-03-13
11.54,8.691,4.986,5.556,20.658,11.398,6.909,26.855,19.946,7019,minutes_20120425,minutes,2012-04-25
11.805,9.042,5.149,6.028,24.363,9.544,9.294,29.136,19.842,7963,minutes_20120620,minutes,2012-06-20
10.793,6.027,5.046,7.569,21.306,10.513,7.639,26.492,18.852,7134,minutes_20120801,minutes,2012-08-01
10.15,8.013,5.075,7.879,22.302,12.954,4.007,26.376,22.369,7488,minutes_20120913,minutes,2012-09-13
