,certainty,conviction,assurance,confidence,likelihood,probability,possibility,uncertainty,doubt,ambiguity
certainty,1.0,0.26666666666666666,0.9411764705882353,0.9411764705882353,0.42857142857142855,0.3333333333333333,0.25,0.46153846153846156,0.875,0.26666666666666666
conviction,0.26666666666666666,1.0,0.25,0.25,0.3076923076923077,0.36363636363636365,0.8,0.3333333333333333,0.26666666666666666,0.2857142857142857
assurance,0.9411764705882353,0.25,1.0,1.0,0.4,0.3076923076923077,0.23529411764705882,0.42857142857142855,0.8235294117647058,0.25
confidence,0.9411764705882353,0.25,1.0,1.0,0.4,0.3076923076923077,0.23529411764705882,0.42857142857142855,0.8235294117647058,0.25
likelihood,0.42857142857142855,0.3076923076923077,0.4,0.4,1.0,0.4,0.2857142857142857,0.7272727272727273,0.42857142857142855,0.3076923076923077
probability,0.3333333333333333,0.36363636363636365,0.3076923076923077,0.3076923076923077,0.4,1.0,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.36363636363636365
possibility,0.25,0.8,0.23529411764705882,0.23529411764705882,0.2857142857142857,0.3333333333333333,1.0,0.3076923076923077,0.25,0.26666666666666666
uncertainty,0.46153846153846156,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.7272727272727273,0.4444444444444444,0.3076923076923077,1.0,0.46153846153846156,0.3333333333333333
doubt,0.875,0.26666666666666666,0.8235294117647058,0.8235294117647058,0.42857142857142855,0.3333333333333333,0.25,0.46153846153846156,1.0,0.26666666666666666
ambiguity,0.26666666666666666,0.2857142857142857,0.25,0.25,0.3076923076923077,0.36363636363636365,0.26666666666666666,0.3333333333333333,0.26666666666666666,1.0
