layer,year,tokens,six_modal,pmw,will_pmw,would_pmw,could_pmw,can_pmw,should_pmw,may_pmw
statement,2014,6095,112,18375.7,14109.9,0.0,656.3,164.1,2297.0,1148.5
statement,2015,4308,67,15552.5,11606.3,0.0,0.0,232.1,1857.0,1857.0
statement,2016,4195,72,17163.3,15256.3,0.0,0.0,0.0,1907.0,0.0
statement,2017,3856,75,19450.2,18412.9,259.3,0.0,0.0,778.0,0.0
statement,2018,2588,40,15456.0,15456.0,0.0,0.0,0.0,0.0,0.0
statement,2019,2423,31,12794.1,11555.9,0.0,0.0,0.0,0.0,1238.1
statement,2020,4087,73,17861.5,15659.4,734.0,734.0,489.4,0.0,244.7
statement,2021,3764,69,18331.6,13283.7,2656.7,2125.4,0.0,0.0,265.7
statement,2022,2545,49,19253.4,12966.6,3143.4,3143.4,0.0,0.0,0.0
statement,2023,2527,62,24535.0,15433.3,3165.8,3165.8,0.0,0.0,2770.1
statement,2024,2493,56,22462.9,16044.9,3209.0,3209.0,0.0,0.0,0.0
statement,2025,2280,49,21491.2,14473.7,3508.8,3508.8,0.0,0.0,0.0
statement,2026,745,15,20134.2,12080.5,4026.8,4026.8,0.0,0.0,0.0
speech_chair,2014,34734,453,13042.0,4261.0,2591.1,1410.7,1698.6,978.9,2101.7
speech_chair,2015,30224,461,15252.8,4797.5,3043.9,1488.9,2216.8,1191.1,2514.6
speech_chair,2016,17510,305,17418.6,6110.8,3883.5,2969.7,1770.4,799.5,1884.6
speech_chair,2017,36379,460,12644.7,3710.9,2583.9,1786.7,2089.1,1127.0,1346.9
speech_chair,2018,21855,262,11988.1,4301.1,1647.2,1326.9,2470.8,1052.4,1189.7
speech_chair,2019,30660,407,13274.6,4794.5,1891.7,1272.0,2805.0,848.0,1663.4
speech_chair,2020,8555,128,14962.0,5961.4,2337.8,1636.5,3623.6,584.5,818.2
speech_chair,2021,10271,129,12559.6,6620.6,1168.3,876.3,2531.4,681.5,681.5
speech_chair,2022,8173,119,14560.1,7708.3,2202.4,856.5,1468.2,367.1,1957.7
speech_chair,2023,10825,153,14133.9,6097.0,2124.7,1570.4,1940.0,1200.9,1200.9
speech_chair,2024,7775,104,13376.2,6045.0,2829.6,900.3,2315.1,257.2,1028.9
speech_chair,2025,16052,199,12397.2,5544.5,2242.7,1308.2,1744.3,249.2,1308.2
speech_chair,2026,1840,23,12500.0,4891.3,2173.9,543.5,2717.4,1087.0,1087.0
