layer,feature,chi2,dof,p,cramers_v
statement,passive,173.2,5,1.519499078562259e-35,0.474
statement,cond,527.8,5,7.993346911647085e-112,0.828
statement,reported,30.1,5,1.4305910136829725e-05,0.198
pc_chair,neg,278.1,5,4.979013120427594e-58,0.161
pc_chair,passive,85.9,5,4.954459693953287e-17,0.09
pc_chair,perfect,143.5,5,3.1890206321807375e-29,0.116
pc_chair,progressive,224.1,5,1.9732769185002582e-46,0.145
pc_chair,cond,101.4,5,2.641862073648841e-20,0.097
pc_chair,reported,35.2,5,1.3573543258397827e-06,0.057
pc_chair,question,9.8,5,0.08143673586699468,0.03
pc_chair,contracted,1281.5,5,6.535637721923945e-275,0.346
speech_chair,neg,69.0,5,1.6910398257498457e-13,0.147
speech_chair,passive,60.4,5,9.998069690820707e-12,0.137
speech_chair,perfect,176.0,5,3.799836771021511e-36,0.234
speech_chair,progressive,50.8,5,9.443083892136605e-10,0.126
speech_chair,cond,56.3,5,7.115485772824858e-11,0.133
speech_chair,reported,41.8,5,6.595922500532389e-08,0.114
speech_chair,question,50.6,5,1.045000701896989e-09,0.126
speech_chair,contracted,11.9,5,0.03637739509072835,0.061
