layer,contrast,group,n,will,would,could,can,should,may,chi2,p,cramers_v
statement,chair,Powell,436,0.752,0.11,0.106,0.005,0.0,0.028,104.7,5.524610261853326e-21,0.373
statement,chair,Yellen,317,0.836,0.003,0.009,0.006,0.098,0.047,104.7,5.524610261853326e-21,0.373
pc_chair,chair,Powell,8840,0.411,0.286,0.053,0.162,0.043,0.044,99.4,7.232366782422975e-20,0.096
pc_chair,chair,Yellen,1846,0.382,0.326,0.085,0.094,0.063,0.05,99.4,7.232366782422975e-20,0.096
statement,phase,Cuts / post-peak,82,0.659,0.171,0.171,0.0,0.0,0.0,,,
statement,phase,Hiking I / normalization,213,0.925,0.005,0.0,0.0,0.056,0.014,,,
statement,phase,Hiking II,80,0.65,0.15,0.15,0.0,0.0,0.05,,,
statement,phase,Hold at peak,62,0.694,0.129,0.129,0.0,0.0,0.048,,,
statement,phase,Mid-cycle cuts,18,1.0,0.0,0.0,0.0,0.0,0.0,,,
statement,phase,Pandemic ZLB,146,0.795,0.096,0.082,0.014,0.0,0.014,,,
statement,phase,ZLB/taper,169,0.751,0.0,0.024,0.012,0.124,0.089,,,
