variable,outcome_vs_will,coef,rrr,p
const,would,2.947,19.043,3.676489713524349e-42
const,could,-0.618,0.539,0.10195572356503639
const,can,-4.592,0.01,3.6794331232625098e-09
const,should,-0.19,0.827,0.5821610814382228
const,may,-2.771,0.063,0.0003284502708106012
period_late,would,-0.302,0.74,5.382403826249826e-11
period_late,could,-0.303,0.739,4.2104210052453786e-05
period_late,can,0.032,1.032,0.5974309792646987
period_late,should,-0.511,0.6,4.5501029712848775e-10
period_late,may,-0.374,0.688,3.0314958695841426e-06
subj_type_econ,would,-0.304,0.738,0.05336525190316928
subj_type_econ,could,1.59,4.905,1.414396741468544e-06
subj_type_econ,can,1.784,5.954,0.0005664128240448993
subj_type_econ,should,1.27,3.56,1.6934709396689263e-05
subj_type_econ,may,3.11,22.427,2.382149847958321e-05
subj_type_fed,would,-0.196,0.822,0.6037632330828988
subj_type_fed,could,0.897,2.452,0.19225464013434657
subj_type_fed,can,3.384,29.475,2.272284606113052e-09
subj_type_fed,should,1.587,4.887,0.0010423845596346174
subj_type_fed,may,1.883,6.575,0.06662259814386697
subj_type_it_there_rel,would,0.386,1.471,0.011569479732565422
subj_type_it_there_rel,could,2.457,11.673,4.014451558792047e-14
subj_type_it_there_rel,can,1.85,6.361,0.00033862263078143285
subj_type_it_there_rel,should,0.992,2.695,0.0009571219536779454
subj_type_it_there_rel,may,3.668,39.192,5.996064899383958e-07
subj_type_none,would,0.7,2.014,0.00883351202244722
subj_type_none,could,2.612,13.62,1.3029627439140175e-09
subj_type_none,can,4.731,113.407,2.1513029750579553e-18
subj_type_none,should,1.753,5.774,8.807049370259751e-05
subj_type_none,may,3.386,29.538,3.677946374635929e-05
subj_type_other,would,0.114,1.12,0.4659142984294343
subj_type_other,could,1.955,7.062,2.4587754363384594e-09
subj_type_other,can,2.138,8.483,3.395879434540314e-05
subj_type_other,should,1.38,3.974,3.2834773445215846e-06
subj_type_other,may,3.455,31.667,2.594505377756161e-06
subj_type_person,would,0.399,1.491,0.015561960555483277
subj_type_person,could,2.085,8.046,8.375913707299629e-10
subj_type_person,can,3.424,30.704,3.373527326137883e-11
subj_type_person,should,1.451,4.267,3.342809667671254e-06
subj_type_person,may,3.225,25.149,1.4565061932808464e-05
subj_type_risks,would,4.348,77.321,0.1801740075778071
subj_type_risks,could,-0.936,0.392,0.9712128995753035
subj_type_risks,can,6.665,784.377,0.04253211555999569
subj_type_risks,should,5.14,170.647,0.12702899645948515
subj_type_risks,may,7.52,1844.668,0.025124427121505012
subj_type_we_I,would,0.626,1.871,3.332149159772797e-05
subj_type_we_I,could,0.713,2.041,0.03350345478489224
subj_type_we_I,can,2.245,9.437,1.2467327192046508e-05
subj_type_we_I,should,0.536,1.709,0.07546168345414901
subj_type_we_I,may,1.532,4.627,0.03916049454526999
layer_pc_chair,would,-3.599,0.027,1.1739425350446137e-92
layer_pc_chair,could,-2.954,0.052,3.69374005236054e-44
layer_pc_chair,can,1.201,3.324,0.042889587358880515
layer_pc_chair,should,-2.622,0.073,7.361724141871939e-35
layer_pc_chair,may,-2.021,0.133,3.827850387470537e-15
layer_speech_chair,would,-3.948,0.019,1.2034718865176982e-104
layer_speech_chair,could,-2.401,0.091,2.0442603665828135e-28
layer_speech_chair,can,1.498,4.475,0.011839584315999086
layer_speech_chair,should,-2.547,0.078,7.367102928499618e-31
layer_speech_chair,may,-1.294,0.274,6.075992611622264e-07
layer_statement,would,-5.45,0.004,1.6119162472815301e-121
layer_statement,could,-3.285,0.037,7.157049203734172e-37
layer_statement,can,-1.901,0.149,0.014723219104890432
layer_statement,should,-3.393,0.034,5.697276088435607e-35
layer_statement,may,-2.808,0.06,2.0460322766516158e-18
cond,would,0.654,1.923,2.124988686743605e-34
cond,could,0.983,2.672,4.14640103671408e-39
cond,can,0.315,1.37,4.647520736161042e-06
cond,should,0.034,1.034,0.7449975678392731
cond,may,0.106,1.112,0.2662552335567294
reported,would,-0.017,0.983,0.7623845045476483
reported,could,-0.739,0.478,1.3824960677266278e-13
reported,can,-0.335,0.715,8.752980634883724e-06
reported,should,0.032,1.032,0.7325492334130712
reported,may,-0.682,0.505,2.3074782310053597e-10
