key,unit,period,macro,lag,p_text_to_macro,p_macro_to_text,n,q_text_to_macro
minutes,ALL,T1,cfnai,1,0.2882,0.5849,99,0.6871
minutes,ALL,T1,cfnai,2,0.0096,0.6755,99,0.1139
minutes,ALL,T1,cfnai,3,0.0223,0.7022,99,0.1336
minutes,ALL,T1,vix,1,0.0138,0.3057,99,0.1378
minutes,ALL,T1,vix,2,0.0473,0.1382,99,0.2183
minutes,ALL,T1,vix,3,0.0172,0.1973,99,0.129
minutes,ALL,T2,cfnai,1,0.0994,0.8218,91,0.5725
minutes,ALL,T2,cfnai,2,0.1583,0.924,91,0.6988
minutes,ALL,T2,cfnai,3,0.1352,0.4274,91,0.8037
minutes,ALL,T2,vix,1,0.2686,0.2225,91,0.5725
minutes,ALL,T2,vix,2,0.2634,0.0991,91,0.7289
minutes,ALL,T2,vix,3,0.3051,0.1056,91,0.8885
minutes,could,T1,cfnai,1,0.3466,0.3508,99,0.6871
minutes,could,T1,cfnai,2,0.8271,0.3172,99,0.8862
minutes,could,T1,cfnai,3,0.0118,0.388,99,0.1178
minutes,could,T1,vix,1,0.5233,0.9835,99,0.7135
minutes,could,T1,vix,2,0.0385,0.3383,99,0.2183
minutes,could,T1,vix,3,0.0555,0.4295,99,0.238
minutes,could,T2,cfnai,1,0.3792,0.0745,91,0.5725
minutes,could,T2,cfnai,2,0.1752,0.1432,91,0.6988
minutes,could,T2,cfnai,3,0.2013,0.0932,91,0.8037
minutes,could,T2,vix,1,0.1256,0.0437,91,0.5725
minutes,could,T2,vix,2,0.1863,0.0061,91,0.6988
minutes,could,T2,vix,3,0.5091,0.0123,91,0.8885
minutes,should,T1,cfnai,1,0.7704,0.6369,99,0.8561
minutes,should,T1,cfnai,2,0.8113,0.783,99,0.8862
minutes,should,T1,cfnai,3,0.9609,0.9138,99,0.9787
minutes,should,T1,vix,1,0.3635,0.4146,99,0.6871
minutes,should,T1,vix,2,0.6743,0.7406,99,0.8386
minutes,should,T1,vix,3,0.8515,0.8062,99,0.9787
