layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
statement,will,modal,607,41906,167,649429,14484.8,257.1,2616.7,0.0,5.813,5532.8,+,0.0
statement,would,modal,49,41906,3234,649429,1169.3,4979.8,169.84,0.0,-2.076,-76.5,-,0.0
statement,could,modal,50,41906,1511,649429,1193.1,2326.7,26.8,0.0,-0.95,-48.7,-,0.0
statement,can,modal,4,41906,39,649429,95.5,60.1,0.69,0.4069,0.82,58.9,+,0.4069
statement,should,modal,33,41906,324,649429,787.5,498.9,5.52,0.0188,0.678,57.8,+,0.0204
statement,may,modal,27,41906,314,649429,644.3,483.5,1.89,0.169,0.438,33.3,+,0.1757
statement,will+continue,unit,125,41906,11,649429,2982.9,16.9,625.76,0.0,7.402,17510.5,+,0.0
statement,will+take,unit,123,41906,12,649429,2935.1,18.5,610.1,0.0,7.258,15784.7,+,0.0
statement,will+assess,unit,72,41906,1,649429,1718.1,1.5,393.22,0.0,9.549,111480.4,+,0.0
statement,could+impede,unit,46,41906,52,649429,1097.7,80.1,128.91,0.0,3.779,1270.9,+,0.0
statement,would+be+prepared,unit,46,41906,49,649429,1097.7,75.5,132.42,0.0,3.864,1354.8,+,0.0
statement,will+be+appropriate,unit,43,41906,11,649429,1026.1,16.9,187.86,0.0,5.873,5958.0,+,0.0
statement,will+expand,unit,34,41906,0,649429,811.3,0.0,190.62,0.0,10.062,inf,+,0.0
statement,will+monitor,unit,32,41906,0,649429,763.6,0.0,179.4,0.0,9.976,inf,+,0.0
statement,will+depend,unit,28,41906,12,649429,668.2,18.5,109.61,0.0,5.143,3516.0,+,0.0
statement,should+help,unit,21,41906,23,649429,501.1,35.4,59.7,0.0,3.826,1315.0,+,0.0
statement,will+warrant,unit,20,41906,3,649429,477.3,4.6,94.69,0.0,6.504,10231.5,+,0.0
statement,will+evolve,unit,20,41906,1,649429,477.3,1.5,104.21,0.0,7.727,30894.6,+,0.0
statement,may+warrant,unit,15,41906,20,649429,357.9,30.8,38.79,0.0,3.551,1062.3,+,0.0
statement,will+strengthen,unit,12,41906,0,649429,286.4,0.0,67.28,0.0,8.598,inf,+,0.0
statement,will+add,unit,12,41906,1,649429,286.4,1.5,60.35,0.0,7.013,18496.7,+,0.0
statement,will+remain,unit,11,41906,3,649429,262.5,4.6,47.5,0.0,5.67,5582.3,+,0.0
statement,will+aim,unit,10,41906,1,649429,238.6,1.5,49.49,0.0,6.761,15397.3,+,0.0
statement,may+be+appropriate,unit,10,41906,30,649429,238.6,46.2,14.83,0.0001,2.416,416.6,+,0.0001
statement,will+move,unit,10,41906,7,649429,238.6,10.8,33.9,0.0,4.439,2113.9,+,0.0
statement,will+increase,unit,9,41906,2,649429,214.8,3.1,40.28,0.0,5.88,6873.8,+,0.0
min_staff_desk,will,modal,35,71942,739,619393,486.5,1193.1,35.67,0.0,-1.275,-59.2,-,0.0
