date,year,n_added,n_removed,added,removed
2014-03-19,2014,2,2,"may+warrant, will+assess","will+consider, will+decline"
2014-04-30,2014,0,0,,
2014-06-18,2014,0,0,,
2014-07-30,2014,0,2,,"could+pose, will+move"
2014-09-17,2014,1,1,will+end,will+reduce
2014-10-29,2014,2,7,"should+help, will+hold","should+maintain, should+promote, will+add, will+continue, will+end, will+monitor"
2014-12-17,2014,1,1,can+be+patient,will+hold
2015-01-28,2015,0,1,,will+be+appropriate
2015-03-18,2015,2,1,"will+be+appropriate, will+move",can+be+patient
2015-04-29,2015,0,0,,
2015-06-17,2015,0,0,,
2015-07-29,2015,0,0,,
2015-09-17,2015,1,0,may+restrain,
2015-10-28,2015,0,1,,may+restrain
2015-12-16,2015,6,4,"will+continue, will+depend, will+evolve, will+monitor, will+rise, will+warrant","may+warrant, will+be+appropriate, will+expand, will+move"
2016-01-27,2016,1,1,will+expand,will+rise
2016-03-16,2016,0,0,,
2016-04-27,2016,0,0,,
2016-06-15,2016,1,1,will+strengthen,will+continue
2016-07-27,2016,0,0,,
2016-09-21,2016,0,0,,
2016-11-02,2016,0,0,,
2016-12-14,2016,0,0,,
2017-02-01,2017,1,0,will+rise,
2017-03-15,2017,1,1,will+stabilize,will+rise
2017-05-03,2017,0,0,,
2017-06-14,2017,1,2,would+reduce,"should+help, will+stabilize"
2017-07-26,2017,0,1,,would+reduce
2017-09-20,2017,3,0,"will+affect, will+boost, will+initiate",
2017-11-01,2017,1,3,will+continue,"will+affect, will+boost, will+initiate"
2017-12-13,2017,1,2,will+remain,"will+continue, will+strengthen"
2018-01-31,2018,0,0,,
2018-03-21,2018,0,0,,
2018-05-02,2018,0,0,,
2018-06-13,2018,1,6,will+be+consistent,"will+depend, will+evolve, will+expand, will+monitor, will+remain, will+warrant"
2018-08-01,2018,0,0,,
2018-09-26,2018,0,0,,
2018-11-08,2018,0,0,,
2018-12-19,2018,1,0,will+continue,
2019-01-30,2019,2,2,"may+be+appropriate, will+be+patient","will+be+consistent, will+continue"
2019-03-20,2019,0,0,,
2019-05-01,2019,0,0,,
2019-06-19,2019,2,2,"will+act, will+monitor","may+be+appropriate, will+be+patient"
2019-07-31,2019,2,1,"will+conclude, will+continue",will+monitor
2019-09-18,2019,0,1,,will+conclude
2019-10-30,2019,0,1,,will+act
2019-12-11,2019,0,0,,
2020-01-29,2020,0,0,,
2020-03-03,2020,1,3,will+use,"will+assess, will+continue, will+take"
2020-03-15,2020,8,0,"can+find, will+assess, will+continue, will+help, will+increase, will+reinvest",
2020-03-23,2020,2,6,"may+find, will+include","will+help, will+increase, will+reinvest, will+take, will+use, will+weigh"
2020-04-29,2020,4,3,"will+monitor, will+take, will+use, will+weigh","can+find, may+find, will+include"
2020-06-10,2020,1,0,will+increase,
2020-07-29,2020,1,0,will+depend,
2020-09-16,2020,4,4,"could+impede, will+aim, will+be+appropriate, would+be+prepared","will+assess, will+monitor, will+use, will+weigh"
2020-11-05,2020,0,0,,
2020-12-16,2020,0,1,,will+increase
2021-01-27,2021,0,0,,
2021-03-17,2021,0,0,,
2021-04-28,2021,0,0,,
2021-06-16,2021,0,0,,
2021-07-28,2021,1,1,would+continue,will+depend
2021-09-22,2021,1,0,may+warrant,
2021-11-03,2021,1,2,will+increase,"may+warrant, would+continue"
2021-12-15,2021,0,1,,will+aim
2022-01-26,2022,0,0,,
2022-03-16,2022,0,1,,will+increase
2022-05-04,2022,0,0,,
2022-06-15,2022,0,0,,
2022-07-27,2022,0,0,,
2022-09-21,2022,0,0,,
2022-11-02,2022,0,0,,
2022-12-14,2022,0,0,,
2023-02-01,2023,0,0,,
2023-03-22,2023,2,1,"may+be+appropriate, will+monitor",will+be+appropriate
2023-05-03,2023,0,0,,
2023-06-14,2023,0,1,,will+monitor
2023-07-26,2023,0,0,,
2023-09-20,2023,0,0,,
2023-11-01,2023,0,0,,
2023-12-13,2023,0,0,,
2024-01-31,2024,2,1,"will+assess, will+be+appropriate",may+be+appropriate
2024-03-20,2024,0,0,,
2024-05-01,2024,3,0,"will+maintain, will+reinvest, will+slow",
2024-06-12,2024,0,3,,"will+maintain, will+reinvest, will+slow"
2024-07-31,2024,0,0,,
2024-09-18,2024,0,1,,will+be+appropriate
2024-11-07,2024,0,0,,
2024-12-18,2024,0,0,,
2025-01-29,2025,0,0,,
2025-03-19,2025,2,0,"will+maintain, will+slow",
2025-05-07,2025,0,2,,"will+maintain, will+slow"
2025-06-18,2025,0,0,,
2025-07-30,2025,0,0,,
2025-09-17,2025,0,0,,
2025-10-29,2025,0,0,,
2025-12-10,2025,1,0,will+initiate,
2026-01-28,2026,0,1,,will+initiate
2026-03-18,2026,0,0,,
2026-04-29,2026,0,0,,
