layer,series,spec,var,label,coef,se,p,stars,n,r2,adj_r2
pc_chair,ALL,(1),const,const,20.07287,0.45554,0.0,***,80,0.01222,-0.00045
pc_chair,ALL,(1),cfnai_ma3_lag2,CFNAI-MA3,0.26562,0.22988,0.24789,,80,0.01222,-0.00045
pc_chair,ALL,(2),const,const,16.73282,0.86649,0.0,***,80,0.13122,0.12008
pc_chair,ALL,(2),vix_pre28,VIX,0.17584,0.0341,0.0,***,80,0.13122,0.12008
pc_chair,ALL,(3),const,const,16.66235,0.89373,0.0,***,80,0.15126,0.12921
pc_chair,ALL,(3),cfnai_ma3_lag2,CFNAI-MA3,0.34138,0.14103,0.0155,**,80,0.15126,0.12921
pc_chair,ALL,(3),vix_pre28,VIX,0.18165,0.03782,0.0,***,80,0.15126,0.12921
pc_chair,ALL,(4),const,const,17.23712,1.08136,0.0,***,80,0.2065,0.16418
pc_chair,ALL,(4),cfnai_ma3_lag2,CFNAI-MA3,0.61575,0.17081,0.00031,***,80,0.2065,0.16418
pc_chair,ALL,(4),vix_pre28,VIX,0.13302,0.06516,0.04121,**,80,0.2065,0.16418
pc_chair,ALL,(4),unrate_gap_lag1,Unemp. gap,0.57751,0.26913,0.03189,**,80,0.2065,0.16418
pc_chair,ALL,(4),corepce_gap_lag2,Core PCE gap,0.41621,0.29239,0.1546,,80,0.2065,0.16418
pc_chair,ALL,(5),const,const,16.66275,0.84627,0.0,***,80,0.15126,0.11775
pc_chair,ALL,(5),cfnai_ma3_lag2,CFNAI-MA3,0.34157,0.14465,0.01821,**,80,0.15126,0.11775
pc_chair,ALL,(5),vix_pre28,VIX,0.18168,0.04428,4e-05,***,80,0.15126,0.11775
pc_chair,ALL,(5),post_fw,post-2020-09,-0.00178,0.79055,0.99821,,80,0.15126,0.11775
pc_chair,ALL,(6) excl-2020,const,const,17.63948,0.92431,0.0,***,71,0.12942,0.10382
pc_chair,ALL,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,2.48149,1.22733,0.04319,**,71,0.12942,0.10382
pc_chair,ALL,(6) excl-2020,vix_pre28,VIX,0.11871,0.0416,0.00433,***,71,0.12942,0.10382
pc_chair,ALL,(7) Δ,const,const,0.00403,0.1988,0.98384,,79,0.09189,0.068
pc_chair,ALL,(7) Δ,d_cfnai,ΔCFNAI,0.75893,0.08213,0.0,***,79,0.09189,0.068
pc_chair,ALL,(7) Δ,d_vix,ΔVIX,-0.00466,0.09466,0.96077,,79,0.09189,0.068
pc_chair,ALL,(8) Δ excl-2020,const,const,-0.08345,0.16279,0.60822,,70,0.01355,-0.0159
pc_chair,ALL,(8) Δ excl-2020,d_cfnai,ΔCFNAI,-1.11429,1.57253,0.47857,,70,0.01355,-0.0159
pc_chair,ALL,(8) Δ excl-2020,d_vix,ΔVIX,0.07639,0.11882,0.52029,,70,0.01355,-0.0159
pc_chair,can,(1),const,const,2.93617,0.17866,0.0,***,80,0.04296,0.0307
pc_chair,can,(1),cfnai_ma3_lag2,CFNAI-MA3,-0.19486,0.07144,0.00638,***,80,0.04296,0.0307
pc_chair,can,(2),const,const,1.32529,0.38726,0.00062,***,80,0.20878,0.19864
pc_chair,can,(2),vix_pre28,VIX,0.08676,0.02042,2e-05,***,80,0.20878,0.19864
pc_chair,can,(3),const,const,1.35827,0.35551,0.00013,***,80,0.23747,0.21767
pc_chair,can,(3),cfnai_ma3_lag2,CFNAI-MA3,-0.15981,0.03123,0.0,***,80,0.23747,0.21767
pc_chair,can,(3),vix_pre28,VIX,0.08404,0.01801,0.0,***,80,0.23747,0.21767
pc_chair,can,(4),const,const,1.47745,0.40301,0.00025,***,80,0.26139,0.22199
pc_chair,can,(4),cfnai_ma3_lag2,CFNAI-MA3,-0.12074,0.04951,0.01473,**,80,0.26139,0.22199
pc_chair,can,(4),vix_pre28,VIX,0.07164,0.02386,0.00268,***,80,0.26139,0.22199
pc_chair,can,(4),unrate_gap_lag1,Unemp. gap,0.10625,0.08548,0.21387,,80,0.26139,0.22199
pc_chair,can,(4),corepce_gap_lag2,Core PCE gap,0.15001,0.13611,0.27041,,80,0.26139,0.22199
pc_chair,can,(5),const,const,1.22637,0.37818,0.00118,***,80,0.29312,0.26522
pc_chair,can,(5),cfnai_ma3_lag2,CFNAI-MA3,-0.22221,0.03809,0.0,***,80,0.29312,0.26522
pc_chair,can,(5),vix_pre28,VIX,0.07279,0.02345,0.00191,***,80,0.29312,0.26522
pc_chair,can,(5),post_fw,post-2020-09,0.5853,0.27421,0.0328,**,80,0.29312,0.26522
pc_chair,can,(6) excl-2020,const,const,1.79026,0.53055,0.00074,***,71,0.08731,0.06047
pc_chair,can,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,0.34308,0.43689,0.43228,,71,0.08731,0.06047
