layer,year,can,could,may,should,will,would
pc_chair,2014,0,1,0,0,11,2
pc_chair,2015,0,0,1,0,9,1
pc_chair,2016,0,0,0,0,7,1
pc_chair,2017,0,0,0,0,5,3
pc_chair,2018,0,0,0,0,0,3
pc_chair,2019,0,1,1,0,4,4
pc_chair,2020,0,0,0,1,4,2
pc_chair,2021,0,0,0,0,13,3
pc_chair,2022,0,2,0,0,22,6
pc_chair,2023,0,0,19,0,13,4
pc_chair,2024,0,1,0,0,16,7
pc_chair,2025,0,0,0,0,1,2
speech_chair,2014,0,0,2,0,1,1
speech_chair,2015,0,0,2,0,5,4
speech_chair,2016,0,0,0,0,4,1
speech_chair,2017,0,0,0,0,2,3
speech_chair,2018,0,0,0,0,1,0
speech_chair,2019,0,0,1,0,1,1
speech_chair,2020,0,0,0,0,1,0
speech_chair,2021,0,1,0,0,1,0
speech_chair,2022,0,1,0,0,3,0
speech_chair,2023,0,0,1,0,1,0
speech_chair,2024,1,0,0,0,1,0
speech_chair,2025,0,0,0,0,0,1
