level,key,unit,macro,rho_T1,p_T1,rho_T2,p_T2,rho_T3,rho_H1,rho_H2,n_tokens_T1,zero_share_T1,category,unit_level
genre,minutes,could,cfnai,-0.251,0.0122,-0.37,0.0003,-0.13,-0.415,-0.548,83,0.293,confirmed,modal
genre,minutes,could,vix,0.245,0.0144,0.337,0.0011,0.255,0.19,-0.12,83,0.293,era_composition,modal
genre,minutes,would,cfnai,0.257,0.0103,0.304,0.0034,0.27,0.327,0.278,719,0.0,confirmed,modal
genre,speech,should,vix,-0.193,0.0321,-0.191,0.0387,-0.059,-0.039,-0.155,210,0.452,confirmed,modal
genre,speech,would,vix,-0.209,0.0199,-0.227,0.0135,-0.216,-0.248,0.021,573,0.202,era_composition,modal
layer,min_committee,could,cfnai,-0.251,0.0122,-0.37,0.0003,-0.13,-0.415,-0.548,83,0.293,confirmed,modal
layer,min_committee,could,vix,0.245,0.0144,0.337,0.0011,0.255,0.19,-0.12,83,0.293,era_composition,modal
layer,min_committee,would,cfnai,0.257,0.0103,0.304,0.0034,0.27,0.327,0.278,719,0.0,confirmed,modal
layer,speech_chair,should,vix,-0.193,0.0321,-0.191,0.0387,-0.059,-0.039,-0.155,210,0.452,confirmed,modal
layer,speech_chair,would,vix,-0.209,0.0199,-0.227,0.0135,-0.216,-0.248,0.021,573,0.202,era_composition,modal
genre,minutes,could/causative,vix,0.325,0.001,0.414,0.0,0.275,-0.015,-0.099,55,0.465,era_composition,U3
genre,minutes,would/activity,vix,0.328,0.0009,0.286,0.0059,0.164,-0.055,0.108,108,0.162,era_composition,U3
genre,minutes,would/aspectual,vix,0.475,0.0,0.422,0.0,0.271,0.027,0.098,116,0.212,confirmed,U3
genre,minutes,would/copular_adj,cfnai,0.287,0.004,0.198,0.0594,0.288,0.376,0.456,126,0.232,T1_only,U3
genre,minutes,would/copular_adj,vix,0.487,0.0,0.54,0.0,0.422,0.123,0.4,126,0.232,confirmed,U3
genre,minutes,would/existence,cfnai,0.425,0.0,0.401,0.0001,0.38,0.6,0.336,52,0.586,confirmed,U3
genre,minutes,would/existence,vix,-0.264,0.0083,-0.355,0.0006,-0.22,-0.287,0.135,52,0.586,era_composition,U3
genre,minutes,would/mental,cfnai,-0.479,0.0,-0.398,0.0001,-0.407,-0.285,-0.42,71,0.414,confirmed,U3
genre,minutes,would/occurrence,vix,-0.357,0.0003,-0.303,0.0035,-0.31,0.132,-0.091,89,0.556,era_composition,U3
genre,speech,could/other,vix,-0.227,0.0112,-0.228,0.013,-0.139,-0.209,-0.077,81,0.597,confirmed,U3
genre,speech,will/activity,cfnai,-0.218,0.0149,-0.193,0.036,-0.178,-0.196,-0.158,179,0.306,confirmed,U3
genre,speech,will/occurrence,vix,-0.235,0.0085,-0.219,0.0174,-0.138,-0.159,-0.212,119,0.548,confirmed,U3
layer,min_committee,could/causative,vix,0.325,0.001,0.414,0.0,0.275,-0.015,-0.099,55,0.465,era_composition,U3
layer,min_committee,would/activity,vix,0.328,0.0009,0.286,0.0059,0.164,-0.055,0.108,108,0.162,era_composition,U3
layer,min_committee,would/aspectual,vix,0.475,0.0,0.422,0.0,0.271,0.027,0.098,116,0.212,confirmed,U3
layer,min_committee,would/copular_adj,cfnai,0.287,0.004,0.198,0.0594,0.288,0.376,0.456,126,0.232,T1_only,U3
layer,min_committee,would/copular_adj,vix,0.487,0.0,0.54,0.0,0.422,0.123,0.4,126,0.232,confirmed,U3
layer,min_committee,would/existence,cfnai,0.425,0.0,0.401,0.0001,0.38,0.6,0.336,52,0.586,confirmed,U3
layer,min_committee,would/existence,vix,-0.264,0.0083,-0.355,0.0006,-0.22,-0.287,0.135,52,0.586,era_composition,U3
layer,min_committee,would/mental,cfnai,-0.479,0.0,-0.398,0.0001,-0.407,-0.285,-0.42,71,0.414,confirmed,U3
layer,min_committee,would/occurrence,vix,-0.357,0.0003,-0.303,0.0035,-0.31,0.132,-0.091,89,0.556,era_composition,U3
layer,speech_chair,could/other,vix,-0.227,0.0112,-0.228,0.013,-0.139,-0.209,-0.077,81,0.597,confirmed,U3
layer,speech_chair,will/activity,cfnai,-0.218,0.0149,-0.193,0.036,-0.178,-0.196,-0.158,179,0.306,confirmed,U3
layer,speech_chair,will/occurrence,vix,-0.235,0.0085,-0.219,0.0174,-0.138,-0.159,-0.212,119,0.548,confirmed,U3
