layer,year,can,could,may,will,would
min_committee,2014,0,0,0,1,9
min_committee,2015,0,0,0,4,3
min_committee,2016,0,0,0,0,3
min_committee,2017,0,0,0,0,1
min_committee,2018,0,0,0,0,3
min_committee,2019,0,0,4,0,0
min_committee,2020,0,0,0,1,11
min_committee,2021,0,0,0,0,15
min_committee,2022,0,0,0,0,12
min_committee,2023,0,0,8,0,1
min_committee,2024,0,0,1,1,5
speech_chair,2014,0,0,2,1,1
speech_chair,2015,0,0,2,5,4
speech_chair,2016,0,0,0,4,1
speech_chair,2017,0,0,0,2,3
speech_chair,2018,0,0,0,1,0
speech_chair,2019,0,0,1,1,1
speech_chair,2020,0,0,0,1,0
speech_chair,2021,0,1,0,1,0
speech_chair,2022,0,1,0,3,0
speech_chair,2023,0,0,1,1,0
speech_chair,2024,1,0,0,1,0
speech_chair,2025,0,0,0,0,1
