key,unit,target,r2_base,r2_with,delta_r2,coef_text,p_text,n,q_text
minutes,ALL,cfnai_ma3_lead3,0.0553,0.1222,0.0669,0.0846,0.1529,99,0.6419
minutes,ALL,d_vix_28,0.0527,0.0561,0.0033,-0.0823,0.2095,99,0.6419
minutes,could,cfnai_ma3_lead3,0.0553,0.0652,0.0099,-0.0903,0.2201,99,0.6419
minutes,could,d_vix_28,0.0527,0.0529,0.0002,0.0513,0.8,99,0.8603
minutes,could+impede,cfnai_ma3_lead3,0.0553,0.0572,0.0018,-0.0385,0.6279,99,0.7859
minutes,could+impede,d_vix_28,0.0527,0.0549,0.0022,-0.1851,0.6196,99,0.7859
minutes,should,cfnai_ma3_lead3,0.0553,0.0623,0.007,0.0563,0.3899,99,0.7013
minutes,should,d_vix_28,0.0527,0.0551,0.0024,-0.1439,0.3999,99,0.7013
minutes,would,cfnai_ma3_lead3,0.0553,0.1169,0.0615,0.0776,0.0239,99,0.3434
minutes,would,d_vix_28,0.0527,0.0529,0.0001,0.015,0.8548,99,0.8603
minutes,would+assess,cfnai_ma3_lead3,0.0553,0.0757,0.0203,-0.1405,0.2331,99,0.6419
minutes,would+assess,d_vix_28,0.0527,0.0531,0.0003,-0.0779,0.7296,99,0.8584
minutes,would+be+appropriate,cfnai_ma3_lead3,0.0553,0.0634,0.0081,0.0765,0.2568,99,0.6419
minutes,would+be+appropriate,d_vix_28,0.0527,0.0561,0.0033,0.2148,0.6288,99,0.7859
minutes,would+continue,cfnai_ma3_lead3,0.0553,0.0634,0.008,0.0653,0.4392,99,0.7013
minutes,would+continue,d_vix_28,0.0527,0.0529,0.0002,0.0391,0.8603,99,0.8603
minutes,would+depend,cfnai_ma3_lead3,0.0553,0.0935,0.0381,0.2019,0.0343,99,0.3434
minutes,would+depend,d_vix_28,0.0527,0.0544,0.0017,-0.1859,0.4558,99,0.7013
minutes,would+take,cfnai_ma3_lead3,0.0553,0.082,0.0267,-0.1646,0.0779,99,0.5194
minutes,would+take,d_vix_28,0.0527,0.0579,0.0052,-0.3174,0.2964,99,0.6586
