event,event_date,layer,series,pre3,at,post3
QE3 ends,2014-10-29,min_committee,ALL,13.939,15.55,17.193
QE3 ends,2014-10-29,min_committee,could,0.493,0.0,0.0
QE3 ends,2014-10-29,min_committee,could/causative,0.493,0.0,0.0
QE3 ends,2014-10-29,min_committee,should,0.0,2.392,5.069
QE3 ends,2014-10-29,min_committee,will,0.421,0.0,1.623
QE3 ends,2014-10-29,min_committee,would,12.112,11.962,7.981
QE3 ends,2014-10-29,min_committee,would/activity,0.0,0.0,0.392
QE3 ends,2014-10-29,min_committee,would/aspectual,1.759,0.0,1.26
QE3 ends,2014-10-29,min_committee,would/copular_adj,1.759,2.392,0.42
QE3 ends,2014-10-29,min_committee,would/mental,0.917,0.0,0.0
QE3 ends,2014-10-29,min_committee,would/occurrence,0.493,2.392,3.865
First hike (liftoff),2015-12-16,min_committee,ALL,15.299,15.311,13.847
First hike (liftoff),2015-12-16,min_committee,could,1.503,1.914,1.291
First hike (liftoff),2015-12-16,min_committee,could/causative,0.0,0.0,0.424
First hike (liftoff),2015-12-16,min_committee,should,1.209,1.914,1.291
First hike (liftoff),2015-12-16,min_committee,will,2.09,0.957,0.0
First hike (liftoff),2015-12-16,min_committee,would,9.301,9.569,10.842
First hike (liftoff),2015-12-16,min_committee,would/activity,0.908,0.0,0.793
First hike (liftoff),2015-12-16,min_committee,would/aspectual,0.594,0.957,2.084
First hike (liftoff),2015-12-16,min_committee,would/copular_adj,1.503,0.0,1.789
First hike (liftoff),2015-12-16,min_committee,would/mental,0.587,0.957,1.585
First hike (liftoff),2015-12-16,min_committee,would/occurrence,1.789,3.828,1.585
Normalization addendum,2017-06-14,min_committee,ALL,17.057,13.846,16.312
Normalization addendum,2017-06-14,min_committee,could,0.691,0.0,0.0
Normalization addendum,2017-06-14,min_committee,could/causative,0.345,0.0,0.0
Normalization addendum,2017-06-14,min_committee,should,1.591,0.0,0.514
Normalization addendum,2017-06-14,min_committee,will,0.0,0.0,0.0
Normalization addendum,2017-06-14,min_committee,would,14.43,13.846,15.799
Normalization addendum,2017-06-14,min_committee,would/activity,1.674,1.538,0.435
Normalization addendum,2017-06-14,min_committee,would/aspectual,1.591,0.0,0.435
Normalization addendum,2017-06-14,min_committee,would/copular_adj,0.471,0.0,0.435
Normalization addendum,2017-06-14,min_committee,would/mental,1.245,3.077,2.89
Normalization addendum,2017-06-14,min_committee,would/occurrence,3.265,1.538,1.88
Balance-sheet runoff,2017-10-01,min_committee,ALL,15.713,15.645,16.911
Balance-sheet runoff,2017-10-01,min_committee,could,0.0,0.0,0.0
Balance-sheet runoff,2017-10-01,min_committee,could/causative,0.0,0.0,0.0
Balance-sheet runoff,2017-10-01,min_committee,should,0.514,0.0,0.527
Balance-sheet runoff,2017-10-01,min_committee,will,0.0,0.0,0.0
Balance-sheet runoff,2017-10-01,min_committee,would,15.199,15.645,16.384
Balance-sheet runoff,2017-10-01,min_committee,would/activity,0.513,1.304,2.018
Balance-sheet runoff,2017-10-01,min_committee,would/aspectual,0.0,1.304,0.0
Balance-sheet runoff,2017-10-01,min_committee,would/copular_adj,0.0,1.304,1.491
Balance-sheet runoff,2017-10-01,min_committee,would/mental,3.046,2.608,0.507
Balance-sheet runoff,2017-10-01,min_committee,would/occurrence,1.523,2.608,3.947
Powell chair,2018-02-05,min_committee,ALL,16.037,18.265,11.232
