layer,series,metric,trend,p,tau,sen_slope,n
min_committee,ALL,per1k,increasing,0.0484,0.1348,0.0179,99
min_committee,can,per1k,decreasing,0.0121,-0.0509,0.0,99
min_committee,can,share,decreasing,0.0124,-0.0507,0.0,99
min_committee,could,per1k,increasing,0.0,0.4949,0.0248,99
min_committee,could,share,increasing,0.0,0.423,0.0014,99
min_committee,may,per1k,decreasing,0.0242,-0.1206,0.0,99
min_committee,may,share,decreasing,0.0189,-0.1255,0.0,99
min_committee,should,per1k,no trend,0.4085,0.0538,0.0,99
min_committee,should,share,no trend,0.5101,0.0429,0.0,99
min_committee,will,per1k,no trend,0.3098,-0.0505,0.0,99
min_committee,will,share,no trend,0.2488,-0.0573,0.0,99
min_committee,would,per1k,no trend,0.7168,-0.0249,-0.0049,99
min_committee,would,share,decreasing,0.0128,-0.1692,-0.0014,99
