event,event_date,k,cfnai_ma3,vix
QE3 ends,2014-10-29,-6,0.32,14.19809523809524
QE3 ends,2014-10-29,-5,0.22,12.475238095238096
QE3 ends,2014-10-29,-4,0.1,11.541428571428572
QE3 ends,2014-10-29,-3,0.19,12.296363636363637
QE3 ends,2014-10-29,-2,0.07,13.49190476190476
QE3 ends,2014-10-29,-1,0.03,13.466666666666669
QE3 ends,2014-10-29,0,-0.06,18.058695652173913
QE3 ends,2014-10-29,1,0.11,13.41315789473684
QE3 ends,2014-10-29,2,0.12,16.292272727272728
QE3 ends,2014-10-29,3,0.02,19.1195
QE3 ends,2014-10-29,4,-0.23,15.90421052631579
QE3 ends,2014-10-29,5,-0.24,14.812727272727273
QE3 ends,2014-10-29,6,-0.16,13.494761904761903
First hike (liftoff),2015-12-16,-6,-0.16,14.339545454545457
First hike (liftoff),2015-12-16,-5,-0.04,14.352727272727272
First hike (liftoff),2015-12-16,-4,-0.02,19.42809523809524
First hike (liftoff),2015-12-16,-3,-0.02,24.377142857142857
First hike (liftoff),2015-12-16,-2,-0.22,16.789545454545454
First hike (liftoff),2015-12-16,-1,-0.25,16.21
First hike (liftoff),2015-12-16,0,-0.31,18.025454545454547
First hike (liftoff),2015-12-16,1,-0.19,23.717894736842105
First hike (liftoff),2015-12-16,2,-0.14,22.517
First hike (liftoff),2015-12-16,3,-0.16,15.84909090909091
First hike (liftoff),2015-12-16,4,-0.22,14.300476190476193
First hike (liftoff),2015-12-16,5,-0.26,14.85285714285714
First hike (liftoff),2015-12-16,6,-0.11,17.774545454545457
Normalization addendum,2017-06-14,-6,0.03,12.472380952380954
Normalization addendum,2017-06-14,-5,0.02,11.6085
Normalization addendum,2017-06-14,-4,0.06,11.530526315789476
Normalization addendum,2017-06-14,-3,-0.06,11.89782608695652
Normalization addendum,2017-06-14,-2,0.09,13.136315789473684
Normalization addendum,2017-06-14,-1,0.13,10.862272727272726
Normalization addendum,2017-06-14,0,0.17,10.513636363636364
Normalization addendum,2017-06-14,1,0.01,10.2645
Normalization addendum,2017-06-14,2,0.0,11.975652173913044
Normalization addendum,2017-06-14,3,0.01,10.438
Normalization addendum,2017-06-14,4,0.25,10.125454545454543
Normalization addendum,2017-06-14,5,0.32,10.54047619047619
Normalization addendum,2017-06-14,6,0.33,10.2645
Balance-sheet runoff,2017-10-01,-6,0.09,13.136315789473684
Balance-sheet runoff,2017-10-01,-5,0.13,10.862272727272726
Balance-sheet runoff,2017-10-01,-4,0.17,10.513636363636364
Balance-sheet runoff,2017-10-01,-3,0.01,10.2645
Balance-sheet runoff,2017-10-01,-2,0.0,11.975652173913044
Balance-sheet runoff,2017-10-01,-1,0.01,10.438
Balance-sheet runoff,2017-10-01,0,0.25,10.125454545454543
Balance-sheet runoff,2017-10-01,1,0.32,10.54047619047619
Balance-sheet runoff,2017-10-01,2,0.33,10.2645
Balance-sheet runoff,2017-10-01,3,0.07,11.062380952380952
Balance-sheet runoff,2017-10-01,4,0.15,22.464736842105264
Balance-sheet runoff,2017-10-01,5,0.12,19.02380952380953
Balance-sheet runoff,2017-10-01,6,0.32,18.267619047619046
Powell chair,2018-02-05,-6,0.0,11.975652173913044
Powell chair,2018-02-05,-5,0.01,10.438
Powell chair,2018-02-05,-4,0.25,10.125454545454543
Powell chair,2018-02-05,-3,0.32,10.54047619047619
Powell chair,2018-02-05,-2,0.33,10.2645
Powell chair,2018-02-05,-1,0.07,11.062380952380952
Powell chair,2018-02-05,0,0.15,22.464736842105264
Powell chair,2018-02-05,1,0.12,19.02380952380953
Powell chair,2018-02-05,2,0.32,18.267619047619046
Powell chair,2018-02-05,3,0.12,14.124545454545457
Powell chair,2018-02-05,4,0.16,13.67809523809524
Powell chair,2018-02-05,5,0.04,13.147619047619049
Powell chair,2018-02-05,6,0.19,12.54695652173913
Mid-cycle cut,2019-07-31,-6,-0.16,19.57238095238095
Mid-cycle cut,2019-07-31,-5,-0.3,15.234736842105262
Mid-cycle cut,2019-07-31,-4,-0.29,14.485238095238095
Mid-cycle cut,2019-07-31,-3,-0.34,12.94904761904762
Mid-cycle cut,2019-07-31,-2,-0.2,16.721818181818183
Mid-cycle cut,2019-07-31,-1,-0.15,15.836000000000002
Mid-cycle cut,2019-07-31,0,-0.1,13.305909090909092
Mid-cycle cut,2019-07-31,1,-0.05,18.97909090909091
Mid-cycle cut,2019-07-31,2,-0.21,15.559
Mid-cycle cut,2019-07-31,3,-0.35,15.466521739130435
Mid-cycle cut,2019-07-31,4,-0.34,12.5235
Mid-cycle cut,2019-07-31,5,-0.31,13.756666666666666
Mid-cycle cut,2019-07-31,6,-0.13,13.94095238095238
Pandemic ZLB,2020-03-15,-6,-0.21,15.559
