layer,modal,n,neg,passive,perfect,progressive,cond,reported,question,contracted
min_staff_desk,will,35,0.029,0.086,0.029,0.0,0.257,0.457,0.0,0.0
min_staff_desk,would,307,0.02,0.143,0.016,0.007,0.215,0.459,0.0,0.0
min_staff_desk,could,138,0.0,0.188,0.014,0.014,0.246,0.464,0.0,0.0
min_staff_desk,should,27,0.0,0.296,0.0,0.0,0.111,0.741,0.0,0.0
min_staff_desk,may,41,0.024,0.024,0.293,0.049,0.317,0.366,0.0,0.0
min_staff,would,327,0.006,0.058,0.009,0.0,0.104,0.327,0.0,0.0
min_staff,could,132,0.0,0.038,0.008,0.008,0.326,0.25,0.0,0.0
min_staff,may,57,0.0,0.053,0.596,0.035,0.211,0.281,0.0,0.0
min_participants,will,30,0.0,0.167,0.0,0.033,0.267,0.767,0.0,0.0
min_participants,would,1537,0.016,0.116,0.005,0.005,0.184,0.714,0.0,0.0
min_participants,could,875,0.005,0.098,0.016,0.021,0.287,0.506,0.0,0.0
min_participants,should,149,0.101,0.248,0.0,0.013,0.188,0.852,0.0,0.0
min_participants,may,157,0.127,0.076,0.255,0.096,0.204,0.65,0.0,0.0
min_committee,will,37,0.0,0.0,0.0,0.0,0.216,0.622,0.0,0.0
min_committee,would,719,0.0,0.017,0.001,0.01,0.164,0.786,0.0,0.0
min_committee,could,83,0.0,0.06,0.0,0.0,0.614,0.277,0.0,0.0
min_committee,should,85,0.012,0.082,0.0,0.0,0.047,0.741,0.0,0.0
min_committee,may,31,0.0,0.065,0.097,0.0,0.129,0.323,0.0,0.0
min_special,will,49,0.0,0.102,0.0,0.0,0.082,0.347,0.0,0.0
min_special,would,344,0.052,0.145,0.006,0.009,0.241,0.576,0.0,0.0
min_special,could,283,0.004,0.201,0.004,0.007,0.3,0.431,0.0,0.0
min_special,can,21,0.048,0.333,0.0,0.0,0.429,0.571,0.0,0.0
min_special,should,58,0.069,0.276,0.0,0.0,0.172,0.69,0.0,0.0
min_special,may,28,0.107,0.071,0.036,0.036,0.143,0.429,0.0,0.0
