layer,modal_a,modal_b,jsd
min_staff_desk,will,would,0.663
min_staff_desk,will,could,0.762
min_staff_desk,will,can,0.938
min_staff_desk,will,should,0.827
min_staff_desk,will,may,0.911
min_staff_desk,would,could,0.565
min_staff_desk,would,can,0.882
min_staff_desk,would,should,0.814
min_staff_desk,would,may,0.77
min_staff_desk,could,can,0.904
min_staff_desk,could,should,0.756
min_staff_desk,could,may,0.74
min_staff_desk,can,should,1.0
min_staff_desk,can,may,0.944
min_staff_desk,should,may,0.858
min_staff,will,would,0.883
min_staff,will,could,0.892
min_staff,will,can,1.0
min_staff,will,should,0.844
min_staff,will,may,1.0
min_staff,would,could,0.498
min_staff,would,can,0.987
min_staff,would,should,0.884
min_staff,would,may,0.783
min_staff,could,can,1.0
min_staff,could,should,0.871
min_staff,could,may,0.766
min_staff,can,should,1.0
min_staff,can,may,1.0
min_staff,should,may,1.0
min_participants,will,would,0.609
min_participants,will,could,0.776
min_participants,will,can,0.941
min_participants,will,should,0.891
min_participants,will,may,0.743
min_participants,would,could,0.449
min_participants,would,can,0.89
min_participants,would,should,0.629
min_participants,would,may,0.542
min_participants,could,can,0.869
min_participants,could,should,0.687
min_participants,could,may,0.565
min_participants,can,should,0.888
min_participants,can,may,0.982
min_participants,should,may,0.828
min_committee,will,would,0.393
min_committee,will,could,0.932
min_committee,will,can,0.91
min_committee,will,should,0.931
min_committee,will,may,0.545
min_committee,would,could,0.927
min_committee,would,can,1.0
min_committee,would,should,0.833
min_committee,would,may,0.712
min_committee,could,can,0.887
min_committee,could,should,0.918
min_committee,could,may,0.981
min_committee,can,should,1.0
min_committee,can,may,1.0
min_committee,should,may,1.0
min_special,will,would,0.654
min_special,will,could,0.755
min_special,will,can,0.901
min_special,will,should,0.704
min_special,will,may,0.859
min_special,would,could,0.539
min_special,would,can,0.841
min_special,would,should,0.67
min_special,would,may,0.737
min_special,could,can,0.74
min_special,could,should,0.703
min_special,could,may,0.755
min_special,can,should,0.865
min_special,can,may,1.0
min_special,should,may,0.909
pc_chair,will,would,0.379
pc_chair,will,could,0.415
pc_chair,will,can,0.365
pc_chair,will,should,0.389
pc_chair,will,may,0.446
pc_chair,would,could,0.521
pc_chair,would,can,0.461
pc_chair,would,should,0.501
pc_chair,would,may,0.574
pc_chair,could,can,0.45
pc_chair,could,should,0.493
pc_chair,could,may,0.49
pc_chair,can,should,0.469
pc_chair,can,may,0.582
pc_chair,should,may,0.562
speech_chair,will,would,0.497
speech_chair,will,could,0.561
speech_chair,will,can,0.564
speech_chair,will,should,0.52
speech_chair,will,may,0.566
speech_chair,would,could,0.545
speech_chair,would,can,0.639
speech_chair,would,should,0.65
speech_chair,would,may,0.561
speech_chair,could,can,0.511
speech_chair,could,should,0.665
speech_chair,could,may,0.55
speech_chair,can,should,0.641
speech_chair,can,may,0.605
speech_chair,should,may,0.668
