layer,series,variant,rho_cfnai,p_cfnai,rho_vix,p_vix
min_boilerplate,ALL,"baseline per1k, T1",-0.049,0.632,-0.02,0.8432
min_boilerplate,ALL,"per1k, excl-2020",0.023,0.8308,-0.061,0.5643
min_boilerplate,ALL,"per1k, 2010–2026",-0.066,0.4574,-0.03,0.7386
min_boilerplate,ALL,CFNAI lag 1,-0.104,0.3037,-0.02,0.8432
min_boilerplate,ALL,VIX inter-meeting,-0.049,0.632,-0.029,0.7761
min_boilerplate,ALL,share (N2),,,,
min_boilerplate,ALL,count (N3),-0.019,0.8535,-0.025,0.8058
min_boilerplate,could,"baseline per1k, T1",0.041,0.6852,-0.028,0.7809
min_boilerplate,could,"per1k, excl-2020",0.104,0.3274,-0.023,0.8259
min_boilerplate,could,"per1k, 2010–2026",0.001,0.9914,-0.03,0.7316
min_boilerplate,could,CFNAI lag 1,-0.017,0.8708,-0.028,0.7809
min_boilerplate,could,VIX inter-meeting,0.041,0.6852,-0.051,0.616
min_boilerplate,could,share (N2),0.264,0.2905,0.07,0.7838
min_boilerplate,could,count (N3),0.043,0.6745,-0.026,0.7967
min_boilerplate,may,"baseline per1k, T1",0.107,0.293,-0.049,0.6314
min_boilerplate,may,"per1k, excl-2020",0.18,0.0873,0.021,0.8418
min_boilerplate,may,"per1k, 2010–2026",0.048,0.5866,-0.05,0.5716
min_boilerplate,may,CFNAI lag 1,0.07,0.4914,-0.049,0.6314
min_boilerplate,may,VIX inter-meeting,0.107,0.293,-0.084,0.4092
min_boilerplate,may,share (N2),0.499,0.0351,-0.143,0.5713
min_boilerplate,may,count (N3),0.115,0.2582,-0.036,0.7201
min_boilerplate,will,"baseline per1k, T1",0.041,0.6859,0.107,0.2898
min_boilerplate,will,"per1k, excl-2020",0.154,0.1451,0.073,0.4891
min_boilerplate,will,"per1k, 2010–2026",0.009,0.92,0.072,0.4142
min_boilerplate,will,CFNAI lag 1,-0.022,0.8318,0.107,0.2898
min_boilerplate,will,VIX inter-meeting,0.041,0.6859,0.079,0.4378
min_boilerplate,will,share (N2),0.112,0.6572,0.591,0.0098
min_boilerplate,will,count (N3),0.055,0.5918,0.106,0.2978
min_boilerplate,would,"baseline per1k, T1",-0.016,0.8738,-0.057,0.5733
min_boilerplate,would,"per1k, excl-2020",0.057,0.5918,-0.101,0.3431
min_boilerplate,would,"per1k, 2010–2026",-0.043,0.6245,-0.053,0.5482
min_boilerplate,would,CFNAI lag 1,-0.087,0.391,-0.057,0.5733
min_boilerplate,would,VIX inter-meeting,-0.016,0.8738,-0.069,0.4947
min_boilerplate,would,share (N2),-0.063,0.8051,-0.44,0.0676
min_boilerplate,would,count (N3),0.006,0.9558,-0.052,0.608
min_committee,ALL,"baseline per1k, T1",0.009,0.9261,0.122,0.2303
min_committee,ALL,"per1k, excl-2020",-0.019,0.8556,0.098,0.3542
min_committee,ALL,"per1k, 2010–2026",0.101,0.2492,0.097,0.2695
