layer,will,would,could,can,should,may
min_boilerplate,-7.41,-1.61,1.25,-6.03,-1.89,27.96
min_committee,-15.01,22.45,-4.13,-9.83,4.5,-3.73
min_participants,-28.09,20.52,25.87,-16.71,-0.14,-1.16
min_special,-12.36,5.19,17.13,-6.86,2.32,-2.99
min_staff,-11.63,11.05,6.87,-7.33,-4.51,4.02
min_staff_desk,-10.36,9.09,7.26,-7.04,-0.59,1.1
min_statement_quote,23.98,-12.82,-5.25,-8.8,-1.34,-3.12
pc_chair,18.39,-7.13,-21.67,13.79,-3.62,-7.06
pc_journalist,-12.5,-1.09,13.86,7.26,5.26,-4.62
speech_chair,5.86,-15.07,-3.84,9.25,2.63,12.86
statement,24.05,-12.94,-5.34,-8.64,-1.41,-3.04
