layer,label,n_docs,tokens,sentences,six_modal,nine_modal,pmw,ci_lo,ci_hi,per1k
statement,Statement,101,41906,1697,770,770,18374.5,17099.4,19719.4,18.37
statement_vote,Statement (vote line),100,5441,143,10,10,1837.9,881.3,3380.0,1.84
min_staff_desk,Minutes: Desk/markets (staff),99,71942,2695,553,632,7686.7,7059.4,8354.9,7.69
min_staff,Minutes: staff review & outlook,99,249885,10218,539,575,2157.0,1978.7,2347.0,2.16
min_participants,Minutes: participants' views,99,223992,7354,2756,3133,12304.0,11848.9,12772.1,12.3
min_committee,Minutes: Committee policy action,99,62833,2093,958,984,15246.8,14296.4,16243.6,15.25
min_special,Minutes: special topics,40,40777,1267,783,864,19202.0,17880.4,20595.4,19.2
min_front_matter,Minutes: front matter,99,59650,4958,78,86,1307.6,1033.6,1632.0,1.31
min_statement_quote,Minutes: quoted statement,99,40613,1610,761,761,18737.8,17430.0,20117.8,18.74
min_directive_quote,Minutes: quoted directive,99,22084,697,102,102,4618.7,3766.0,5606.8,4.62
min_vote,Minutes: vote & post-vote,99,16987,711,166,167,9772.2,8342.1,11377.0,9.77
min_sep,Minutes: SEP addendum,0,0,0,0,0,0.0,0.0,3688879.5,0.0
min_boilerplate,Minutes: authorizations/boilerplate,99,65197,3721,376,671,5767.1,5198.9,6380.6,5.77
pc_chair,Press conf.: Chair,80,533106,26371,10686,10944,20044.8,19666.5,20428.5,20.04
pc_journalist,Press conf.: journalists,80,138373,7936,2452,2696,17720.2,17025.7,18435.8,17.72
pc_moderator,Press conf.: moderator,49,1981,298,83,84,41898.0,33371.5,51938.9,41.9
pc_pre,Press conf.: pre-marker,2,18,2,0,0,0.0,0.0,204937.7,0.0
speech_chair,Chair speech,124,234853,9819,3203,3453,13638.3,13170.1,14119.0,13.64
