layer,modal,n,pmw,ci_lo,ci_hi,DP,docs_with,n_docs
statement,will,607,14484.8,13355.3,15684.3,0.085,101,101
statement,would,49,1169.3,865.0,1545.9,0.614,47,101
statement,could,50,1193.1,885.6,1573.0,0.548,50,101
statement,can,4,95.5,26.0,244.4,0.944,4,101
statement,should,33,787.5,542.1,1105.9,0.617,27,101
statement,may,27,644.3,424.6,937.4,0.685,26,101
statement,might,0,0.0,0.0,88.0,,0,101
statement,must,0,0.0,0.0,88.0,,0,101
statement,shall,0,0.0,0.0,88.0,,0,101
statement_vote,will,5,918.9,298.4,2144.5,0.899,4,100
statement_vote,would,0,0.0,0.0,678.0,,0,100
statement_vote,could,0,0.0,0.0,678.0,,0,100
statement_vote,can,0,0.0,0.0,678.0,,0,100
statement_vote,should,5,918.9,298.4,2144.5,0.948,2,100
statement_vote,may,0,0.0,0.0,678.0,,0,100
statement_vote,might,0,0.0,0.0,678.0,,0,100
statement_vote,must,0,0.0,0.0,678.0,,0,100
statement_vote,shall,0,0.0,0.0,678.0,,0,100
min_staff_desk,will,35,486.5,338.9,676.6,0.729,23,99
min_staff_desk,would,307,4267.3,3803.3,4772.4,0.301,81,99
min_staff_desk,could,138,1918.2,1611.5,2266.3,0.418,56,99
min_staff_desk,can,5,69.5,22.6,162.2,0.924,5,99
min_staff_desk,should,27,375.3,247.3,546.0,0.787,16,99
min_staff_desk,may,41,569.9,409.0,773.1,0.656,28,99
min_staff_desk,might,61,847.9,648.6,1089.2,0.546,37,99
min_staff_desk,must,4,55.6,15.1,142.4,0.933,4,99
min_staff_desk,shall,14,194.6,106.4,326.5,0.907,6,99
min_staff,will,16,64.0,36.6,104.0,0.848,14,99
min_staff,would,327,1308.6,1170.6,1458.4,0.207,92,99
min_staff,could,132,528.2,442.0,626.4,0.422,63,99
min_staff,can,2,8.0,1.0,28.9,0.98,2,99
min_staff,should,5,20.0,6.5,46.7,0.946,5,99
min_staff,may,57,228.1,172.8,295.5,0.521,46,99
min_staff,might,36,144.1,100.9,199.4,0.716,28,99
min_staff,must,0,0.0,0.0,14.8,,0,99
min_staff,shall,0,0.0,0.0,14.8,,0,99
min_participants,will,30,133.9,90.4,191.2,0.741,25,99
min_participants,would,1537,6861.9,6523.1,7213.7,0.118,99,99
min_participants,could,875,3906.4,3651.8,4174.0,0.165,99,99
min_participants,can,8,35.7,15.4,70.4,0.927,7,99
min_participants,should,149,665.2,562.7,781.0,0.368,71,99
min_participants,may,157,700.9,595.6,819.5,0.413,67,99
min_participants,might,375,1674.2,1509.0,1852.5,0.343,90,99
min_participants,must,2,8.9,1.1,32.3,0.979,2,99
min_participants,shall,0,0.0,0.0,16.5,,0,99
min_committee,will,37,588.9,414.6,811.7,0.745,22,99
min_committee,would,719,11443.0,10621.8,12310.9,0.112,99,99
min_committee,could,83,1321.0,1052.1,1637.5,0.335,70,99
min_committee,can,3,47.7,9.8,139.5,0.962,3,99
min_committee,should,85,1352.8,1080.6,1672.7,0.424,54,99
min_committee,may,31,493.4,335.2,700.3,0.68,27,99
min_committee,might,26,413.8,270.3,606.3,0.748,17,99
min_committee,must,0,0.0,0.0,58.7,,0,99
min_committee,shall,0,0.0,0.0,58.7,,0,99
min_special,will,49,1201.7,889.0,1588.7,0.698,15,40
min_special,would,344,8436.1,7568.1,9376.4,0.176,40,40
min_special,could,283,6940.2,6155.1,7797.7,0.228,32,40
min_special,can,21,515.0,318.8,787.2,0.562,15,40
min_special,should,58,1422.4,1080.1,1838.7,0.406,27,40
min_special,may,28,686.7,456.3,992.4,0.521,14,40
min_special,might,74,1814.7,1425.0,2278.3,0.293,27,40
min_special,must,3,73.6,15.2,215.0,0.939,2,40
min_special,shall,4,98.1,26.7,251.2,0.953,1,40
min_front_matter,will,17,285.0,166.0,456.3,0.895,6,99
min_front_matter,would,40,670.6,479.1,913.1,0.874,6,99
min_front_matter,could,7,117.4,47.2,241.8,0.903,4,99
min_front_matter,can,4,67.1,18.3,171.7,0.916,4,99
min_front_matter,should,8,134.1,57.9,264.3,0.916,4,99
min_front_matter,may,2,33.5,4.1,121.1,0.982,1,99
min_front_matter,might,7,117.4,47.2,241.8,0.914,4,99
min_front_matter,must,1,16.8,0.4,93.4,0.971,1,99
min_front_matter,shall,0,0.0,0.0,61.8,,0,99
min_statement_quote,will,601,14798.2,13638.6,16030.1,0.083,99,99
min_statement_quote,would,49,1206.5,892.6,1595.1,0.611,47,99
min_statement_quote,could,50,1231.1,913.8,1623.1,0.544,50,99
min_statement_quote,can,2,49.2,6.0,177.9,0.972,2,99
min_statement_quote,should,33,812.5,559.3,1141.1,0.609,27,99
min_statement_quote,may,26,640.2,418.2,938.0,0.695,25,99
min_statement_quote,might,0,0.0,0.0,90.8,,0,99
min_statement_quote,must,0,0.0,0.0,90.8,,0,99
min_statement_quote,shall,0,0.0,0.0,90.8,,0,99
min_directive_quote,will,48,2173.5,1602.6,2881.8,0.773,21,99
min_directive_quote,would,0,0.0,0.0,167.0,,0,99
min_directive_quote,could,18,815.1,483.1,1288.2,0.823,18,99
min_directive_quote,can,36,1630.1,1141.7,2256.8,0.733,23,99
min_directive_quote,should,0,0.0,0.0,167.0,,0,99
min_directive_quote,may,0,0.0,0.0,167.0,,0,99
min_directive_quote,might,0,0.0,0.0,167.0,,0,99
min_directive_quote,must,0,0.0,0.0,167.0,,0,99
min_directive_quote,shall,0,0.0,0.0,167.0,,0,99
min_vote,will,16,941.9,538.4,1529.6,0.87,8,99
min_vote,would,119,7005.4,5803.4,8383.0,0.151,94,99
min_vote,could,13,765.3,407.5,1308.7,0.844,9,99
min_vote,can,1,58.9,1.5,328.0,0.977,1,99
min_vote,should,16,941.9,538.4,1529.6,0.818,12,99
min_vote,may,1,58.9,1.5,328.0,0.983,1,99
min_vote,might,1,58.9,1.5,328.0,0.974,1,99
min_vote,must,0,0.0,0.0,217.2,,0,99
min_vote,shall,0,0.0,0.0,217.2,,0,99
min_sep,will,0,0.0,0.0,3688879.5,,0,0
min_sep,would,0,0.0,0.0,3688879.5,,0,0
min_sep,could,0,0.0,0.0,3688879.5,,0,0
min_sep,can,0,0.0,0.0,3688879.5,,0,0
min_sep,should,0,0.0,0.0,3688879.5,,0,0
min_sep,may,0,0.0,0.0,3688879.5,,0,0
min_sep,might,0,0.0,0.0,3688879.5,,0,0
min_sep,must,0,0.0,0.0,3688879.5,,0,0
min_sep,shall,0,0.0,0.0,3688879.5,,0,0
min_boilerplate,will,36,552.2,386.7,764.4,0.38,14,99
min_boilerplate,would,107,1641.2,1345.0,1983.2,0.399,17,99
min_boilerplate,could,60,920.3,702.3,1184.6,0.434,14,99
min_boilerplate,can,2,30.7,3.7,110.8,0.918,2,99
min_boilerplate,should,12,184.1,95.1,321.5,0.806,5,99
min_boilerplate,may,159,2438.8,2074.4,2848.7,0.326,12,99
min_boilerplate,might,11,168.7,84.2,301.9,0.72,6,99
min_boilerplate,must,85,1303.7,1041.4,1612.1,0.369,10,99
min_boilerplate,shall,199,3052.3,2642.9,3507.1,0.357,10,99
pc_chair,will,4341,8142.8,7902.4,8388.8,0.114,80,80
pc_chair,would,3127,5865.6,5661.8,6074.9,0.118,80,80
pc_chair,could,626,1174.3,1084.1,1269.9,0.189,79,80
pc_chair,can,1610,3020.0,2874.3,3171.2,0.142,80,80
pc_chair,should,497,932.3,852.1,1018.0,0.218,79,80
pc_chair,may,485,909.8,830.6,994.5,0.211,79,80
pc_chair,might,237,444.6,389.8,504.9,0.321,71,80
pc_chair,must,19,35.6,21.5,55.7,0.814,15,80
pc_chair,shall,2,3.8,0.5,13.6,0.987,1,80
pc_journalist,will,411,2970.2,2690.0,3271.7,0.229,79,80
pc_journalist,would,784,5665.8,5276.1,6076.7,0.138,80,80
pc_journalist,could,586,4234.9,3898.9,4592.1,0.165,80,80
pc_journalist,can,380,2746.2,2477.0,3036.7,0.221,78,80
pc_journalist,should,195,1409.2,1218.4,1621.5,0.315,72,80
pc_journalist,may,96,693.8,562.0,847.2,0.373,53,80
pc_journalist,might,241,1741.7,1528.7,1976.0,0.237,76,80
pc_journalist,must,3,21.7,4.5,63.4,0.962,3,80
pc_journalist,shall,0,0.0,0.0,26.7,,0,80
pc_moderator,will,80,40383.6,32021.7,50260.9,0.302,27,49
pc_moderator,would,0,0.0,0.0,1862.1,,0,49
pc_moderator,could,0,0.0,0.0,1862.1,,0,49
pc_moderator,can,2,1009.6,122.3,3647.0,0.8,2,49
pc_moderator,should,0,0.0,0.0,1862.1,,0,49
pc_moderator,may,1,504.8,12.8,2812.5,0.879,1,49
pc_moderator,might,1,504.8,12.8,2812.5,0.879,1,49
pc_moderator,must,0,0.0,0.0,1862.1,,0,49
pc_moderator,shall,0,0.0,0.0,1862.1,,0,49
