minutes_date,statement_date,jaccard,n_quote,n_stmt
2010-01-27,2010-01-27,0.941,16,17
2010-03-16,2010-03-16,0.923,12,13
2010-04-28,2010-04-28,0.769,11,12
2010-06-23,2010-06-23,0.917,11,12
2010-08-10,2010-08-10,0.917,11,12
2010-09-21,2010-09-21,0.923,12,13
2010-11-03,2010-11-03,0.882,15,17
2010-12-14,2010-12-14,0.938,15,16
2011-01-26,2011-01-26,0.933,14,15
2011-03-15,2011-03-15,0.938,15,16
2011-04-27,2011-04-27,0.938,15,16
2011-06-22,2011-06-22,0.941,16,17
2011-08-09,2011-08-09,0.95,19,20
2011-09-21,2011-09-21,0.84,21,25
2011-11-02,2011-11-02,0.941,16,17
2011-12-13,2011-12-13,0.933,14,15
2012-01-25,2012-01-25,0.929,13,14
2012-03-13,2012-03-13,0.938,15,16
2012-04-25,2012-04-25,0.833,16,17
2012-06-20,2012-06-20,0.818,18,22
2012-08-01,2012-08-01,0.824,15,16
2012-09-13,2012-09-13,0.9,18,20
2012-10-24,2012-10-24,0.947,18,19
2012-12-12,2012-12-12,0.913,21,23
2013-01-30,2013-01-30,0.95,19,20
2013-03-20,2013-03-20,0.95,19,20
2013-05-01,2013-05-01,0.864,20,21
2013-06-19,2013-06-19,0.95,19,20
2013-07-31,2013-07-31,0.95,19,20
2013-09-18,2013-09-18,0.952,20,21
2013-10-30,2013-10-30,0.955,21,22
2013-12-18,2013-12-18,0.917,22,24
2014-01-29,2014-01-29,0.846,23,25
2014-03-19,2014-03-19,0.929,26,28
2014-04-30,2014-04-30,0.926,25,27
2014-06-18,2014-06-18,0.923,24,26
2014-07-30,2014-07-30,0.923,24,26
2014-09-17,2014-09-17,0.92,23,25
2014-10-29,2014-10-29,0.92,23,25
2014-12-17,2014-12-17,0.957,22,23
2015-01-28,2015-01-28,0.957,22,23
2015-03-18,2015-03-18,0.957,22,23
2015-04-29,2015-04-29,0.952,20,21
2015-06-17,2015-06-17,0.95,19,20
2015-07-29,2015-07-29,0.95,19,20
2015-09-17,2015-09-17,0.952,20,21
2015-10-28,2015-10-28,0.95,19,20
2015-12-16,2015-12-16,0.952,20,21
2016-01-27,2016-01-27,1.0,18,18
2016-03-16,2016-03-16,1.0,19,19
2016-04-27,2016-04-27,1.0,19,19
2016-06-15,2016-06-15,1.0,19,19
2016-07-27,2016-07-27,1.0,20,20
2016-09-21,2016-09-21,0.905,20,20
2016-11-02,2016-11-02,1.0,20,20
2016-12-14,2016-12-14,1.0,19,19
2017-02-01,2017-02-01,1.0,19,19
