key,unit,period,macro,k,n,r,p_r,rho,p_rho
minutes,ALL,T1,cfnai,-9,99,0.0457,0.6532,-0.0893,0.3791
minutes,ALL,T1,cfnai,-8,99,-0.0099,0.9229,-0.0203,0.8419
minutes,ALL,T1,cfnai,-7,99,-0.0809,0.4263,-0.0916,0.3671
minutes,ALL,T1,cfnai,-6,99,-0.0476,0.6398,-0.018,0.8593
minutes,ALL,T1,cfnai,-5,99,-0.0079,0.9382,-0.0457,0.6531
minutes,ALL,T1,cfnai,-4,99,0.0405,0.6908,-0.0204,0.841
minutes,ALL,T1,cfnai,-3,99,-0.0365,0.7201,-0.0013,0.99
minutes,ALL,T1,cfnai,-2,99,-0.0474,0.6416,0.0094,0.9261
minutes,ALL,T1,cfnai,-1,99,0.0062,0.9512,0.1384,0.172
minutes,ALL,T1,cfnai,0,99,0.0725,0.476,0.1093,0.2817
minutes,ALL,T1,cfnai,1,99,0.0936,0.3567,0.1363,0.1786
minutes,ALL,T1,cfnai,2,99,0.1311,0.1959,0.1826,0.0704
minutes,ALL,T1,cfnai,3,99,0.2825,0.0046,0.2403,0.0166
minutes,ALL,T1,cfnai,4,98,0.2532,0.0119,0.2318,0.0217
minutes,ALL,T1,cfnai,5,97,0.2787,0.0057,0.235,0.0205
minutes,ALL,T1,cfnai,6,97,0.1835,0.072,0.2068,0.0421
minutes,ALL,T1,cfnai,7,96,0.1757,0.0869,0.1635,0.1114
minutes,ALL,T1,cfnai,8,95,0.2016,0.0501,0.1579,0.1265
minutes,ALL,T1,cfnai,9,95,0.0448,0.6662,0.1064,0.3046
minutes,ALL,T1,vix,-9,99,0.2092,0.0377,0.258,0.0099
minutes,ALL,T1,vix,-8,99,0.2408,0.0164,0.2226,0.0268
minutes,ALL,T1,vix,-7,99,0.1204,0.2353,0.0995,0.3271
minutes,ALL,T1,vix,-6,99,0.1002,0.3238,0.0794,0.4348
minutes,ALL,T1,vix,-5,99,0.0491,0.6291,0.0458,0.6527
minutes,ALL,T1,vix,-4,99,0.0805,0.4284,0.0405,0.691
minutes,ALL,T1,vix,-3,99,0.0974,0.3375,0.0608,0.5497
minutes,ALL,T1,vix,-2,99,0.1449,0.1524,0.1254,0.2162
minutes,ALL,T1,vix,-1,99,0.1308,0.197,0.1722,0.0884
minutes,ALL,T1,vix,0,99,0.0628,0.5371,0.0724,0.4765
minutes,ALL,T1,vix,1,99,0.0092,0.9279,0.0193,0.8494
minutes,ALL,T1,vix,2,99,-0.167,0.0986,-0.0534,0.5994
minutes,ALL,T1,vix,3,99,-0.1329,0.1897,-0.0426,0.6757
minutes,ALL,T1,vix,4,98,-0.1255,0.2183,-0.1123,0.271
minutes,ALL,T1,vix,5,97,-0.2671,0.0082,-0.144,0.1593
minutes,ALL,T1,vix,6,97,-0.2208,0.0298,-0.1135,0.2685
minutes,ALL,T1,vix,7,96,-0.1188,0.2492,-0.0548,0.5962
minutes,ALL,T1,vix,8,95,-0.1916,0.0629,-0.0861,0.4067
minutes,ALL,T1,vix,9,95,-0.1906,0.0643,-0.1161,0.2625
minutes,ALL,T2,cfnai,-9,91,0.0559,0.5989,-0.1033,0.3297
minutes,ALL,T2,cfnai,-8,91,0.0602,0.5706,0.0,1.0
minutes,ALL,T2,cfnai,-7,91,-0.0165,0.8765,-0.0775,0.4655
