layer,modal,unit,n,share,rank,modal_n
min_committee,can,can/copular_adj,3,1.0,1,3
min_committee,could,could/causative,55,0.6627,1,83
min_committee,could,could/other,6,0.0723,2,83
min_committee,could,could/activity,6,0.0723,3,83
min_committee,could,could/copular_adj,5,0.0602,4,83
min_committee,could,could/occurrence,4,0.0482,5,83
min_committee,could,could/policy_action,3,0.0361,6,83
min_committee,could,could/copular_nom,2,0.0241,7,83
min_committee,could,could/existence,2,0.0241,8,83
min_committee,may,may/causative,14,0.4516,1,31
min_committee,may,may/copular_adj,13,0.4194,2,31
min_committee,may,may/occurrence,3,0.0968,3,31
min_committee,may,may/policy_action,1,0.0323,4,31
min_committee,should,should/communication,38,0.4471,1,85
min_committee,should,should/activity,21,0.2471,2,85
min_committee,should,should/other,12,0.1412,3,85
min_committee,should,should/aspectual,5,0.0588,4,85
min_committee,should,should/mental,3,0.0353,5,85
min_committee,should,should/existence,2,0.0235,6,85
min_committee,should,should/occurrence,2,0.0235,7,85
min_committee,should,should/copular_adj,1,0.0118,8,85
min_committee,should,should/causative,1,0.0118,9,85
min_committee,will,will/activity,11,0.2973,1,37
min_committee,will,will/copular_adj,8,0.2162,2,37
min_committee,will,will/policy_action,6,0.1622,3,37
min_committee,will,will/aspectual,4,0.1081,4,37
min_committee,will,will/other,2,0.0541,5,37
min_committee,will,will/causative,2,0.0541,6,37
min_committee,will,will/occurrence,2,0.0541,7,37
min_committee,will,will/mental,2,0.0541,8,37
min_committee,would,would/copular_adj,126,0.1752,1,719
min_committee,would,would/aspectual,116,0.1613,2,719
min_committee,would,would/activity,108,0.1502,3,719
min_committee,would,would/occurrence,89,0.1238,4,719
min_committee,would,would/mental,71,0.0987,5,719
min_committee,would,would/policy_action,56,0.0779,6,719
min_committee,would,would/existence,52,0.0723,7,719
min_committee,would,would/causative,48,0.0668,8,719
min_committee,would,would/other,26,0.0362,9,719
min_committee,would,would/communication,24,0.0334,10,719
min_committee,would,would/copular_nom,3,0.0042,11,719
statement,can,can/copular_adj,2,0.5,1,4
statement,can,can/other,2,0.5,2,4
statement,could,could/causative,50,1.0,1,50
statement,may,may/causative,16,0.5926,1,27
statement,may,may/copular_adj,10,0.3704,2,27
statement,may,may/other,1,0.037,3,27
statement,should,should/activity,21,0.6364,1,33
statement,should,should/policy_action,6,0.1818,2,33
statement,should,should/causative,6,0.1818,3,33
statement,will,will/activity,132,0.2175,1,607
statement,will,will/aspectual,126,0.2076,2,607
statement,will,will/mental,105,0.173,3,607
statement,will,will/policy_action,57,0.0939,4,607
statement,will,will/copular_adj,51,0.084,5,607
statement,will,will/occurrence,47,0.0774,6,607
statement,will,will/causative,38,0.0626,7,607
statement,will,will/existence,29,0.0478,8,607
statement,will,will/communication,12,0.0198,9,607
statement,will,will/other,10,0.0165,10,607
statement,would,would/copular_adj,46,0.9388,1,49
statement,would,would/aspectual,2,0.0408,2,49
statement,would,would/policy_action,1,0.0204,3,49
