layer,modal,n,neg,question,cond,reported,contracted,subj_we_I,subj_person,subj_committee_fed,subj_econ,passive,perfect
min_committee,could,83,0.0,0.0,0.614,0.277,0.0,0.0,0.0,0.036,0.12,0.06,0.0
min_committee,will,37,0.0,0.0,0.216,0.622,0.0,0.0,0.108,0.162,0.297,0.0,0.0
min_committee,would,719,0.0,0.0,0.164,0.786,0.0,0.0,0.243,0.103,0.275,0.017,0.001
min_participants,could,875,0.005,0.0,0.287,0.506,0.0,0.0,0.029,0.027,0.304,0.098,0.016
min_participants,will,30,0.0,0.0,0.267,0.767,0.0,0.0,0.1,0.0,0.467,0.167,0.0
min_participants,would,1537,0.016,0.0,0.184,0.714,0.0,0.0,0.04,0.02,0.399,0.116,0.005
min_special,can,21,0.048,0.0,0.429,0.571,0.0,0.0,0.0,0.0,0.381,0.333,0.0
min_special,could,283,0.004,0.0,0.3,0.431,0.0,0.0,0.011,0.085,0.279,0.201,0.004
min_special,will,49,0.0,0.0,0.082,0.347,0.0,0.0,0.02,0.224,0.143,0.102,0.0
min_special,would,344,0.052,0.0,0.241,0.576,0.0,0.0,0.067,0.067,0.186,0.145,0.006
min_staff,could,132,0.0,0.0,0.326,0.25,0.0,0.0,0.0,0.0,0.53,0.038,0.008
min_staff,would,327,0.006,0.0,0.104,0.327,0.0,0.0,0.003,0.021,0.52,0.058,0.009
min_staff_desk,could,138,0.0,0.0,0.246,0.464,0.0,0.0,0.029,0.058,0.283,0.188,0.014
min_staff_desk,will,35,0.029,0.0,0.257,0.457,0.0,0.0,0.057,0.143,0.143,0.086,0.029
min_staff_desk,would,307,0.02,0.0,0.215,0.459,0.0,0.0,0.072,0.101,0.179,0.143,0.016
statement,could,50,0.0,0.0,0.92,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.0
statement,will,607,0.0,0.0,0.041,0.234,0.0,0.0,0.0,0.463,0.227,0.002,0.0
statement,would,49,0.0,0.0,0.939,0.041,0.0,0.0,0.0,0.939,0.0,0.0,0.0
