layer,unit,n_tokens,rho_cfnai_T1,p_cfnai_T1,rho_vix_T1,p_vix_T1,zero_T1,rho_cfnai_T2,p_cfnai_T2,rho_vix_T2,p_vix_T2,zero_T2
min_committee,may+be+appropriate,13,-0.222,0.0269,-0.092,0.3658,0.89,-0.253,0.0156,-0.058,0.5824,0.88
min_committee,will+be+appropriate,7,-0.012,0.9034,-0.102,0.3139,0.93,-0.099,0.3495,-0.155,0.1425,0.93
min_committee,would+be+appropriate,63,0.407,0.0,0.373,0.0001,0.55,0.391,0.0001,0.334,0.0012,0.56
min_participants,may+be+appropriate,11,-0.154,0.1276,0.022,0.8306,0.94,-0.176,0.0948,0.055,0.6052,0.93
min_participants,would+be+appropriate,143,-0.053,0.6042,0.21,0.037,0.23,0.006,0.9575,0.154,0.1443,0.25
min_special,would+be+appropriate,23,0.289,0.0709,0.217,0.1787,0.6,0.266,0.1171,0.325,0.0531,0.56
min_staff_desk,would+be+appropriate,8,-0.015,0.8814,0.054,0.5978,0.95,-0.018,0.8619,0.089,0.4028,0.95
pc_chair,may+be+appropriate,21,-0.122,0.2799,-0.09,0.4249,0.89,-0.15,0.2129,-0.044,0.7154,0.87
pc_chair,will+be+appropriate,105,0.203,0.0711,-0.053,0.6378,0.42,0.122,0.3101,0.01,0.932,0.39
pc_chair,would+be+appropriate,38,-0.016,0.8858,-0.135,0.2322,0.69,0.012,0.9228,-0.072,0.5491,0.68
speech_chair,will+be+appropriate,21,0.047,0.6046,-0.033,0.7157,0.86,-0.013,0.8879,-0.046,0.6179,0.86
speech_chair,would+be+appropriate,11,-0.01,0.9122,-0.043,0.6368,0.94,-0.024,0.8004,-0.025,0.7871,0.94
statement,may+be+appropriate,10,-0.216,0.0302,-0.077,0.4419,0.9,-0.248,0.0178,-0.037,0.7308,0.89
statement,will+be+appropriate,43,0.364,0.0002,0.235,0.018,0.61,0.295,0.0045,0.287,0.0058,0.6
