level,key,unit,period,macro,n_tokens,zero_share,n,r,p_r,rho,p_rho,q_rho,eligible,unit_level
genre,minutes,ALL,T1,cfnai,5589,0.0,99,-0.0389,0.702,0.0789,0.4378,0.613,True,modal
genre,minutes,ALL,T1,vix,5589,0.0,99,0.1012,0.3189,0.0665,0.5132,0.5132,True,modal
genre,minutes,ALL,T2,cfnai,5004,0.0,91,0.1239,0.242,0.1532,0.1472,0.5001,True,modal
genre,minutes,ALL,T2,vix,5004,0.0,91,-0.0321,0.7623,-0.0079,0.9406,0.9406,True,modal
genre,minutes,ALL,T3,cfnai,6954,0.0,131,-0.028,0.7509,0.0851,0.334,0.7294,True,modal
genre,minutes,ALL,T3,vix,6954,0.0,131,-0.0193,0.827,-0.0649,0.4615,0.5384,True,modal
genre,minutes,ALL,H1,cfnai,2846,0.0,48,0.183,0.213,0.2179,0.1368,0.4456,True,modal
genre,minutes,ALL,H1,vix,2846,0.0,48,0.1711,0.2449,0.2154,0.1415,0.4954,True,modal
genre,minutes,ALL,H2,cfnai,2158,0.0,43,0.1073,0.4933,0.0463,0.7681,0.7681,True,modal
genre,minutes,ALL,H2,vix,2158,0.0,43,-0.0384,0.807,-0.0222,0.8876,0.8876,True,modal
layer,min_committee,ALL,T1,cfnai,958,0.0,99,-0.0474,0.6416,0.0094,0.9261,0.9647,True,modal
layer,min_committee,ALL,T1,vix,958,0.0,99,0.1015,0.3176,0.1217,0.2303,0.3463,True,modal
layer,min_committee,ALL,T2,cfnai,886,0.0,91,-0.0122,0.9087,-0.0193,0.8556,0.9722,True,modal
layer,min_committee,ALL,T2,vix,886,0.0,91,0.07,0.5098,0.0982,0.3542,0.6292,True,modal
layer,min_committee,ALL,T3,cfnai,1254,0.0,131,-0.018,0.8386,0.1014,0.2492,0.5664,True,modal
layer,min_committee,ALL,T3,vix,1254,0.0,131,0.0817,0.3536,0.0972,0.2695,0.4114,True,modal
layer,min_committee,ALL,H1,cfnai,534,0.0,48,0.1202,0.4158,0.1794,0.2223,0.3706,True,modal
layer,min_committee,ALL,H1,vix,534,0.0,48,-0.124,0.401,-0.1138,0.4414,0.8538,True,modal
layer,min_committee,ALL,H2,cfnai,352,0.0,43,-0.2005,0.1973,-0.2228,0.1509,0.5032,True,modal
layer,min_committee,ALL,H2,vix,352,0.0,43,-0.2227,0.1512,-0.18,0.2482,0.4513,True,modal
layer,min_participants,ALL,T1,cfnai,2756,0.0,99,-0.1318,0.1934,-0.0905,0.373,0.7981,True,modal
layer,min_participants,ALL,T1,vix,2756,0.0,99,0.2628,0.0086,0.1436,0.1562,0.3268,True,modal
layer,min_participants,ALL,T2,cfnai,2444,0.0,91,0.0339,0.7497,-0.0054,0.9595,0.9787,True,modal
layer,min_participants,ALL,T2,vix,2444,0.0,91,0.0495,0.6412,0.0637,0.5486,0.6846,True,modal
layer,min_participants,ALL,T3,cfnai,3359,0.0,131,-0.1152,0.1902,-0.0691,0.4331,0.7733,True,modal
layer,min_participants,ALL,T3,vix,3359,0.0,131,0.0834,0.3436,0.0249,0.7773,0.8954,True,modal
layer,min_participants,ALL,H1,cfnai,1264,0.0,48,0.0642,0.6649,0.098,0.5074,0.5341,True,modal
layer,min_participants,ALL,H1,vix,1264,0.0,48,-0.0271,0.855,-0.0086,0.9539,0.9539,True,modal
layer,min_participants,ALL,H2,cfnai,1180,0.0,43,0.0008,0.9958,-0.0736,0.6391,0.7519,True,modal
layer,min_participants,ALL,H2,vix,1180,0.0,43,-0.0588,0.7082,-0.0453,0.773,0.8589,True,modal
layer,min_special,ALL,T1,cfnai,783,0.0,40,0.0972,0.5508,0.1964,0.2246,0.5615,True,modal
layer,min_special,ALL,T1,vix,783,0.0,40,-0.0946,0.5614,-0.1612,0.3205,0.4217,True,modal
layer,min_special,ALL,T2,cfnai,675,0.0,36,0.1272,0.4599,0.2103,0.2182,0.435,True,modal
layer,min_special,ALL,T2,vix,675,0.0,36,-0.0877,0.6111,-0.139,0.4188,0.6292,True,modal
layer,min_special,ALL,T3,cfnai,863,0.02,49,0.0862,0.556,0.2731,0.0576,0.2882,True,modal
layer,min_special,ALL,T3,vix,863,0.02,49,0.0543,0.711,-0.0327,0.8237,0.8954,True,modal
layer,min_staff,ALL,T1,cfnai,539,0.0,99,-0.0103,0.9197,0.0753,0.4586,0.8656,True,modal
layer,min_staff,ALL,T1,vix,539,0.0,99,-0.2493,0.0128,-0.3326,0.0008,0.0192,True,modal
layer,min_staff,ALL,T2,cfnai,498,0.0,91,0.0513,0.629,0.0919,0.3861,0.6436,True,modal
layer,min_staff,ALL,T2,vix,498,0.0,91,-0.2997,0.0039,-0.3607,0.0004,0.0111,True,modal
layer,min_staff,ALL,T3,cfnai,704,0.008,131,-0.0074,0.933,0.0583,0.5082,0.7941,True,modal
layer,min_staff,ALL,T3,vix,704,0.008,131,-0.301,0.0005,-0.3929,0.0,0.0001,True,modal
layer,min_staff,ALL,H1,cfnai,333,0.0,48,0.245,0.0933,0.2804,0.0535,0.2551,True,modal
layer,min_staff,ALL,H1,vix,333,0.0,48,-0.0849,0.5659,-0.197,0.1795,0.6956,True,modal
layer,min_staff,ALL,H2,cfnai,165,0.0,43,-0.0536,0.733,-0.0966,0.5376,0.731,True,modal
layer,min_staff,ALL,H2,vix,165,0.0,43,-0.1601,0.3052,-0.2354,0.1286,0.2849,True,modal
layer,min_staff_desk,ALL,T1,cfnai,553,0.152,99,0.0821,0.4192,0.139,0.17,0.5606,True,modal
layer,min_staff_desk,ALL,T1,vix,553,0.152,99,0.0851,0.4025,0.139,0.1699,0.3268,True,modal
layer,min_staff_desk,ALL,T2,cfnai,501,0.165,91,0.1994,0.058,0.1615,0.1262,0.3518,True,modal
layer,min_staff_desk,ALL,T2,vix,501,0.165,91,0.0627,0.5546,0.1195,0.2593,0.5402,True,modal
layer,min_staff_desk,ALL,T3,cfnai,774,0.237,131,0.0664,0.4512,0.1352,0.1235,0.3842,True,modal
layer,min_staff_desk,ALL,T3,vix,774,0.237,131,0.1122,0.2019,0.1127,0.1999,0.357,True,modal
layer,min_staff_desk,ALL,H1,cfnai,258,0.271,48,0.2035,0.1655,0.1404,0.3411,0.4684,True,modal
layer,min_staff_desk,ALL,H1,vix,258,0.271,48,-0.0176,0.9055,0.0435,0.7689,0.8544,True,modal
layer,min_staff_desk,ALL,H2,cfnai,243,0.047,43,0.2347,0.1298,0.1999,0.1986,0.5674,True,modal
