key,unit,period,macro,p_text_to_macro,p_macro_to_text,n,q_text_to_macro,q_macro_to_text
minutes,ALL,T1,cfnai,0.2448,0.8072,99,0.9974,0.991
minutes,ALL,T1,vix,0.2224,0.5284,99,0.9974,0.991
minutes,ALL,T2,cfnai,0.6547,0.0632,91,0.9974,0.991
minutes,ALL,T2,vix,0.2956,0.6522,91,0.9974,0.991
minutes,could,T1,cfnai,0.987,0.991,198,0.9974,0.991
minutes,could,T1,vix,0.0885,0.5318,198,0.9974,0.991
minutes,could,T2,cfnai,0.9434,0.9303,182,0.9974,0.991
minutes,could,T2,vix,0.7163,0.951,182,0.9974,0.991
minutes,may,T1,cfnai,0.9527,0.8728,198,0.9974,0.991
minutes,may,T1,vix,0.9537,0.9245,198,0.9974,0.991
minutes,may,T2,cfnai,0.6506,0.7962,182,0.9974,0.991
minutes,may,T2,vix,0.9463,0.7104,182,0.9974,0.991
minutes,should,T1,cfnai,0.9974,0.9498,198,0.9974,0.991
minutes,should,T1,vix,0.8859,0.5381,198,0.9974,0.991
minutes,should,T2,cfnai,0.9508,0.2326,182,0.9974,0.991
minutes,should,T2,vix,0.7083,0.6627,182,0.9974,0.991
minutes,will,T1,cfnai,0.9461,0.9492,198,0.9974,0.991
minutes,will,T1,vix,0.6314,0.6193,198,0.9974,0.991
minutes,will,T2,cfnai,0.9858,0.9152,182,0.9974,0.991
minutes,will,T2,vix,0.2176,0.8411,182,0.9974,0.991
minutes,would,T1,cfnai,0.7597,0.8415,198,0.9974,0.991
minutes,would,T1,vix,0.8669,0.4774,198,0.9974,0.991
minutes,would,T2,cfnai,0.4854,0.3781,182,0.9974,0.991
minutes,would,T2,vix,0.9958,0.7084,182,0.9974,0.991
