layer,unit,n_tokens,zero_T1,rho_cfnai_T1,p_cfnai_T1,rho_vix_T1,p_vix_T1,hac_b_cfnai_T1,hac_p_cfnai_T1,hac_b_vix_T1,hac_p_vix_T1,zero_T2,rho_cfnai_T2,p_cfnai_T2,rho_vix_T2,p_vix_T2,hac_b_cfnai_T2,hac_p_cfnai_T2,hac_b_vix_T2,hac_p_vix_T2,zero_T3,rho_cfnai_T3,p_cfnai_T3,rho_vix_T3,p_vix_T3
min_boilerplate,ALL,376,0.82,-0.049,0.632,-0.02,0.8432,0.0576,0.7757,0.0736,0.5842,0.84,0.023,0.8308,-0.061,0.5643,-0.3378,0.823,-0.1044,0.1284,0.82,-0.066,0.4574,-0.03,0.7386
min_boilerplate,may,159,0.88,0.107,0.293,-0.049,0.6314,0.0475,0.1561,-0.0131,0.3538,0.88,0.18,0.0873,0.021,0.8418,1.0125,0.0521,-0.0082,0.7344,0.88,0.048,0.5866,-0.05,0.5716
min_boilerplate,would,107,0.83,-0.016,0.8738,-0.057,0.5733,-0.0386,0.5745,-0.0387,0.3452,0.85,0.057,0.5918,-0.101,0.3431,-0.9477,0.2304,-0.0722,0.0833,0.82,-0.043,0.6245,-0.053,0.5482
min_boilerplate,could,60,0.86,0.041,0.6852,-0.028,0.7809,-0.0085,0.7973,-0.0073,0.6918,0.87,0.104,0.3274,-0.023,0.8259,-0.3423,0.4097,-0.0231,0.1467,0.85,0.001,0.9914,-0.03,0.7316
min_boilerplate,will,36,0.86,0.041,0.6859,0.107,0.2898,0.0398,0.6027,0.0802,0.1425,0.88,0.154,0.1451,0.073,0.4891,0.0894,0.4797,0.0011,0.8075,0.86,0.009,0.92,0.072,0.4142
min_committee,ALL,958,0.0,0.009,0.9261,0.122,0.2303,-0.1031,0.1566,0.0495,0.2647,0.0,-0.019,0.8556,0.098,0.3542,-0.333,0.82,0.0478,0.4527,0.0,0.101,0.2492,0.097,0.2695
min_committee,would,719,0.0,0.257,0.0103,0.116,0.2549,-0.3298,0.0921,0.0933,0.2014,0.0,0.304,0.0034,-0.019,0.8554,3.6805,0.0041,-0.0304,0.7383,0.01,0.27,0.0018,0.095,0.2797
min_committee,should,85,0.45,-0.136,0.1794,-0.022,0.8306,0.0663,0.234,-0.0311,0.1706,0.42,-0.187,0.0755,0.087,0.4135,-0.7017,0.3909,0.0037,0.9301,0.5,-0.075,0.3944,-0.079,0.369
min_committee,could,83,0.29,-0.251,0.0122,0.245,0.0144,0.1158,0.0757,0.026,0.3518,0.27,-0.37,0.0003,0.337,0.0011,-1.5871,0.0006,0.0858,0.0,0.28,-0.13,0.1383,0.255,0.0033
min_committee,will,37,0.78,-0.159,0.115,-0.003,0.9734,0.0472,0.4232,-0.0132,0.4788,0.77,-0.232,0.0266,0.02,0.8488,-1.3281,0.0721,0.0064,0.7941,0.72,-0.154,0.0795,-0.011,0.9018
