layer,will_n,would_n,could_n,can_n,should_n,may_n,will_per1k,would_per1k,could_per1k,can_per1k,should_per1k,may_per1k,tokens
min_boilerplate,36,107,60,2,12,159,0.55,1.64,0.92,0.03,0.18,2.44,65197
min_committee,37,719,83,3,85,31,0.59,11.44,1.32,0.05,1.35,0.49,62833
min_directive_quote,48,0,18,36,0,0,2.17,0.0,0.82,1.63,0.0,0.0,22084
min_front_matter,17,40,7,4,8,2,0.28,0.67,0.12,0.07,0.13,0.03,59650
min_participants,30,1537,875,8,149,157,0.13,6.86,3.91,0.04,0.67,0.7,223992
min_special,49,344,283,21,58,28,1.2,8.44,6.94,0.51,1.42,0.69,40777
min_staff,16,327,132,2,5,57,0.06,1.31,0.53,0.01,0.02,0.23,249885
min_staff_desk,35,307,138,5,27,41,0.49,4.27,1.92,0.07,0.38,0.57,71942
min_statement_quote,601,49,50,2,33,26,14.8,1.21,1.23,0.05,0.81,0.64,40613
min_vote,16,119,13,1,16,1,0.94,7.01,0.77,0.06,0.94,0.06,16987
pc_chair,4341,3127,626,1610,497,485,8.14,5.87,1.17,3.02,0.93,0.91,533106
pc_journalist,411,784,586,380,195,96,2.97,5.67,4.23,2.75,1.41,0.69,138373
pc_moderator,80,0,0,2,0,1,40.38,0.0,0.0,1.01,0.0,0.5,1981
speech_chair,1169,573,355,514,210,382,4.98,2.44,1.51,2.19,0.89,1.63,234853
statement,607,49,50,4,33,27,14.48,1.17,1.19,0.1,0.79,0.64,41906
statement_vote,5,0,0,0,5,0,0.92,0.0,0.0,0.0,0.92,0.0,5441
