period,layer,label,n_docs,tokens,six_modal_tokens,per_1k
T1,statement,Statement,101,41906,770,18.37
T1,statement_vote,Statement (vote line),100,5441,10,1.84
T1,min_staff_desk,Minutes: Desk/markets (staff),99,71942,553,7.69
T1,min_staff,Minutes: staff review & outlook,99,249885,539,2.16
T1,min_participants,Minutes: participants' views,99,223992,2756,12.3
T1,min_committee,Minutes: Committee policy action,99,62833,958,15.25
T1,min_special,Minutes: special topics,40,40777,783,19.2
T1,min_front_matter,Minutes: front matter,99,59650,78,1.31
T1,min_statement_quote,Minutes: quoted statement,99,40613,761,18.74
T1,min_directive_quote,Minutes: quoted directive,99,22084,102,4.62
T1,min_vote,Minutes: vote & post-vote,99,16987,166,9.77
T1,min_sep,Minutes: SEP addendum,0,0,0,0.0
T1,min_boilerplate,Minutes: authorizations/boilerplate,99,65197,376,5.77
T1,pc_chair,Press conf.: Chair,80,533106,10686,20.04
T1,pc_journalist,Press conf.: journalists,80,138373,2452,17.72
T1,pc_moderator,Press conf.: moderator,49,1981,83,41.9
T1,pc_pre,Press conf.: pre-marker,2,18,0,0.0
T1,speech_chair,Chair speech,124,234853,3203,13.64
T2,statement,Statement,91,37819,697,18.43
T2,statement_vote,Statement (vote line),91,4946,9,1.82
T2,min_staff_desk,Minutes: Desk/markets (staff),91,65804,501,7.61
T2,min_staff,Minutes: staff review & outlook,91,225146,498,2.21
T2,min_participants,Minutes: participants' views,91,204165,2444,11.97
T2,min_committee,Minutes: Committee policy action,91,58151,886,15.24
T2,min_special,Minutes: special topics,36,35950,675,18.78
T2,min_front_matter,Minutes: front matter,91,52865,61,1.15
T2,min_statement_quote,Minutes: quoted statement,91,37329,697,18.67
T2,min_directive_quote,Minutes: quoted directive,91,20096,93,4.63
T2,min_vote,Minutes: vote & post-vote,91,15585,156,10.01
T2,min_sep,Minutes: SEP addendum,0,0,0,0.0
T2,min_boilerplate,Minutes: authorizations/boilerplate,91,59544,335,5.63
T2,pc_chair,Press conf.: Chair,71,471303,9293,19.72
T2,pc_journalist,Press conf.: journalists,71,124529,2190,17.59
T2,pc_moderator,Press conf.: moderator,42,1621,66,40.72
T2,pc_pre,Press conf.: pre-marker,1,4,0,0.0
T2,speech_chair,Chair speech,118,226298,3075,13.59
T3,statement,Statement,133,57065,1007,17.65
T3,statement_vote,Statement (vote line),132,7954,30,3.77
T3,min_staff_desk,Minutes: Desk/markets (staff),131,88213,774,8.77
T3,min_staff,Minutes: staff review & outlook,131,334850,704,2.1
T3,min_participants,Minutes: participants' views,131,282404,3359,11.89
T3,min_committee,Minutes: Committee policy action,131,84104,1254,14.91
T3,min_special,Minutes: special topics,49,45089,863,19.14
T3,min_front_matter,Minutes: front matter,132,83596,150,1.79
T3,min_statement_quote,Minutes: quoted statement,131,55582,998,17.96
T3,min_directive_quote,Minutes: quoted directive,131,28552,202,7.07
T3,min_vote,Minutes: vote & post-vote,131,26262,315,11.99
T3,min_sep,Minutes: SEP addendum,0,0,0,0.0
T3,min_boilerplate,Minutes: authorizations/boilerplate,130,81053,478,5.9
T3,pc_chair,Press conf.: Chair,92,617268,12233,19.82
T3,pc_journalist,Press conf.: journalists,92,160087,2884,18.02
T3,pc_moderator,Press conf.: moderator,49,1981,83,41.9
T3,pc_pre,Press conf.: pre-marker,12,48,0,0.0
T3,speech_chair,Chair speech,174,365802,4720,12.9
