layer,will,would,could,can,should,may
min_boilerplate,-7.4,-1.6,1.2,-6.0,-1.9,28.0
min_committee,-15.0,22.4,-4.1,-9.8,4.5,-3.7
min_participants,-28.1,20.5,25.9,-16.7,-0.1,-1.2
min_special,-12.4,5.2,17.1,-6.9,2.3,-3.0
min_staff,-11.6,11.0,6.9,-7.3,-4.5,4.0
min_staff_desk,-10.4,9.1,7.3,-7.0,-0.6,1.1
min_statement_quote,24.0,-12.8,-5.2,-8.8,-1.3,-3.1
pc_chair,18.4,-7.1,-21.7,13.8,-3.6,-7.1
pc_journalist,-12.5,-1.1,13.9,7.3,5.3,-4.6
speech_chair,5.9,-15.1,-3.8,9.2,2.6,12.9
statement,24.1,-12.9,-5.3,-8.6,-1.4,-3.0
