layer,unit,n,share
min_boilerplate,may/other,84,0.2234
min_boilerplate,would/causative,28,0.0745
min_boilerplate,may/policy_action,28,0.0745
min_boilerplate,could/causative,27,0.0718
min_boilerplate,would/copular_adj,24,0.0638
min_boilerplate,would/other,23,0.0612
min_boilerplate,will/other,21,0.0559
min_boilerplate,may/activity,13,0.0346
min_boilerplate,would/activity,10,0.0266
min_boilerplate,could/occurrence,9,0.0239
min_committee,would/copular_adj,126,0.1315
min_committee,would/aspectual,116,0.1211
min_committee,would/activity,108,0.1127
min_committee,would/occurrence,89,0.0929
min_committee,would/mental,71,0.0741
min_committee,would/policy_action,56,0.0585
min_committee,could/causative,55,0.0574
min_committee,would/existence,52,0.0543
min_committee,would/causative,48,0.0501
min_committee,should/communication,38,0.0397
min_directive_quote,can/occurrence,36,0.3529
min_directive_quote,will/aspectual,25,0.2451
min_directive_quote,could/causative,18,0.1765
min_directive_quote,will/causative,15,0.1471
min_directive_quote,will/other,2,0.0196
min_directive_quote,will/policy_action,2,0.0196
min_directive_quote,will/occurrence,2,0.0196
min_directive_quote,will/existence,1,0.0098
min_directive_quote,will/activity,1,0.0098
min_front_matter,would/copular_adj,9,0.1154
min_front_matter,would/other,8,0.1026
min_front_matter,will/other,7,0.0897
min_front_matter,would/policy_action,5,0.0641
min_front_matter,would/aspectual,4,0.0513
min_front_matter,will/activity,4,0.0513
min_front_matter,would/occurrence,4,0.0513
min_front_matter,should/other,3,0.0385
min_front_matter,would/communication,2,0.0256
min_front_matter,can/other,2,0.0256
min_participants,would/copular_adj,321,0.1165
min_participants,could/causative,248,0.09
min_participants,would/other,213,0.0773
min_participants,would/occurrence,187,0.0679
min_participants,would/activity,158,0.0573
min_participants,would/causative,155,0.0562
min_participants,would/policy_action,152,0.0552
min_participants,could/other,148,0.0537
min_participants,could/occurrence,132,0.0479
min_participants,would/aspectual,120,0.0435
min_special,would/copular_adj,90,0.1149
min_special,could/other,68,0.0868
min_special,would/other,62,0.0792
min_special,could/activity,51,0.0651
min_special,would/activity,40,0.0511
min_special,could/causative,40,0.0511
min_special,could/policy_action,39,0.0498
min_special,would/policy_action,33,0.0421
min_special,would/causative,29,0.037
min_special,would/existence,23,0.0294
min_staff,would/occurrence,103,0.1911
min_staff,would/policy_action,58,0.1076
min_staff,could/occurrence,43,0.0798
min_staff,would/other,42,0.0779
min_staff,would/copular_adj,41,0.0761
min_staff,may/occurrence,24,0.0445
min_staff,would/activity,23,0.0427
min_staff,would/causative,22,0.0408
min_staff,could/other,21,0.039
min_staff,could/causative,18,0.0334
min_staff_desk,would/other,62,0.1121
min_staff_desk,would/policy_action,46,0.0832
min_staff_desk,would/copular_adj,39,0.0705
min_staff_desk,would/aspectual,37,0.0669
min_staff_desk,would/occurrence,36,0.0651
min_staff_desk,would/activity,31,0.0561
min_staff_desk,could/occurrence,25,0.0452
min_staff_desk,could/causative,24,0.0434
min_staff_desk,could/activity,21,0.038
min_staff_desk,could/other,17,0.0307
