modal,head_verb,n,share_within_modal,genre
can,be,202,0.07619766125990192,all
can,do,200,0.07544322897019992,all
can,see,115,0.04337985665786496,all
can,say,91,0.034326669181440964,all
can,give,68,0.025650697849867975,all
can,everything,61,0.023010184835910975,all
can,have,61,0.023010184835910975,all
can,tell,60,0.022632968691059976,all
can,look,53,0.01999245567710298,all
can,make,51,0.01923802338740098,all
can,take,43,0.016220294228592985,all
can,affect,42,0.015843078083741986,all
can,increase,42,0.015843078083741986,all
can,think,42,0.015843078083741986,all
can,help,40,0.015088645794039984,all
can,get,38,0.014334213504337986,all
can,find,37,0.013956997359486986,all
can,talk,32,0.012070916635231988,all
can,go,28,0.010562052055827989,all
can,explain,27,0.01018483591097699,all
can,continue,24,0.009053187476423991,all
can,happen,21,0.007921539041870993,all
can,speak,21,0.007921539041870993,all
can,achieve,20,0.007544322897019992,all
can,know,19,0.007167106752168993,all
can,provide,18,0.0067898906073179935,all
can,support,18,0.0067898906073179935,all
can,follow,17,0.006412674462466994,all
can,afford,16,0.006035458317615994,all
can,change,16,0.006035458317615994,all
can,move,16,0.006035458317615994,all
can,use,16,0.006035458317615994,all
can,adjust,15,0.005658242172764994,all
can,lead,15,0.005658242172764994,all
can,maintain,15,0.005658242172764994,all
can,respond,15,0.005658242172764994,all
can,address,14,0.005281026027913994,all
can,come,14,0.005281026027913994,all
can,can,13,0.004903809883062995,all
can,improve,13,0.004903809883062995,all
can,ask,12,0.004526593738211996,all
can,expect,12,0.004526593738211996,all
can,identify,12,0.004526593738211996,all
can,sustain,11,0.004149377593360996,all
can,hold,10,0.003772161448509996,all
can,point,10,0.003772161448509996,all
can,clearly,9,0.0033949453036589967,all
can,hear,9,0.0033949453036589967,all
can,imagine,9,0.0033949453036589967,all
can,put,9,0.0033949453036589967,all
can,raise,9,0.0033949453036589967,all
can,reduce,9,0.0033949453036589967,all
can,work,9,0.0033949453036589967,all
can,avoid,8,0.003017729158807997,all
can,bring,8,0.003017729158807997,all
can,create,8,0.003017729158807997,all
can,learn,8,0.003017729158807997,all
can,start,8,0.003017729158807997,all
can,walk,8,0.003017729158807997,all
can,cause,7,0.002640513013956997,all
can,comment,7,0.002640513013956997,all
can,control,7,0.002640513013956997,all
can,good,7,0.002640513013956997,all
can,handle,7,0.002640513013956997,all
can,influence,7,0.002640513013956997,all
can,pay,7,0.002640513013956997,all
can,rule,7,0.002640513013956997,all
can,succeed,7,0.002640513013956997,all
can,well,7,0.002640513013956997,all
can,all,6,0.002263296869105998,all
can,allow,6,0.002263296869105998,all
can,begin,6,0.002263296869105998,all
can,clarify,6,0.002263296869105998,all
can,contribute,6,0.002263296869105998,all
can,cut,6,0.002263296869105998,all
can,estimate,6,0.002263296869105998,all
can,grant,6,0.002263296869105998,all
can,keep,6,0.002263296869105998,all
can,play,6,0.002263296869105998,all
can,pose,6,0.002263296869105998,all
can,promote,6,0.002263296869105998,all
can,recall,6,0.002263296869105998,all
can,run,6,0.002263296869105998,all
can,serve,6,0.002263296869105998,all
can,share,6,0.002263296869105998,all
can,try,6,0.002263296869105998,all
can,vary,6,0.002263296869105998,all
can,amplify,5,0.001886080724254998,all
can,characterize,5,0.001886080724254998,all
can,deliver,5,0.001886080724254998,all
can,draw,5,0.001886080724254998,all
can,ease,5,0.001886080724254998,all
can,fast,5,0.001886080724254998,all
can,lower,5,0.001886080724254998,all
can,measure,5,0.001886080724254998,all
can,meet,5,0.001886080724254998,all
can,observe,5,0.001886080724254998,all
can,wait,5,0.001886080724254998,all
can,agree,4,0.0015088645794039985,all
can,answer,4,0.0015088645794039985,all
can,assume,4,0.0015088645794039985,all
can,attribute,4,0.0015088645794039985,all
can,base,4,0.0015088645794039985,all
can,become,4,0.0015088645794039985,all
can,build,4,0.0015088645794039985,all
can,count,4,0.0015088645794039985,all
can,describe,4,0.0015088645794039985,all
can,elaborate,4,0.0015088645794039985,all
can,factor,4,0.0015088645794039985,all
can,grow,4,0.0015088645794039985,all
can,guarantee,4,0.0015088645794039985,all
can,hire,4,0.0015088645794039985,all
can,implement,4,0.0015088645794039985,all
can,let,4,0.0015088645794039985,all
can,lose,4,0.0015088645794039985,all
can,manage,4,0.0015088645794039985,all
can,miss,4,0.0015088645794039985,all
can,of,4,0.0015088645794039985,all
can,offer,4,0.0015088645794039985,all
can,protect,4,0.0015088645794039985,all
can,react,4,0.0015088645794039985,all
can,remember,4,0.0015088645794039985,all
can,return,4,0.0015088645794039985,all
can,target,4,0.0015088645794039985,all
can,trust,4,0.0015088645794039985,all
can,way,4,0.0015088645794039985,all
can,account,3,0.001131648434552999,all
can,add,3,0.001131648434552999,all
can,argue,3,0.001131648434552999,all
can,benefit,3,0.001131648434552999,all
can,buy,3,0.001131648434552999,all
can,challenge,3,0.001131648434552999,all
can,communicate,3,0.001131648434552999,all
can,damage,3,0.001131648434552999,all
can,decide,3,0.001131648434552999,all
can,deploy,3,0.001131648434552999,all
can,develop,3,0.001131648434552999,all
can,dial,3,0.001131648434552999,all
can,enhance,3,0.001131648434552999,all
can,evaluate,3,0.001131648434552999,all
can,feel,3,0.001131648434552999,all
can,fill,3,0.001131648434552999,all
can,focus,3,0.001131648434552999,all
can,force,3,0.001131648434552999,all
can,generate,3,0.001131648434552999,all
can,hit,3,0.001131648434552999,all
can,produce,3,0.001131648434552999,all
can,push,3,0.001131648434552999,all
can,reach,3,0.001131648434552999,all
can,remain,3,0.001131648434552999,all
can,require,3,0.001131648434552999,all
can,resolve,3,0.001131648434552999,all
can,result,3,0.001131648434552999,all
can,set,3,0.001131648434552999,all
can,soften,3,0.001131648434552999,all
can,stop,3,0.001131648434552999,all
can,strengthen,3,0.001131648434552999,all
can,tie,3,0.001131648434552999,all
can,turn,3,0.001131648434552999,all
