modal,verb,obs,exp,ratio,odds_ratio,p,signed_log10p,G2,genre
can,do,200,55.63,3.6,5.583,1.472318653155448e-63,62.83,283.17,all
can,everything,61,6.68,9.13,516.663,2.9362881676298866e-58,57.53,262.99,all
can,tell,60,13.91,4.31,7.339,9.00469047315497e-25,24.05,105.73,all
can,give,68,18.0,3.78,5.807,9.603619913388645e-24,23.02,100.86,all
can,see,115,48.41,2.38,2.933,4.1749060287969406e-19,18.38,79.49,all
can,find,37,7.98,4.64,8.378,3.9438401384503364e-17,16.4,71.04,all
can,can,13,1.4,9.28,inf,2.5898508529915954e-13,12.59,57.97,all
can,speak,21,3.56,5.9,14.59,4.4074184716665084e-13,12.36,53.15,all
can,afford,16,2.48,6.45,19.024,3.7283088036084816e-11,10.43,44.68,all
can,identify,12,1.62,7.42,33.247,8.025454659586345e-10,9.1,39.17,all
can,think,42,16.6,2.53,3.137,9.391937651934365e-09,8.03,32.45,all
can,explain,27,8.19,3.3,4.597,9.523773056469836e-09,8.02,32.71,all
can,clearly,9,1.08,8.35,74.729,1.7561671616860025e-08,7.76,33.85,all
can,talk,32,11.64,2.75,3.515,6.432522333088559e-08,7.19,28.81,all
can,control,7,0.75,9.28,inf,1.681163170643985e-07,6.77,31.2,all
can,good,7,0.75,9.28,inf,1.681163170643985e-07,6.77,31.2,all
can,get,38,16.39,2.32,2.784,5.648091375963343e-07,6.25,24.54,all
can,well,7,0.86,8.12,58.078,1.2183543101614376e-06,5.91,25.4,all
can,achieve,20,6.47,3.09,4.162,2.449305299613532e-06,5.61,21.92,all
can,be+patient,16,4.53,3.53,5.117,3.399738278171563e-06,5.47,21.44,all
can,all,6,0.75,7.95,49.763,9.928778073703873e-06,5.0,21.23,all
can,be+specific,6,0.75,7.95,49.763,9.928778073703873e-06,5.0,21.23,all
can,grant,6,0.75,7.95,49.763,9.928778073703873e-06,5.0,21.23,all
can,be+sure,7,1.08,6.49,19.358,1.500486313974228e-05,4.82,19.67,all
can,estimate,6,0.86,6.96,24.88,3.60600493643312e-05,4.44,18.2,all
can,hear,9,1.94,4.64,8.3,3.7993758184273536e-05,4.42,17.21,all
can,make,51,29.0,1.76,1.954,6.320570544286195e-05,4.2,15.87,all
can,increase,42,22.64,1.86,2.086,7.38523557106202e-05,4.13,15.42,all
can,affect,42,22.75,1.85,2.074,7.934315251282323e-05,4.1,15.2,all
can,rule,7,1.29,5.41,11.614,8.136635226590921e-05,4.09,16.04,all
can,recall,6,0.97,6.18,16.586,9.824526743587163e-05,4.01,15.97,all
can,walk,8,1.72,4.64,8.297,0.00010459742802701126,3.98,15.3,all
can,guarantee,4,0.43,9.28,inf,0.0001348335753699254,3.87,17.82,all
can,protect,4,0.43,9.28,inf,0.0001348335753699254,3.87,17.82,all
can,trust,4,0.43,9.28,inf,0.0001348335753699254,3.87,17.82,all
can,handle,7,1.4,4.99,9.678,0.00015984089634891847,3.8,14.62,all
can,succeed,7,1.4,4.99,9.678,0.00015984089634891847,3.8,14.62,all
can,fast,5,0.75,6.63,20.726,0.00025269480636780844,3.6,14.36,all
can,imagine,9,2.37,3.79,5.745,0.00026006821469570427,3.58,13.31,all
can,improve,13,4.64,2.8,3.599,0.00041798181342072357,3.38,12.08,all
can,sustain,11,3.67,3.0,3.97,0.0006055672105424243,3.22,11.47,all
can,be+certain,4,0.54,7.42,33.15,0.0006160992213272853,3.21,13.05,all
can,be+volatile,5,0.86,5.8,13.816,0.0006137527347069374,3.21,12.38,all
can,observe,5,0.86,5.8,13.816,0.0006137527347069374,3.21,12.38,all
can,of,4,0.54,7.42,33.15,0.0006160992213272853,3.21,13.05,all
can,way,4,0.54,7.42,33.15,0.0006160992213272853,3.21,13.05,all
can,maintain,15,6.04,2.48,3.039,0.000656754370691043,3.18,11.12,all
can,address,14,5.61,2.5,3.06,0.0009303780995430356,3.03,10.49,all
can,dial,3,0.32,9.28,inf,0.001251895122373484,2.9,13.37,all
can,what,3,0.32,9.28,inf,0.001251895122373484,2.9,13.37,all
can,hire,4,0.65,6.18,16.574,0.0016897166630949595,2.77,10.64,all
can,avoid,8,2.48,3.23,4.424,0.001995214601702997,2.7,9.35,all
can,deliver,5,1.08,4.64,8.289,0.0022931682637114723,2.64,9.56,all
can,be+effective,7,2.05,3.42,4.837,0.0026177258408489764,2.58,8.92,all
can,respond,15,6.9,2.17,2.542,0.003489008985212869,2.46,8.33,all
can,be+confident,4,0.75,5.3,11.049,0.0036057458053978288,2.44,8.95,all
can,count,4,0.75,5.3,11.049,0.0036057458053978288,2.44,8.95,all
can,damage,3,0.43,6.96,24.853,0.004603079763384159,2.34,9.1,all
can,fill,3,0.43,6.96,24.853,0.004603079763384159,2.34,9.1,all
can,learn,8,2.8,2.85,3.686,0.004738221041095556,2.32,7.66,all
can,share,6,1.72,3.48,4.974,0.004802575596503927,2.32,7.85,all
can,measure,5,1.29,3.86,5.92,0.0059910646794458225,2.22,7.58,all
can,vary,6,1.83,3.27,4.522,0.006753175407379506,2.17,7.17,all
can,create,8,3.02,2.65,3.317,0.007756031815716275,2.11,6.71,all
can,look,53,37.09,1.43,1.518,0.008327823693655608,2.08,6.97,all
can,draw,5,1.4,3.57,5.18,0.008880301792370073,2.05,6.78,all
can,be+example,3,0.54,5.57,12.426,0.01058355057646947,1.98,7.09,all
can,be+long,3,0.54,5.57,12.426,0.01058355057646947,1.98,7.09,all
can,adjust,15,8.09,1.86,2.075,0.014975061319704134,1.82,5.47,all
can,attribute,4,1.08,3.71,5.524,0.01658692169406415,1.78,5.73,all
can,let,4,1.08,3.71,5.524,0.01658692169406415,1.78,5.73,all
can,target,4,1.08,3.71,5.524,0.01658692169406415,1.78,5.73,all
can,account,3,0.65,4.64,8.284,0.01947738448984398,1.71,5.73,all
can,be+clearer,3,0.65,4.64,8.284,0.01947738448984398,1.71,5.73,all
can,tie,3,0.65,4.64,8.284,0.01947738448984398,1.71,5.73,all
can,comment,7,2.91,2.4,2.901,0.02142596109320065,1.67,4.85,all
can,build,4,1.19,3.37,4.734,0.023875154976471195,1.62,5.0,all
can,clarify,6,2.37,2.53,3.108,0.02548732264176132,1.59,4.6,all
can,know,19,11.54,1.65,1.792,0.027412718632726277,1.56,4.66,all
can,miss,4,1.29,3.09,4.142,0.032817200124983875,1.48,4.37,all
can,remember,4,1.29,3.09,4.142,0.032817200124983875,1.48,4.37,all
can,amplify,5,1.94,2.58,3.187,0.03751169807661939,1.43,3.97,all
can,be+difficult,7,3.23,2.16,2.523,0.03698028555297011,1.43,3.84,all
can,ask,12,6.79,1.77,1.951,0.041551936501326395,1.38,3.75,all
can,answer,4,1.4,2.85,3.682,0.043455821606145584,1.36,3.83,all
can,offer,4,1.4,2.85,3.682,0.043455821606145584,1.36,3.83,all
can,pay,7,3.34,2.09,2.417,0.04347498900668748,1.36,3.55,all
can,buy,3,0.86,3.48,4.97,0.04625113827943251,1.33,3.92,all
can,soften,3,0.86,3.48,4.97,0.04625113827943251,1.33,3.92,all
can,be+costly,4,1.51,2.65,3.314,0.05579642339644966,1.25,3.35,all
can,manage,4,1.51,2.65,3.314,0.05579642339644966,1.25,3.35,all
can,cut,6,2.91,2.06,2.367,0.06373986190146418,1.2,2.92,all
can,elaborate,4,1.62,2.47,3.012,0.06981090975475551,1.16,2.93,all
can,factor,4,1.62,2.47,3.012,0.06981090975475551,1.16,2.93,all
can,influence,7,3.56,1.97,2.231,0.08167050998397225,1.09,3.01,all
can,deploy,3,1.08,2.78,3.549,0.08423702964281142,1.07,2.75,all
can,develop,3,1.08,2.78,3.549,0.08423702964281142,1.07,2.75,all
can,happen,21,14.99,1.4,1.477,0.10019723739884638,1.0,2.45,all
can,resolve,3,1.19,2.53,3.106,0.10687273264268897,0.97,2.3,all
can,assume,4,1.94,2.06,2.366,0.12120696816110256,0.92,1.95,all
can,challenge,3,1.29,2.32,2.76,0.13155791014859075,0.88,1.92,all
can,hit,3,1.29,2.32,2.76,0.13155791014859075,0.88,1.92,all
can,worry,3,1.29,2.32,2.76,0.13155791014859075,0.88,1.92,all
can,produce,3,1.4,2.14,2.484,0.15798853671132426,0.8,1.6,all
can,promote,6,3.56,1.69,1.841,0.1615838625866665,0.79,1.6,all
can,ease,5,2.59,1.93,2.18,0.1736557112999726,0.76,2.05,all
can,lower,5,2.59,1.93,2.18,0.1736557112999726,0.76,2.05,all
can,wait,5,2.7,1.86,2.071,0.18248508025681054,0.74,1.82,all
can,meet,5,2.91,1.72,1.882,0.20520177219999824,0.69,1.42,all
can,argue,3,1.62,1.86,2.07,0.2148711638987192,0.67,1.09,all
can,force,3,1.62,1.86,2.07,0.2148711638987192,0.67,1.09,all
can,change,16,11.97,1.34,1.396,0.21849494563733418,0.66,1.4,all
can,serve,6,3.67,1.64,1.775,0.2592189392620745,0.59,1.43,all
can,support,18,14.12,1.27,1.32,0.2591451309089733,0.59,1.11,all
can,implement,4,2.16,1.86,2.07,0.26424952566812415,0.58,1.45,all
can,lose,4,2.16,1.86,2.07,0.26424952566812415,0.58,1.45,all
can,base,4,2.26,1.77,1.949,0.27539047977381215,0.56,1.25,all
can,be+tool,4,2.26,1.77,1.949,0.27539047977381215,0.56,1.25,all
can,bring,8,5.82,1.37,1.441,0.37449876369335533,0.43,0.83,all
can,follow,17,14.02,1.21,1.247,0.3938155189324748,0.4,0.68,all
can,work,9,6.79,1.33,1.381,0.411773939287456,0.39,0.74,all
can,decide,3,1.83,1.64,1.774,0.41889867789493923,0.38,0.71,all
can,evaluate,3,1.83,1.64,1.774,0.41889867789493923,0.38,0.71,all
can,generate,3,1.83,1.64,1.774,0.41889867789493923,0.38,0.71,all
can,try,6,4.53,1.33,1.38,0.45141870984281846,0.35,0.49,all
can,enhance,3,2.16,1.39,1.461,0.46976206313636365,0.33,0.33,all
can,react,4,3.02,1.33,1.38,0.5365185965193784,0.27,0.33,all
can,characterize,5,4.1,1.22,1.254,0.5985257271948883,0.22,0.21,all
can,run,6,5.07,1.18,1.212,0.6357582101253351,0.2,0.18,all
can,be+part,3,2.7,1.11,1.129,0.7470252871786125,0.13,0.04,all
can,set,3,2.59,1.16,1.182,0.7391322360457752,0.13,0.07,all
can,stop,3,2.59,1.16,1.182,0.7391322360457752,0.13,0.07,all
can,agree,4,3.77,1.06,1.068,0.7868368891982197,0.1,0.02,all
can,be+case,4,3.88,1.03,1.034,0.7925366233137886,0.1,0.0,all
can,grow,4,3.77,1.06,1.068,0.7868368891982197,0.1,0.02,all
can,go,28,27.06,1.03,1.039,0.8377436082048046,0.08,0.04,all
can,play,6,5.82,1.03,1.034,0.827779743829625,0.08,0.01,all
can,raise,9,8.41,1.07,1.08,0.8541144066197248,0.07,0.05,all
can,point,10,9.6,1.04,1.048,0.8637215581957922,0.06,0.02,all
can,be+useful,3,3.45,0.87,0.856,1.0,0.0,0.07,all
can,cause,7,7.12,0.98,0.982,1.0,0.0,0.0,all
can,communicate,3,3.56,0.84,0.827,1.0,0.0,0.1,all
can,describe,4,4.31,0.93,0.919,1.0,0.0,0.03,all
can,feel,3,3.77,0.8,0.776,1.0,0.0,0.19,all
can,provide,18,18.87,0.95,0.948,1.0,0.0,0.05,all
can,push,3,3.88,0.77,0.752,1.0,0.0,0.24,all
can,pose,6,6.9,0.87,0.856,0.8420577220381805,-0.07,0.14,all
can,benefit,3,4.31,0.7,0.671,0.7966154035885583,-0.1,0.5,all
can,use,16,17.9,0.89,0.882,0.7076352939599246,-0.15,0.23,all
can,reduce,9,11.32,0.8,0.775,0.6347080468095165,-0.2,0.57,all
can,focus,3,4.64,0.65,0.62,0.6210918296813654,-0.21,0.73,all
can,lead,15,17.68,0.85,0.832,0.6127044681608644,-0.21,0.48,all
can,reach,3,4.42,0.68,0.653,0.6191028474151001,-0.21,0.57,all
can,contribute,6,8.3,0.72,0.699,0.5785757083891299,-0.24,0.79,all
can,help,40,43.99,0.91,0.898,0.5733447386307566,-0.24,0.42,all
can,start,8,10.35,0.77,0.752,0.5127943733270597,-0.29,0.65,all
can,allow,6,8.95,0.67,0.644,0.37571904528673233,-0.43,1.22,all
can,put,9,12.4,0.73,0.702,0.36679709871884075,-0.44,1.15,all
can,return,4,7.12,0.56,0.533,0.3167773910093665,-0.5,1.79,all
can,have,61,69.65,0.88,0.86,0.3033261832756481,-0.52,1.28,all
can,say,91,101.99,0.89,0.877,0.2614650350447538,-0.58,1.42,all
can,keep,6,10.24,0.59,0.557,0.1857817824529859,-0.73,2.28,all
can,come,14,20.38,0.69,0.66,0.15677343718656783,-0.8,2.5,all
can,begin,6,10.89,0.55,0.522,0.14580551758177582,-0.84,2.9,all
can,weigh,3,7.87,0.38,0.354,0.08512651458405515,-1.07,4.32,all
can,turn,3,7.55,0.4,0.37,0.08286847883398067,-1.08,3.89,all
can,strengthen,3,7.98,0.38,0.349,0.06054270547311816,-1.22,4.46,all
can,hold,10,18.11,0.55,0.522,0.04479220395520526,-1.35,4.8,all
can,add,3,8.41,0.36,0.33,0.044026448526990836,-1.36,5.06,all
can,expect,12,23.4,0.51,0.482,0.010910610400638066,-1.96,7.48,all
can,become,4,12.4,0.32,0.297,0.009357962470401167,-2.03,8.45,all
can,move,16,29.22,0.55,0.516,0.0075316745013288625,-2.12,7.95,all
can,require,3,11.64,0.26,0.236,0.0044308653000145245,-2.35,9.94,all
can,be,20,37.09,0.54,0.507,0.002052757144116653,-2.69,10.53,all
can,result,3,13.8,0.22,0.198,0.0005270526777990274,-3.28,13.48,all
can,take,43,86.36,0.5,0.461,5.992211822694079e-08,-7.22,30.14,all
can,remain,3,26.31,0.11,0.102,8.235669431756698e-09,-8.08,36.23,all
can,continue,24,107.06,0.22,0.198,2.7426650406053767e-24,-23.56,104.91,all
could,impede,162,23.54,6.88,84.275,5.390275109929301e-125,124.27,568.01,all
could,follow,81,17.48,4.63,10.88,2.240714135795951e-38,37.65,168.33,all
could,lead,92,22.06,4.17,8.43,4.384669099733902e-38,37.36,166.77,all
could,pose,45,8.61,5.23,15.438,2.9491888986845645e-25,24.53,108.67,all
could,talk,58,14.53,3.99,7.581,3.26924315541786e-23,22.49,98.71,all
could,affect,81,28.38,2.85,4.085,9.03117198971323e-20,19.04,82.52,all
could,result,56,17.21,3.25,5.074,4.1550001681445715e-17,16.38,70.59,all
could,prove,38,9.55,3.98,7.485,1.2396221245368756e-15,14.91,64.22,all
could,bear,23,4.03,5.7,21.286,6.658505809533043e-15,14.18,61.84,all
could,become,44,15.47,2.84,4.028,2.4003512371613914e-11,10.62,44.32,all
could,misinterpret,13,1.88,6.9,83.987,5.6563871081110567e-11,10.25,45.29,all
could,undermine,16,2.96,5.41,17.24,3.6949537081079206e-10,9.43,40.21,all
could,appreciate,10,1.34,7.44,inf,1.9134311932672768e-09,8.72,40.15,all
could,risk,18,4.3,4.18,8.314,1.4132177510372773e-08,7.85,32.48,all
could,exacerbate,14,2.82,4.96,12.921,2.8280574577164578e-08,7.55,31.51,all
could,arise,15,3.36,4.46,9.693,7.104257867518578e-08,7.15,29.47,all
could,facilitate,13,2.69,4.83,11.995,1.4138559600419158e-07,6.85,28.32,all
could,elaborate,11,2.02,5.45,17.753,2.0748620195217144e-07,6.68,27.92,all
could,emerge,14,3.23,4.34,9.044,3.2018006392163444e-07,6.49,26.5,all
could,spill,10,1.75,5.72,21.513,3.706371274493072e-07,6.43,26.97,all
could,damp,11,2.15,5.11,14.202,5.826535596789892e-07,6.23,25.73,all
could,increase,55,28.24,1.95,2.305,7.200205569782861e-07,6.14,24.2,all
could,cause,24,8.88,2.7,3.697,2.296485680549183e-06,5.64,21.99,all
could,weaken,15,4.17,3.6,6.056,2.93787463471534e-06,5.53,21.91,all
could,restrain,14,3.77,3.72,6.459,3.8544524321112615e-06,5.41,21.44,all
could,hinder,6,0.81,7.44,inf,5.89459456660068e-06,5.23,24.08,all
could,generate,10,2.29,4.37,9.218,1.5024786376969801e-05,4.82,19.13,all
could,boost,15,4.84,3.1,4.613,2.8041048551949026e-05,4.55,17.39,all
could,push,15,4.84,3.1,4.613,2.8041048551949026e-05,4.55,17.39,all
could,explain,24,10.22,2.35,2.985,5.253307505714421e-05,4.28,16.59,all
could,give,41,22.46,1.83,2.108,9.317547762094202e-05,4.03,14.88,all
could,encourage,11,3.23,3.41,5.46,0.0001177320552476775,3.93,14.81,all
could,trigger,8,1.88,4.25,8.599,0.0001494162366985977,3.83,14.73,all
could,amplify,9,2.42,3.72,6.45,0.00021927277082428012,3.66,13.77,all
could,clarify,10,2.96,3.38,5.376,0.00026273010306865883,3.58,13.29,all
could,could,4,0.54,7.44,inf,0.0003266563136544621,3.49,16.05,all
could,impair,6,1.21,4.96,12.892,0.00034346070641028885,3.46,13.49,all
could,comment,11,3.63,3.03,4.436,0.0004175129695490086,3.38,12.28,all
could,limit,11,3.63,3.03,4.436,0.0004175129695490086,3.38,12.28,all
could,yield,5,0.94,5.31,16.111,0.0007271753190982726,3.14,12.27,all
could,break,6,1.34,4.46,9.669,0.0007606357043673772,3.12,11.78,all
could,entail,6,1.34,4.46,9.669,0.0007606357043673772,3.12,11.78,all
could,threaten,6,1.34,4.46,9.669,0.0007606357043673772,3.12,11.78,all
could,slow,22,10.76,2.04,2.451,0.0007925927449110054,3.1,10.97,all
could,put,29,15.47,1.88,2.18,0.0008131336088242436,3.09,11.39,all
could,reflect,21,10.22,2.05,2.466,0.001031817648499313,2.99,10.6,all
could,contribute,21,10.36,2.03,2.422,0.0011708956427567163,2.93,10.24,all
could,help,78,54.87,1.42,1.534,0.0012313179980701133,2.91,10.35,all
could,view,10,3.5,2.86,4.031,0.0012951131250094042,2.89,10.12,all
could,employ,4,0.67,5.95,25.772,0.0014577361862913162,2.84,11.34,all
could,transition,4,0.67,5.95,25.772,0.0014577361862913162,2.84,11.34,all
could,aid,5,1.08,4.65,10.74,0.001723656069460996,2.76,10.35,all
could,prompt,5,1.08,4.65,10.74,0.001723656069460996,2.76,10.35,all
could,spur,7,2.02,3.47,5.641,0.001889687126019948,2.72,9.68,all
could,accelerate,3,0.4,7.44,inf,0.0024307421693427985,2.61,12.04,all
could,be+disruptive,3,0.4,7.44,inf,0.0024307421693427985,2.61,12.04,all
could,be+persistent,10,3.77,2.66,3.583,0.002481758827773984,2.61,8.84,all
could,be+store,3,0.4,7.44,inf,0.0024307421693427985,2.61,12.04,all
could,display,3,0.4,7.44,inf,0.0024307421693427985,2.61,12.04,all
could,drag,3,0.4,7.44,inf,0.0024307421693427985,2.61,12.04,all
could,jeopardize,3,0.4,7.44,inf,0.0024307421693427985,2.61,12.04,all
could,misspecifie,3,0.4,7.44,inf,0.0024307421693427985,2.61,12.04,all
could,portend,3,0.4,7.44,inf,0.0024307421693427985,2.61,12.04,all
could,substitute,3,0.4,7.44,inf,0.0024307421693427985,2.61,12.04,all
could,enhance,8,2.69,2.97,4.298,0.002961421172897031,2.53,8.66,all
could,be+sign,5,1.21,4.13,8.055,0.003448900273274379,2.46,8.86,all
could,associate,8,2.82,2.83,3.967,0.004225950678249662,2.37,7.95,all
could,provide,37,23.54,1.57,1.734,0.005074188151653131,2.29,7.85,all
could,shift,8,2.96,2.7,3.684,0.005868042711545727,2.23,7.31,all
could,hurt,5,1.34,3.72,6.444,0.006137164842181384,2.21,7.65,all
could,mitigate,5,1.34,3.72,6.444,0.006137164842181384,2.21,7.65,all
could,necessitate,5,1.34,3.72,6.444,0.006137164842181384,2.21,7.65,all
could,be+helpful,13,6.05,2.15,2.621,0.0065731868095320525,2.18,7.32,all
could,mean,14,6.86,2.04,2.441,0.006743386457424919,2.17,6.94,all
could,persist,10,4.3,2.32,2.931,0.007358956844594043,2.13,6.74,all
could,deteriorate,4,0.94,4.25,8.59,0.008143309077928566,2.09,7.36,all
could,bind,3,0.54,5.58,19.323,0.008742999736407808,2.06,7.83,all
could,detail,3,0.54,5.58,19.323,0.008742999736407808,2.06,7.83,all
could,mask,3,0.54,5.58,19.323,0.008742999736407808,2.06,7.83,all
could,relate,3,0.54,5.58,19.323,0.008742999736407808,2.06,7.83,all
could,shorten,3,0.54,5.58,19.323,0.008742999736407808,2.06,7.83,all
could,force,6,2.02,2.97,4.296,0.009946390396855628,2.0,6.49,all
could,walk,6,2.15,2.79,3.866,0.014131063189575275,1.85,5.8,all
could,disrupt,4,1.08,3.72,6.442,0.014562962086396139,1.84,6.12,all
could,describe,11,5.38,2.04,2.446,0.017179585630714506,1.76,5.47,all
could,be+sensitive,3,0.67,4.46,9.661,0.019670895061582552,1.71,5.89,all
could,shed,3,0.67,4.46,9.661,0.019670895061582552,1.71,5.89,all
could,stall,3,0.67,4.46,9.661,0.019670895061582552,1.71,5.89,all
could,tilt,3,0.67,4.46,9.661,0.019670895061582552,1.71,5.89,all
could,withstand,3,0.67,4.46,9.661,0.019670895061582552,1.71,5.89,all
could,be+level,7,2.96,2.37,3.007,0.021389826428941567,1.67,4.9,all
could,use,33,22.33,1.48,1.603,0.021609986407284794,1.67,5.3,all
could,address,13,6.99,1.86,2.15,0.02294462310660732,1.64,4.96,all
could,be+beneficial,4,1.21,3.3,5.153,0.02345421153689356,1.63,5.13,all
could,be+risk,4,1.21,3.3,5.153,0.02345421153689356,1.63,5.13,all
could,materialize,4,1.21,3.3,5.153,0.02345421153689356,1.63,5.13,all
could,rely,4,1.21,3.3,5.153,0.02345421153689356,1.63,5.13,all
could,be+factor,7,3.09,2.26,2.819,0.027268424803348814,1.56,4.45,all
could,reduce,22,14.12,1.56,1.711,0.030687584039105886,1.51,4.48,all
could,tighten,5,1.88,2.66,3.579,0.03070838296868936,1.51,4.42,all
could,spend,6,2.56,2.35,2.974,0.033607115529939634,1.47,4.14,all
could,attribute,4,1.34,2.97,4.294,0.034998909333368335,1.46,4.33,all
could,be+benefit,4,1.34,2.97,4.294,0.034998909333368335,1.46,4.33,all
could,deploy,4,1.34,2.97,4.294,0.034998909333368335,1.46,4.33,all
could,be+table,3,0.81,3.72,6.44,0.03543627176456812,1.45,4.59,all
could,drift,3,0.81,3.72,6.44,0.03543627176456812,1.45,4.59,all
could,raise,17,10.49,1.62,1.798,0.043702356020608596,1.36,4.06,all
could,face,9,4.71,1.91,2.231,0.04444968516532768,1.35,3.73,all
could,indicate,8,3.77,2.12,2.578,0.044808151497981064,1.35,4.38,all
could,last,4,1.48,2.7,3.681,0.0492750329881606,1.31,3.65,all
could,be+wrong,3,0.94,3.19,4.83,0.05590599377954778,1.25,3.63,all
could,choose,3,0.94,3.19,4.83,0.05590599377954778,1.25,3.63,all
could,constrain,3,0.94,3.19,4.83,0.05590599377954778,1.25,3.63,all
could,depress,3,0.94,3.19,4.83,0.05590599377954778,1.25,3.63,all
could,challenge,4,1.61,2.48,3.22,0.06626670154496324,1.18,3.09,all
could,support,25,17.62,1.42,1.522,0.07077360523300232,1.15,3.24,all
could,be+volatile,3,1.08,2.79,3.864,0.08071181279543875,1.09,2.9,all
could,occur,13,7.93,1.64,1.822,0.08160833941532675,1.09,3.23,all
could,be+gradual,5,2.42,2.07,2.477,0.08349531568317327,1.08,2.55,all
could,differ,4,1.75,2.29,2.862,0.08587748978206401,1.07,2.6,all
could,create,7,3.77,1.86,2.148,0.09015582754583945,1.05,2.67,all
could,complicate,3,1.21,2.48,3.22,0.10934061342471142,0.96,2.31,all
could,revise,3,1.21,2.48,3.22,0.10934061342471142,0.96,2.31,all
could,be+difficult,7,4.03,1.73,1.961,0.11188781414368039,0.95,2.14,all
could,afford,6,3.09,1.94,2.274,0.11452715419744672,0.94,2.59,all
could,judge,6,3.09,1.94,2.274,0.11452715419744672,0.94,2.59,all
could,turn,14,9.41,1.49,1.611,0.11368273169277401,0.94,2.3,all
could,convey,4,2.02,1.98,2.342,0.13225631550843484,0.88,1.83,all
could,be+reason,3,1.34,2.23,2.76,0.1412013437495727,0.85,1.84,all
could,be+smaller,3,1.34,2.23,2.76,0.1412013437495727,0.85,1.84,all
could,realize,3,1.34,2.23,2.76,0.1412013437495727,0.85,1.84,all
could,play,11,7.26,1.51,1.648,0.15812623304471055,0.8,1.97,all
could,cut,6,3.63,1.65,1.84,0.1658941897267319,0.78,1.54,all
could,be+large,3,1.48,2.03,2.415,0.1756737102851022,0.76,1.46,all
could,be+lived,3,1.48,2.03,2.415,0.1756737102851022,0.76,1.46,all
could,resolve,3,1.48,2.03,2.415,0.1756737102851022,0.76,1.46,all
could,resume,3,1.48,2.03,2.415,0.1756737102851022,0.76,1.46,all
could,ask,12,8.47,1.42,1.516,0.19463224391721726,0.71,1.54,all
could,speak,7,4.44,1.58,1.734,0.19829310541517128,0.7,1.49,all
could,serve,7,4.57,1.53,1.67,0.21027452238002867,0.68,1.31,all
could,be+slower,3,1.61,1.86,2.146,0.2121427131984819,0.67,1.14,all
could,delay,3,1.61,1.86,2.146,0.2121427131984819,0.67,1.14,all
could,wind,3,1.61,1.86,2.146,0.2121427131984819,0.67,1.14,all
could,rise,21,16.68,1.26,1.314,0.2369699801361776,0.63,1.22,all
could,come,31,25.42,1.22,1.265,0.23844954599657725,0.62,1.35,all
could,be+higher,6,3.77,1.59,1.756,0.2592432559525798,0.59,1.34,all
could,interpret,6,3.77,1.59,1.756,0.2592432559525798,0.59,1.34,all
could,proceed,4,2.29,1.75,1.981,0.2723354754521104,0.56,1.26,all
could,be+effective,4,2.56,1.57,1.717,0.31085375927023834,0.51,0.83,all
could,be+lower,8,6.19,1.29,1.356,0.39011132002976584,0.41,0.57,all
could,change,18,14.93,1.21,1.247,0.401592169308712,0.4,0.7,all
could,consider,17,14.26,1.19,1.23,0.3946926032561511,0.4,0.58,all
could,be+larger,3,1.75,1.72,1.931,0.4028901749381326,0.39,0.88,all
could,borrow,3,1.75,1.72,1.931,0.4028901749381326,0.39,0.88,all
could,draw,3,1.75,1.72,1.931,0.4028901749381326,0.39,0.88,all
could,handle,3,1.75,1.72,1.931,0.4028901749381326,0.39,0.88,all
could,be+costly,3,1.88,1.59,1.756,0.4210682516307197,0.38,0.67,all
could,be+useful,6,4.3,1.39,1.486,0.4311810246538558,0.37,0.7,all
could,bring,9,7.26,1.24,1.288,0.4293573016167742,0.37,0.45,all
could,influence,6,4.44,1.35,1.431,0.4394782704490513,0.36,0.58,all
could,apply,3,2.02,1.49,1.609,0.4423938360655321,0.35,0.49,all
could,share,3,2.15,1.39,1.486,0.4660640365066543,0.33,0.35,all
could,read,3,2.29,1.31,1.379,0.491384849776438,0.31,0.24,all
could,weigh,12,9.82,1.22,1.267,0.4898471139628752,0.31,0.53,all
could,improve,7,5.78,1.21,1.252,0.5078886502700943,0.29,0.28,all
could,imagine,4,2.96,1.35,1.431,0.5264912562833597,0.28,0.39,all
could,ease,4,3.23,1.24,1.287,0.55464617067677,0.26,0.2,all
could,stay,5,3.9,1.28,1.341,0.5818659656964089,0.24,0.33,all
could,have,91,86.88,1.05,1.057,0.6400274382222895,0.19,0.23,all
could,decline,8,6.99,1.14,1.17,0.6827596597662691,0.17,0.16,all
could,be+increase,3,2.42,1.24,1.287,0.7254980414926464,0.14,0.15,all
could,implement,3,2.69,1.12,1.136,0.744652961258474,0.13,0.04,all
