modal,activity,aspectual,causative,communication,existence,mental,occurrence,other,policy_action,genre,n
can,0.2456,0.0192,0.0472,0.1083,0.1041,0.1128,0.0539,0.2441,0.0649,all,2651
could,0.1448,0.0191,0.2177,0.0608,0.1606,0.0408,0.108,0.1872,0.0611,all,3307
may,0.1174,0.0187,0.1206,0.0194,0.3342,0.0368,0.0942,0.2006,0.0581,all,1550
should,0.205,0.054,0.0392,0.0711,0.1769,0.1377,0.0607,0.1754,0.0799,all,1351
will,0.1986,0.1024,0.0365,0.0576,0.2289,0.1207,0.0709,0.1134,0.0711,all,7558
would,0.107,0.0491,0.0609,0.1267,0.273,0.0977,0.0686,0.1438,0.0733,all,8172
can,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,statement,4
could,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,statement,50
may,0.0,0.0,0.5926,0.0,0.3704,0.0,0.0,0.037,0.0,statement,27
should,0.5526,0.0263,0.1579,0.0526,0.0263,0.0,0.0,0.0263,0.1579,statement,38
will,0.2157,0.2059,0.0637,0.0196,0.1373,0.1716,0.0768,0.0163,0.0931,statement,612
would,0.0,0.0408,0.0,0.0,0.9388,0.0,0.0,0.0,0.0204,statement,49
can,0.0714,0.0,0.0476,0.0119,0.1429,0.0,0.5,0.131,0.0952,minutes,84
could,0.1242,0.0241,0.2929,0.0181,0.1206,0.0332,0.1447,0.1646,0.0778,minutes,1659
may,0.0578,0.0139,0.1633,0.0139,0.253,0.0199,0.1295,0.247,0.1016,minutes,502
should,0.1858,0.0916,0.0407,0.1374,0.1145,0.0611,0.0712,0.2112,0.0865,minutes,393
will,0.1815,0.195,0.0744,0.018,0.1488,0.1229,0.0755,0.0846,0.0992,minutes,887
would,0.1069,0.0883,0.0846,0.0231,0.2764,0.0475,0.1223,0.1229,0.128,minutes,3556
can,0.2666,0.0211,0.0311,0.13,0.0974,0.128,0.0346,0.2299,0.0612,press_conf,1992
could,0.1757,0.0116,0.1023,0.1328,0.2153,0.0528,0.0586,0.212,0.0388,press_conf,1212
may,0.134,0.0258,0.0533,0.0206,0.4399,0.0515,0.079,0.1684,0.0275,press_conf,582
should,0.2052,0.0318,0.0289,0.0376,0.2413,0.198,0.0535,0.1387,0.065,press_conf,692
will,0.2119,0.0737,0.0248,0.0588,0.2715,0.1296,0.0611,0.1049,0.0637,press_conf,4832
would,0.1115,0.0169,0.0353,0.2365,0.257,0.1498,0.0197,0.1432,0.0302,press_conf,3911
can,0.1996,0.0158,0.1033,0.0473,0.1191,0.0771,0.056,0.3082,0.0736,speech,571
could,0.1554,0.0233,0.1554,0.0259,0.1813,0.0415,0.1192,0.2306,0.0674,speech,386
may,0.1708,0.0159,0.1321,0.0251,0.2847,0.0387,0.0797,0.2005,0.0524,speech,439
should,0.1798,0.0614,0.0482,0.0614,0.114,0.1096,0.0746,0.25,0.1009,speech,228
will,0.15,0.097,0.0416,0.1002,0.1646,0.0587,0.1035,0.216,0.0685,speech,1227
would,0.0884,0.029,0.0899,0.0427,0.3003,0.0655,0.0747,0.2713,0.0381,speech,656
