genre,m1,m2,jsd
all,will,would,0.197
all,will,could,0.3658
all,will,can,0.327
all,will,should,0.2745
all,will,may,0.3307
all,would,could,0.3317
all,would,can,0.3666
all,would,should,0.2991
all,would,may,0.3119
all,could,can,0.3346
all,could,should,0.375
all,could,may,0.333
all,can,should,0.3805
all,can,may,0.4562
all,should,may,0.3922
statement,will,would,0.6881
statement,will,could,1.0
statement,will,can,0.8184
statement,will,should,0.8765
statement,will,may,0.7417
statement,would,could,1.0
statement,would,can,0.3297
statement,would,should,0.8805
statement,would,may,0.4375
statement,could,can,1.0
statement,could,should,1.0
statement,could,may,1.0
statement,can,should,0.9246
statement,can,may,0.4746
statement,should,may,0.9302
