period,modal,head_verb,n,share,genre
2014-2019,can,be,98,0.10560344827586207,all
2014-2019,can,see,48,0.05172413793103448,all
2014-2019,can,do,45,0.04849137931034483,all
2014-2019,can,give,25,0.02693965517241379,all
2014-2019,can,help,23,0.02478448275862069,all
2014-2019,can,say,21,0.022629310344827586,all
2014-2019,can,tell,21,0.022629310344827586,all
2014-2019,can,find,17,0.018318965517241378,all
2014-2019,can,make,16,0.017241379310344827,all
2014-2019,can,affect,14,0.015086206896551725,all
2014-2019,can,explain,14,0.015086206896551725,all
2014-2019,can,take,14,0.015086206896551725,all
2014-2019,can,think,12,0.01293103448275862,all
2014-2019,can,achieve,11,0.011853448275862068,all
2014-2019,can,have,11,0.011853448275862068,all
2014-2019,could,be,180,0.11642949547218628,all
2014-2019,could,lead,57,0.03686934023285899,all
2014-2019,could,affect,52,0.03363518758085381,all
2014-2019,could,have,51,0.032988357050452784,all
2014-2019,could,help,41,0.02652005174644243,all
2014-2019,could,increase,40,0.0258732212160414,all
2014-2019,could,pose,35,0.022639068564036222,all
2014-2019,could,result,29,0.018758085381630013,all
2014-2019,could,become,23,0.014877102199223804,all
2014-2019,could,provide,21,0.013583441138421734,all
2014-2019,could,prove,20,0.0129366106080207,all
2014-2019,could,make,19,0.012289780077619664,all
2014-2019,could,reflect,19,0.012289780077619664,all
2014-2019,could,talk,19,0.012289780077619664,all
2014-2019,could,see,18,0.01164294954721863,all
2014-2019,may,be,195,0.22569444444444445,all
2014-2019,may,warrant,55,0.06365740740740741,all
2014-2019,may,contribute,24,0.027777777777777776,all
2014-2019,may,reflect,23,0.02662037037037037,all
2014-2019,may,edge,19,0.02199074074074074,all
2014-2019,may,authorize,17,0.019675925925925927,all
2014-2019,may,change,17,0.019675925925925927,all
2014-2019,may,provide,17,0.019675925925925927,all
2014-2019,may,have,16,0.018518518518518517,all
2014-2019,may,need,14,0.016203703703703703,all
2014-2019,may,help,13,0.015046296296296295,all
2014-2019,may,affect,11,0.01273148148148148,all
2014-2019,may,play,10,0.011574074074074073,all
2014-2019,may,hold,9,0.010416666666666666,all
2014-2019,may,increase,9,0.010416666666666666,all
2014-2019,should,help,79,0.10733695652173914,all
2014-2019,should,be,77,0.10461956521739131,all
2014-2019,should,continue,26,0.035326086956521736,all
2014-2019,should,have,15,0.020380434782608696,all
2014-2019,should,take,15,0.020380434782608696,all
2014-2019,should,maintain,14,0.019021739130434784,all
2014-2019,should,promote,12,0.016304347826086956,all
2014-2019,should,support,12,0.016304347826086956,all
2014-2019,should,note,11,0.014945652173913044,all
2014-2019,should,move,10,0.01358695652173913,all
