doc_id,doc_type,date,chair,n_tokens,year,will,would,could,can,should,may,will_per1k,would_per1k,could_per1k,can_per1k,should_per1k,may_per1k,will_share,would_share,could_share,can_share,should_share,may_share,six_total,six_per1k
speech_bernanke_20140103a,speech,2014-01-03,Bernanke,7448,2014,19,14,2,4,5,8,2.5510204081632653,1.8796992481203008,0.26852846401718583,0.5370569280343717,0.6713211600429646,1.0741138560687433,0.36538461538461536,0.2692307692307692,0.038461538461538464,0.07692307692307693,0.09615384615384616,0.15384615384615385,52,6.981740064446831
statement_20140129,statement,2014-01-29,Bernanke,873,2014,14,0,1,0,2,0,16.036655211912944,0.0,1.145475372279496,0.0,2.290950744558992,0.0,0.8235294117647058,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0,17,19.47308132875143
minutes_20140129,minutes,2014-01-29,Bernanke,12163,2014,20,43,10,0,7,19,1.644331168297295,3.5353120118391845,0.8221655841486475,0.0,0.5755159089040532,1.5621146098824303,0.20202020202020202,0.43434343434343436,0.10101010101010101,0.0,0.0707070707070707,0.1919191919191919,99,8.13943928307161
speech_yellen_20140305a,speech,2014-03-05,Yellen,856,2014,3,1,0,3,0,0,3.5046728971962615,1.1682242990654206,0.0,3.5046728971962615,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,7,8.177570093457945
minutes_20140319,minutes,2014-03-19,Yellen,8430,2014,16,43,19,0,11,5,1.8979833926453145,5.100830367734282,2.2538552787663106,0.0,1.3048635824436536,0.5931198102016607,0.1702127659574468,0.4574468085106383,0.20212765957446807,0.0,0.11702127659574468,0.05319148936170213,94,11.150652431791222
statement_20140319,statement,2014-03-19,Yellen,921,2014,13,0,1,0,2,1,14.115092290988056,0.0,1.0857763300760044,0.0,2.1715526601520088,1.0857763300760044,0.7647058823529411,0.0,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,17,18.458197611292075
transcript_20140319,press_conf,2014-03-19,Yellen,7922,2014,55,53,15,11,5,7,6.9426912395859635,6.690229739964655,1.8934612471598082,1.3885382479171926,0.6311537490532694,0.8836152486745771,0.3767123287671233,0.363013698630137,0.10273972602739725,0.07534246575342465,0.03424657534246575,0.04794520547945205,146,18.429689472355467
speech_yellen_20140325a,speech,2014-03-25,Yellen,586,2014,0,2,0,4,0,0,0.0,3.4129692832764507,0.0,6.825938566552901,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,6,10.238907849829351
speech_yellen_20140331a,speech,2014-03-31,Yellen,4151,2014,19,8,4,8,0,5,4.577210310768489,1.927246446639364,0.963623223319682,1.927246446639364,0.0,1.2045290291496025,0.4318181818181818,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.11363636363636363,44,10.599855456516503
speech_yellen_20140415a,speech,2014-04-15,Yellen,1087,2014,7,5,2,0,0,2,6.439742410303588,4.599816007359705,1.8399264029438822,0.0,0.0,1.8399264029438822,0.4375,0.3125,0.125,0.0,0.0,0.125,16,14.719411223551058
