modal,metric,cp_index,cp_date,prev_date,mean_before,mean_after,n_before,n_after
will,share,15,2015-12-16,2015-10-28,0.723,0.937,15,40
will,share,55,2020-09-16,2020-07-29,0.937,0.681,40,46
will,per1k,24,2017-02-01,2016-12-14,12.514,17.268,24,11
will,per1k,35,2018-06-13,2018-05-02,17.268,9.8,11,17
will,per1k,52,2020-04-29,2020-03-23,9.8,18.04,17,4
will,per1k,56,2020-11-05,2020-09-16,18.04,12.311,4,45
will,count,6,2014-10-29,2014-09-17,13.0,7.621,6,29
will,count,35,2018-06-13,2018-05-02,7.621,4.742,29,66
would,share,55,2020-09-16,2020-07-29,0.002,0.151,55,46
would,per1k,55,2020-09-16,2020-07-29,0.032,2.688,55,46
would,count,55,2020-09-16,2020-07-29,0.018,1.043,55,46
could,share,55,2020-09-16,2020-07-29,0.004,0.146,55,46
could,per1k,55,2020-09-16,2020-07-29,0.084,2.601,55,46
could,count,4,2014-07-30,2014-06-18,1.0,0.0,4,51
could,count,55,2020-09-16,2020-07-29,0.0,1.0,51,46
can,share,5,2014-09-17,2014-07-30,0.0,0.057,5,4
can,share,9,2015-03-18,2015-01-28,0.057,0.0,4,39
can,share,48,2020-01-29,2019-12-11,0.0,0.061,39,4
can,share,52,2020-04-29,2020-03-23,0.061,0.0,4,49
can,per1k,5,2014-09-17,2014-07-30,0.0,0.759,5,4
can,per1k,9,2015-03-18,2015-01-28,0.759,0.0,4,39
can,per1k,48,2020-01-29,2019-12-11,0.0,0.756,39,4
can,per1k,52,2020-04-29,2020-03-23,0.756,0.0,4,49
can,count,6,2014-10-29,2014-09-17,0.0,0.5,6,4
can,count,10,2015-04-29,2015-03-18,0.5,0.0,4,39
can,count,49,2020-03-03,2020-01-29,0.0,0.5,39,4
can,count,53,2020-06-10,2020-04-29,0.5,0.0,4,48
should,share,27,2017-06-14,2017-05-03,0.13,0.0,27,74
should,per1k,27,2017-06-14,2017-05-03,2.08,0.0,27,74
should,count,8,2015-01-28,2014-12-17,2.375,1.0,8,19
should,count,27,2017-06-14,2017-05-03,1.0,0.0,19,74
may,share,15,2015-12-16,2015-10-28,0.098,0.0,15,25
may,share,40,2019-01-30,2018-12-19,0.0,0.188,25,4
may,share,44,2019-07-31,2019-06-19,0.188,0.008,4,31
may,share,75,2023-03-22,2023-02-01,0.008,0.128,31,7
may,share,82,2024-01-31,2023-12-13,0.128,0.0,7,19
may,per1k,15,2015-12-16,2015-10-28,1.468,0.208,15,60
may,per1k,75,2023-03-22,2023-02-01,0.208,2.777,60,7
may,per1k,82,2024-01-31,2023-12-13,2.777,0.0,7,19
may,count,15,2015-12-16,2015-10-28,1.0,0.083,15,60
may,count,75,2023-03-22,2023-02-01,0.083,1.0,60,7
may,count,82,2024-01-31,2023-12-13,1.0,0.0,7,19
