doc_id,date,be_going_to,be_expected_to,be_likely_to,need_to,have_to,intend_to,be_prepared_to,expect(s),judge(s),remain(s)
statement_20140129,2014-01-29,0,0,0,0,0,0,0,2,1,4
statement_20140319,2014-03-19,0,0,0,0,0,0,0,3,2,4
statement_20140430,2014-04-30,0,0,0,0,0,0,0,3,2,4
statement_20140618,2014-06-18,0,0,0,0,0,0,0,3,2,4
statement_20140730,2014-07-30,0,0,0,0,0,0,0,3,3,5
statement_20140917,2014-09-17,0,0,0,0,0,0,0,3,3,5
statement_20141029,2014-10-29,0,0,2,0,0,0,0,4,3,3
statement_20141217,2014-12-17,0,0,2,0,0,0,0,4,2,3
statement_20150128,2015-01-28,0,0,2,0,0,0,0,4,2,2
statement_20150318,2015-03-18,0,0,0,0,0,0,0,4,2,5
statement_20150429,2015-04-29,0,0,0,0,0,0,0,4,1,4
statement_20150617,2015-06-17,0,0,0,0,0,0,0,4,1,3
statement_20150729,2015-07-29,0,0,0,0,0,0,0,4,1,3
statement_20150917,2015-09-17,0,0,1,0,0,0,0,4,1,2
statement_20151028,2015-10-28,0,0,0,0,0,0,0,4,1,2
statement_20151216,2015-12-16,0,2,1,0,0,0,0,3,1,3
statement_20160127,2016-01-27,0,2,1,0,0,0,0,3,0,3
statement_20160316,2016-03-16,0,2,1,0,0,0,0,3,0,4
statement_20160427,2016-04-27,0,2,1,0,0,0,0,3,0,5
statement_20160615,2016-06-15,0,2,1,0,0,0,0,3,0,3
statement_20160727,2016-07-27,0,2,1,0,0,0,0,3,0,4
statement_20160921,2016-09-21,0,2,1,0,0,0,0,3,1,4
statement_20161102,2016-11-02,0,2,1,0,0,0,0,3,1,3
statement_20161214,2016-12-14,0,2,1,0,0,0,0,3,0,2
statement_20170201,2017-02-01,0,1,1,0,0,0,0,3,0,3
statement_20170315,2017-03-15,0,1,1,0,0,0,0,3,0,3
statement_20170503,2017-05-03,0,1,1,0,0,0,0,3,0,3
statement_20170614,2017-06-14,0,2,1,0,0,0,0,3,0,4
statement_20170726,2017-07-26,0,2,1,0,0,0,0,3,0,4
statement_20170920,2017-09-20,0,2,1,0,0,0,0,2,0,4
statement_20171101,2017-11-01,0,2,1,0,0,0,0,2,0,4
statement_20171213,2017-12-13,0,2,1,0,0,0,0,2,0,5
statement_20180131,2018-01-31,0,2,1,0,0,0,0,2,0,4
statement_20180321,2018-03-21,0,2,1,0,0,0,0,2,0,4
statement_20180502,2018-05-02,0,2,1,0,0,0,0,2,0,4
statement_20180613,2018-06-13,0,0,0,0,0,0,0,1,0,1
statement_20180801,2018-08-01,0,0,0,0,0,0,0,1,0,2
statement_20180926,2018-09-26,0,0,0,0,0,0,0,1,0,1
statement_20181108,2018-11-08,0,0,0,0,0,0,0,1,0,1
statement_20181219,2018-12-19,0,0,0,0,0,0,0,0,2,1
statement_20190130,2019-01-30,0,0,0,0,0,0,0,0,0,1
statement_20190320,2019-03-20,0,0,0,0,0,0,0,0,0,2
statement_20190501,2019-05-01,0,0,0,0,0,0,0,0,0,1
statement_20190619,2019-06-19,0,0,0,0,0,0,0,0,0,1
statement_20190731,2019-07-31,0,0,0,0,0,0,0,0,0,3
statement_20190918,2019-09-18,0,0,0,0,0,0,0,0,0,3
statement_20191011,2019-10-11,0,0,0,0,0,0,0,0,0,3
statement_20191030,2019-10-30,0,0,0,0,0,0,0,0,0,4
statement_20191211,2019-12-11,0,0,0,0,0,0,0,0,1,3
statement_20200129,2020-01-29,0,0,0,0,0,0,0,0,1,3
statement_20200303,2020-03-03,0,0,0,0,0,0,0,0,0,1
statement_20200315,2020-03-15,0,0,0,0,0,0,2,1,0,0
statement_20200323,2020-03-23,0,0,0,0,0,0,0,0,0,1
statement_20200331,2020-03-31,0,0,0,0,0,0,0,0,0,0
statement_20200429,2020-04-29,0,0,0,0,0,0,1,1,0,0
statement_20200610,2020-06-10,0,0,0,0,0,0,1,1,0,0
statement_20200729,2020-07-29,0,0,0,0,0,0,1,1,0,1
statement_20200827,2020-08-27,0,0,0,0,0,1,0,0,0,0
statement_20200916,2020-09-16,0,0,0,0,0,0,1,4,0,2
statement_20201105,2020-11-05,0,0,0,0,0,0,1,2,0,3
statement_20201216,2020-12-16,0,0,0,0,0,0,1,2,0,3
statement_20210127,2021-01-27,0,0,0,0,0,0,1,2,0,2
statement_20210317,2021-03-17,0,0,0,0,0,0,1,2,0,3
statement_20210428,2021-04-28,0,0,0,0,0,0,1,2,0,4
statement_20210616,2021-06-16,0,0,0,0,0,0,1,2,0,4
statement_20210728,2021-07-28,0,0,0,0,0,0,1,2,0,3
statement_20210922,2021-09-22,0,0,0,0,0,0,1,2,1,3
statement_20211103,2021-11-03,0,2,0,0,0,0,2,2,1,3
statement_20211215,2021-12-15,0,1,0,0,0,0,2,1,1,2
statement_20220126,2022-01-26,0,1,0,0,0,0,1,1,0,2
statement_20220316,2022-03-16,0,0,1,0,0,0,1,3,0,2
statement_20220504,2022-05-04,0,0,2,0,0,0,1,2,0,2
statement_20220615,2022-06-15,0,0,1,0,0,0,1,1,0,1
statement_20220727,2022-07-27,0,0,0,0,0,0,1,1,0,1
statement_20220921,2022-09-21,0,0,0,0,0,0,1,1,0,1
statement_20221102,2022-11-02,0,0,0,0,0,0,1,1,0,1
statement_20221214,2022-12-14,0,0,0,0,0,0,1,1,0,1
statement_20230201,2023-02-01,0,0,0,0,0,0,1,1,0,1
statement_20230322,2023-03-22,0,0,1,0,0,0,1,1,0,2
statement_20230503,2023-05-03,0,0,1,0,0,0,1,0,0,3
statement_20230614,2023-06-14,0,0,1,0,0,0,1,0,0,3
statement_20230726,2023-07-26,0,0,1,0,0,0,1,0,0,3
statement_20230920,2023-09-20,0,0,1,0,0,0,1,0,0,4
statement_20231101,2023-11-01,0,0,1,0,0,0,1,0,0,4
statement_20231213,2023-12-13,0,0,1,0,0,0,1,0,0,4
statement_20240131,2024-01-31,0,0,0,0,0,0,1,1,1,3
statement_20240320,2024-03-20,0,0,0,0,0,0,1,1,1,2
statement_20240501,2024-05-01,0,0,0,0,0,0,1,1,1,2
statement_20240612,2024-06-12,0,0,0,0,0,0,1,1,1,2
statement_20240731,2024-07-31,0,0,0,0,0,0,1,1,1,2
statement_20240918,2024-09-18,0,0,0,0,0,0,1,0,1,2
statement_20241107,2024-11-07,0,0,0,0,0,0,1,0,1,2
statement_20241218,2024-12-18,0,0,0,0,0,0,1,0,1,2
statement_20250129,2025-01-29,0,0,0,0,0,0,1,0,1,2
statement_20250319,2025-03-19,0,0,0,0,0,0,1,0,0,2
statement_20250507,2025-05-07,0,0,0,0,0,0,1,0,1,2
statement_20250618,2025-06-18,0,0,0,0,0,0,1,0,0,4
statement_20250730,2025-07-30,0,0,0,0,0,0,1,0,0,4
statement_20250822,2025-08-22,0,0,0,0,0,0,0,0,0,0
statement_20250917,2025-09-17,0,0,0,0,0,0,1,0,1,3
statement_20251029,2025-10-29,0,0,0,0,0,0,1,0,1,2
statement_20251210,2025-12-10,0,0,0,0,0,0,1,0,2,2
statement_20260128,2026-01-28,0,0,0,0,0,0,1,0,0,2
statement_20260318,2026-03-18,0,0,0,0,0,0,1,0,0,2
statement_20260429,2026-04-29,0,0,0,0,0,0,1,0,0,0
