modal,predicate,start_midx,start_date,end_midx,end_date,duration,event
can,be+patient,7,2014-12-17,8,2015-01-28,2,1
can,find,50,2020-03-15,51,2020-03-23,2,1
could,impede,55,2020-09-16,100,2026-04-29,46,0
could,pose,0,2014-01-29,3,2014-06-18,4,1
may,be+appropriate,40,2019-01-30,42,2019-05-01,3,1
may,be+appropriate,75,2023-03-22,81,2023-12-13,7,1
may,find,51,2020-03-23,51,2020-03-23,1,1
may,restrain,13,2015-09-17,13,2015-09-17,1,1
may,warrant,1,2014-03-19,14,2015-10-28,14,1
may,warrant,63,2021-09-22,63,2021-09-22,1,1
should,be+patient,7,2014-12-17,7,2014-12-17,1,1
should,commit,6,2014-10-29,6,2014-10-29,1,1
should,continue,6,2014-10-29,6,2014-10-29,1,1
should,emphasize,7,2014-12-17,7,2014-12-17,1,1
should,help,6,2014-10-29,26,2017-05-03,21,1
should,maintain,0,2014-01-29,5,2014-09-17,6,1
should,promote,0,2014-01-29,5,2014-09-17,6,1
should,stress,7,2014-12-17,7,2014-12-17,1,1
will,act,43,2019-06-19,45,2019-09-18,3,1
will,add,0,2014-01-29,5,2014-09-17,6,1
will,affect,29,2017-09-20,29,2017-09-20,1,1
will,aim,55,2020-09-16,64,2021-11-03,10,1
will,assess,1,2014-03-19,48,2020-01-29,48,1
will,assess,50,2020-03-15,54,2020-07-29,5,1
will,assess,82,2024-01-31,100,2026-04-29,19,0
will,be+appropriate,0,2014-01-29,7,2014-12-17,8,1
will,be+appropriate,9,2015-03-18,14,2015-10-28,6,1
will,be+appropriate,55,2020-09-16,74,2023-02-01,20,1
will,be+appropriate,82,2024-01-31,86,2024-07-31,5,1
will,be+consistent,35,2018-06-13,39,2018-12-19,5,1
will,be+patient,40,2019-01-30,42,2019-05-01,3,1
will,boost,29,2017-09-20,29,2017-09-20,1,1
will,conclude,44,2019-07-31,44,2019-07-31,1,1
will,consider,0,2014-01-29,0,2014-01-29,1,1
will,continue,0,2014-01-29,5,2014-09-17,6,1
will,continue,15,2015-12-16,18,2016-04-27,4,1
will,continue,30,2017-11-01,30,2017-11-01,1,1
will,continue,39,2018-12-19,39,2018-12-19,1,1
will,continue,44,2019-07-31,48,2020-01-29,5,1
will,continue,50,2020-03-15,100,2026-04-29,51,0
will,decline,0,2014-01-29,0,2014-01-29,1,1
will,depend,15,2015-12-16,34,2018-05-02,20,1
will,depend,54,2020-07-29,61,2021-06-16,8,1
will,end,5,2014-09-17,5,2014-09-17,1,1
will,evolve,15,2015-12-16,34,2018-05-02,20,1
will,expand,0,2014-01-29,14,2015-10-28,15,1
will,expand,16,2016-01-27,34,2018-05-02,19,1
will,help,50,2020-03-15,50,2020-03-15,1,1
will,hold,6,2014-10-29,6,2014-10-29,1,1
will,include,51,2020-03-23,51,2020-03-23,1,1
will,increase,50,2020-03-15,50,2020-03-15,1,1
will,increase,53,2020-06-10,56,2020-11-05,4,1
will,increase,64,2021-11-03,66,2022-01-26,3,1
will,initiate,29,2017-09-20,29,2017-09-20,1,1
will,initiate,97,2025-12-10,97,2025-12-10,1,1
will,maintain,84,2024-05-01,84,2024-05-01,1,1
will,maintain,91,2025-03-19,91,2025-03-19,1,1
will,monitor,0,2014-01-29,5,2014-09-17,6,1
will,monitor,15,2015-12-16,34,2018-05-02,20,1
will,monitor,43,2019-06-19,43,2019-06-19,1,1
will,monitor,52,2020-04-29,54,2020-07-29,3,1
will,monitor,75,2023-03-22,76,2023-05-03,2,1
will,move,0,2014-01-29,3,2014-06-18,4,1
will,move,9,2015-03-18,14,2015-10-28,6,1
will,reduce,0,2014-01-29,4,2014-07-30,5,1
will,reinvest,50,2020-03-15,50,2020-03-15,1,1
will,reinvest,84,2024-05-01,84,2024-05-01,1,1
will,remain,0,2014-01-29,5,2014-09-17,6,1
will,remain,31,2017-12-13,34,2018-05-02,4,1
will,rise,15,2015-12-16,15,2015-12-16,1,1
will,rise,24,2017-02-01,24,2017-02-01,1,1
will,slow,84,2024-05-01,84,2024-05-01,1,1
will,slow,91,2025-03-19,91,2025-03-19,1,1
will,stabilize,25,2017-03-15,26,2017-05-03,2,1
will,strengthen,19,2016-06-15,30,2017-11-01,12,1
will,take,0,2014-01-29,48,2020-01-29,49,1
will,take,50,2020-03-15,50,2020-03-15,1,1
will,take,52,2020-04-29,100,2026-04-29,49,0
will,use,49,2020-03-03,50,2020-03-15,2,1
will,use,52,2020-04-29,54,2020-07-29,3,1
will,warrant,5,2014-09-17,5,2014-09-17,1,1
will,warrant,15,2015-12-16,34,2018-05-02,20,1
will,weigh,50,2020-03-15,50,2020-03-15,1,1
will,weigh,52,2020-04-29,54,2020-07-29,3,1
would,be+prepared,55,2020-09-16,100,2026-04-29,46,0
would,continue,62,2021-07-28,63,2021-09-22,2,1
would,reduce,27,2017-06-14,27,2017-06-14,1,1
