k,retention,n_pairs,unit,modal
1,0.8872776112776113,100,construction,ALL
2,0.8239893664136088,99,construction,ALL
3,0.7795595277738134,98,construction,ALL
4,0.7435438845232658,97,construction,ALL
5,0.7116809983997484,96,construction,ALL
6,0.6780927844085738,95,construction,ALL
7,0.6559245718820187,94,construction,ALL
8,0.6351485432130592,93,construction,ALL
9,0.6255797644384601,92,construction,ALL
10,0.6103192594950836,91,construction,ALL
11,0.5974305940972607,90,construction,ALL
12,0.5785681235119438,89,construction,ALL
13,0.5580413904277541,88,construction,ALL
14,0.5395981732188629,87,construction,ALL
15,0.5277658388123505,86,construction,ALL
16,0.5094697132932428,85,construction,ALL
17,0.49471566792995364,84,construction,ALL
18,0.4764410622844358,83,construction,ALL
19,0.4564141143409436,82,construction,ALL
20,0.4441810247365803,81,construction,ALL
21,0.43853379259629255,80,construction,ALL
22,0.4343144548840751,79,construction,ALL
23,0.4277396392781008,78,construction,ALL
24,0.41942642494590554,77,construction,ALL
1,0.8931132756132756,100,construction,will
2,0.8322569125599428,99,construction,will
3,0.7903120122507877,98,construction,will
4,0.7541824727391737,97,construction,will
5,0.7220580056517557,96,construction,will
6,0.6902274625958836,95,construction,will
7,0.668222114764668,94,construction,will
8,0.6470744309453987,93,construction,will
9,0.6392061139343749,92,construction,will
10,0.6296552653695511,91,construction,will
11,0.6190103415103414,90,construction,will
12,0.6022139533375488,89,construction,will
13,0.5814373442214351,88,construction,will
14,0.5630023552437345,87,construction,will
15,0.5514140575187088,86,construction,will
16,0.5338727612257025,85,construction,will
17,0.519980845873703,84,construction,will
18,0.5019484865870408,83,construction,will
19,0.4835871784042516,82,construction,will
20,0.46896567081752266,81,construction,will
21,0.4616490800865801,80,construction,will
22,0.4535581858366668,79,construction,will
23,0.44400460650460644,78,construction,will
24,0.43150147111186077,77,construction,will
1,0.967391304347826,46,construction,would
2,0.9555555555555556,45,construction,would
3,0.9545454545454546,44,construction,would
4,0.9534883720930233,43,construction,would
5,0.9523809523809523,42,construction,would
6,0.9512195121951219,41,construction,would
7,0.95,40,construction,would
8,0.9487179487179487,39,construction,would
9,0.9473684210526315,38,construction,would
10,0.9459459459459459,37,construction,would
11,0.9444444444444444,36,construction,would
12,0.9428571428571428,35,construction,would
13,0.9411764705882353,34,construction,would
14,0.9393939393939394,33,construction,would
15,0.9375,32,construction,would
16,0.9354838709677419,31,construction,would
17,0.9333333333333333,30,construction,would
18,0.9310344827586207,29,construction,would
19,0.9285714285714286,28,construction,would
20,0.9259259259259259,27,construction,would
21,0.9230769230769231,26,construction,would
22,0.92,25,construction,would
23,0.9166666666666666,24,construction,would
24,0.9130434782608695,23,construction,would
1,0.9795918367346939,49,construction,could
2,0.9583333333333334,48,construction,could
3,0.9361702127659575,47,construction,could
4,0.9130434782608695,46,construction,could
5,0.9111111111111111,45,construction,could
6,0.9090909090909091,44,construction,could
7,0.9069767441860465,43,construction,could
8,0.9047619047619048,42,construction,could
9,0.9024390243902439,41,construction,could
10,0.9,40,construction,could
11,0.8974358974358975,39,construction,could
12,0.8947368421052632,38,construction,could
13,0.8918918918918919,37,construction,could
14,0.8888888888888888,36,construction,could
15,0.8857142857142857,35,construction,could
16,0.8823529411764706,34,construction,could
17,0.8787878787878788,33,construction,could
18,0.875,32,construction,could
19,0.8709677419354839,31,construction,could
20,0.8666666666666667,30,construction,could
21,0.8620689655172413,29,construction,could
22,0.8571428571428571,28,construction,could
23,0.8518518518518519,27,construction,could
24,0.8461538461538461,26,construction,could
1,0.5,4,construction,can
2,0.0,4,construction,can
3,0.0,4,construction,can
4,0.0,4,construction,can
5,0.0,4,construction,can
6,0.0,4,construction,can
7,0.0,4,construction,can
8,0.0,4,construction,can
9,0.0,4,construction,can
10,0.0,4,construction,can
11,0.0,4,construction,can
12,0.0,4,construction,can
13,0.0,4,construction,can
14,0.0,4,construction,can
15,0.0,4,construction,can
16,0.0,4,construction,can
17,0.0,4,construction,can
18,0.0,4,construction,can
19,0.0,4,construction,can
20,0.0,4,construction,can
21,0.0,4,construction,can
22,0.0,4,construction,can
23,0.0,4,construction,can
24,0.0,4,construction,can
1,0.8734567901234568,27,construction,should
2,0.7993827160493827,27,construction,should
3,0.7253086419753086,27,construction,should
4,0.6512345679012346,27,construction,should
5,0.5771604938271605,27,construction,should
6,0.5030864197530863,27,construction,should
7,0.46604938271604934,27,construction,should
8,0.4290123456790123,27,construction,should
9,0.3919753086419753,27,construction,should
10,0.35493827160493824,27,construction,should
11,0.3179012345679012,27,construction,should
12,0.28086419753086417,27,construction,should
13,0.24382716049382716,27,construction,should
14,0.20679012345679013,27,construction,should
15,0.16975308641975306,27,construction,should
16,0.13271604938271603,27,construction,should
17,0.09567901234567901,27,construction,should
18,0.05864197530864197,27,construction,should
19,0.021604938271604937,27,construction,should
20,0.012345679012345678,27,construction,should
21,0.0,27,construction,should
22,0.0,27,construction,should
23,0.0,27,construction,should
24,0.0,27,construction,should
1,0.7884615384615384,26,construction,may
2,0.6923076923076923,26,construction,may
3,0.5769230769230769,26,construction,may
4,0.5,26,construction,may
5,0.4230769230769231,26,construction,may
6,0.34615384615384615,26,construction,may
7,0.2692307692307692,26,construction,may
8,0.23076923076923078,26,construction,may
9,0.19230769230769232,26,construction,may
10,0.15384615384615385,26,construction,may
11,0.11538461538461539,26,construction,may
12,0.07692307692307693,26,construction,may
13,0.038461538461538464,26,construction,may
14,0.0,26,construction,may
15,0.0,26,construction,may
16,0.0,26,construction,may
17,0.0,26,construction,may
18,0.0,26,construction,may
19,0.0,26,construction,may
20,0.0,25,construction,may
21,0.0,24,construction,may
22,0.0,23,construction,may
23,0.0,22,construction,may
24,0.0,21,construction,may
1,0.8090445665445665,100,modal_sentence,ALL
2,0.7162266745600078,99,modal_sentence,ALL
3,0.6418741122822755,98,modal_sentence,ALL
4,0.5878016313583324,97,modal_sentence,ALL
5,0.5428669998982499,96,modal_sentence,ALL
6,0.5102307049675469,95,modal_sentence,ALL
7,0.4823422440443716,94,modal_sentence,ALL
8,0.44941641393254284,93,modal_sentence,ALL
9,0.4177121489621489,92,modal_sentence,ALL
10,0.39284775054005816,91,modal_sentence,ALL
11,0.36854870438203763,90,modal_sentence,ALL
12,0.347448930594998,89,modal_sentence,ALL
13,0.32435446497946496,88,modal_sentence,ALL
14,0.30332898263932745,87,modal_sentence,ALL
15,0.28955263083170063,86,modal_sentence,ALL
16,0.27447173741291386,85,modal_sentence,ALL
17,0.26427553927553926,84,modal_sentence,ALL
18,0.24501265133795253,83,modal_sentence,ALL
19,0.22709468715566272,82,modal_sentence,ALL
20,0.20988558766336543,81,modal_sentence,ALL
21,0.2023901098901099,80,modal_sentence,ALL
22,0.1972164263303504,79,modal_sentence,ALL
23,0.1904855827932751,78,modal_sentence,ALL
24,0.18331192616906902,77,modal_sentence,ALL
