year,modal,n,formulaic,formulaic_share
2014,can,1,0,0.0
2014,could,4,4,1.0
2014,may,7,7,1.0
2014,should,19,14,0.7368421052631579
2014,will,90,72,0.8
2015,can,1,0,0.0
2015,may,8,7,0.875
2015,should,8,8,1.0
2015,will,50,46,0.92
2016,should,8,8,1.0
2016,will,64,64,1.0
2017,should,3,3,1.0
2017,will,71,58,0.8169014084507042
2017,would,1,0,0.0
2018,will,40,34,0.85
2019,may,3,3,1.0
2019,will,28,19,0.6785714285714286
2020,can,2,0,0.0
2020,could,3,3,1.0
2020,may,1,0,0.0
2020,will,65,48,0.7384615384615385
2020,would,3,3,1.0
2021,could,8,8,1.0
2021,may,1,0,0.0
2021,will,50,46,0.92
2021,would,10,8,0.8
2022,could,8,8,1.0
2022,will,33,30,0.9090909090909091
2022,would,8,8,1.0
2023,could,8,8,1.0
2023,may,7,5,0.7142857142857143
2023,will,39,34,0.8717948717948718
2023,would,8,8,1.0
2024,could,8,8,1.0
2024,will,40,37,0.925
2024,would,8,8,1.0
2025,could,8,8,1.0
2025,will,33,30,0.9090909090909091
2025,would,8,8,1.0
2026,could,3,3,1.0
2026,will,9,9,1.0
2026,would,3,3,1.0
