doc_type,modal,neg,passive,perfect,progressive,cond,reported,question,contracted,n
minutes,can,0.024,0.595,0.0,0.0,0.131,0.298,0.0,0.0,84
minutes,could,0.003,0.113,0.011,0.014,0.315,0.43,0.0,0.0,1659
minutes,may,0.06,0.157,0.181,0.04,0.181,0.321,0.0,0.0,502
minutes,should,0.059,0.191,0.0,0.005,0.14,0.697,0.0,0.0,393
minutes,will,0.001,0.034,0.001,0.002,0.073,0.268,0.0,0.001,887
minutes,would,0.021,0.118,0.006,0.006,0.192,0.638,0.0,0.0,3556
press_conf,can,0.154,0.028,0.002,0.003,0.219,0.143,0.153,0.0,1992
press_conf,could,0.022,0.044,0.017,0.009,0.417,0.149,0.259,0.0,1212
press_conf,may,0.098,0.053,0.072,0.067,0.211,0.17,0.064,0.0,582
press_conf,should,0.092,0.077,0.017,0.066,0.195,0.236,0.204,0.0,692
press_conf,will,0.045,0.027,0.006,0.068,0.165,0.2,0.073,0.279,4832
press_conf,would,0.092,0.018,0.018,0.02,0.252,0.163,0.151,0.093,3911
speech,can,0.123,0.138,0.002,0.004,0.217,0.067,0.044,0.0,571
speech,could,0.016,0.078,0.039,0.013,0.29,0.124,0.01,0.0,386
speech,may,0.055,0.096,0.121,0.068,0.185,0.098,0.009,0.0,439
speech,should,0.075,0.18,0.009,0.035,0.158,0.211,0.07,0.0,228
speech,will,0.033,0.054,0.003,0.024,0.155,0.13,0.015,0.007,1227
speech,would,0.041,0.072,0.093,0.008,0.311,0.162,0.009,0.008,656
statement,can,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,4
statement,could,0.0,0.0,0.0,0.0,0.92,0.08,0.0,0.0,50
statement,may,0.0,0.074,0.0,0.0,0.037,0.074,0.0,0.0,27
statement,should,0.053,0.0,0.0,0.0,0.0,0.079,0.0,0.0,38
statement,will,0.0,0.002,0.0,0.0,0.041,0.239,0.0,0.0,612
statement,would,0.0,0.0,0.0,0.0,0.939,0.041,0.0,0.0,49
