doc_type,modal,subj_type,n,share
minutes,can,econ,13,0.15476190476190477
minutes,can,fed,1,0.011904761904761904
minutes,can,it_there_rel,17,0.20238095238095238
minutes,can,none,4,0.047619047619047616
minutes,can,other,49,0.5833333333333334
minutes,could,committee,55,0.033152501506931886
minutes,could,econ,483,0.2911392405063291
minutes,could,fed,8,0.004822182037371911
minutes,could,it_there_rel,471,0.28390596745027125
minutes,could,none,8,0.004822182037371911
minutes,could,other,584,0.35201928872814947
minutes,could,person,41,0.02471368294153104
minutes,could,risks,9,0.0054249547920434
minutes,may,committee,8,0.01593625498007968
minutes,may,econ,207,0.4123505976095618
minutes,may,it_there_rel,79,0.15737051792828685
minutes,may,none,20,0.0398406374501992
minutes,may,other,164,0.32669322709163345
minutes,may,person,20,0.0398406374501992
minutes,may,risks,4,0.00796812749003984
minutes,should,committee,65,0.16539440203562342
minutes,should,econ,108,0.2748091603053435
minutes,should,fed,7,0.017811704834605598
minutes,should,it_there_rel,25,0.06361323155216285
minutes,should,none,10,0.02544529262086514
minutes,should,other,157,0.3994910941475827
minutes,should,person,17,0.043256997455470736
minutes,should,risks,4,0.010178117048346057
minutes,will,committee,285,0.32130777903043967
minutes,will,econ,187,0.21082299887260428
minutes,will,fed,22,0.02480270574971815
minutes,will,it_there_rel,126,0.14205186020293123
minutes,will,none,1,0.0011273957158962795
minutes,will,other,229,0.25817361894024804
minutes,will,person,33,0.03720405862457723
minutes,will,we_I,4,0.004509582863585118
minutes,would,committee,202,0.05680539932508436
minutes,would,econ,1125,0.31636670416197976
minutes,would,fed,15,0.00421822272215973
minutes,would,it_there_rel,674,0.18953880764904388
minutes,would,none,26,0.007311586051743532
minutes,would,other,1216,0.34195725534308213
minutes,would,person,288,0.08098987626546682
minutes,would,risks,7,0.001968503937007874
minutes,would,we_I,3,0.000843644544431946
press_conf,can,committee,2,0.001004016064257028
press_conf,can,econ,110,0.055220883534136546
press_conf,can,fed,27,0.01355421686746988
press_conf,can,it_there_rel,199,0.09989959839357429
press_conf,can,none,155,0.07781124497991967
press_conf,can,other,148,0.07429718875502007
press_conf,can,person,663,0.3328313253012048
press_conf,can,risks,2,0.001004016064257028
press_conf,can,we_I,686,0.34437751004016065
press_conf,could,committee,3,0.0024752475247524753
press_conf,could,econ,98,0.08085808580858085
press_conf,could,fed,15,0.012376237623762377
press_conf,could,it_there_rel,353,0.29125412541254125
press_conf,could,none,32,0.026402640264026403
press_conf,could,other,155,0.12788778877887788
press_conf,could,person,338,0.27887788778877887
press_conf,could,risks,2,0.0016501650165016502
press_conf,could,we_I,216,0.1782178217821782
