doc_type,modal,subj_lemma
minutes,can,"limit(38), it(10), that(3), action(3), which(3), guidance(2)"
minutes,could,"that(346), which(66), inflation(59), committee(53), it(43), rate(37)"
minutes,may,"that(46), expectation(39), condition(33), bank(26), it(24), factor(19)"
minutes,should,"committee(64), policy(49), statement(40), they(12), which(8), it(8)"
minutes,will,"committee(284), assessment(106), it(72), that(50), activity(35), path(30)"
minutes,would,"it(416), they(236), inflation(216), that(201), committee(195), meeting(99)"
press_conf,can,"you(568), we(481), i(205), it(75), that(75), they(61)"
press_conf,could,"you(302), that(162), i(124), it(120), we(92), there(26)"
press_conf,may,"it(112), that(83), we(58), there(46), they(30), you(26)"
press_conf,should,"we(164), that(64), it(46), you(42), they(32), i(25)"
press_conf,will,"we(1507), it(433), i(406), that(369), you(247), there(122)"
press_conf,would,"i(1287), we(527), you(426), that(395), it(333), what(69)"
speech,can,"we(95), that(28), policy(23), it(22), i(20), they(17)"
speech,could,"that(37), we(20), they(14), it(13), which(12), inflation(10)"
speech,may,"that(32), it(21), the(19), which(16), we(15), there(11)"
speech,should,"we(34), policy(15), policymaker(11), i(11), it(9), inflation(7)"
speech,will,"i(234), we(156), it(61), that(60), inflation(40), rate(31)"
speech,would,"i(76), that(47), it(40), rate(33), we(24), inflation(17)"
statement,can,"it(2), information(2)"
statement,could,"that(46), inflation(4)"
statement,may,"condition(14), that(5), adjustment(3), firming(2), development(1), information(1)"
statement,should,"policy(21), holding(6), which(6), committee(2), outlook(1), statement(1)"
statement,will,"committee(270), assessment(98), it(55), activity(35), path(28), condition(27)"
statement,would,"committee(46), it(2), which(1)"
