doc_type,chair,modal,n,per1k,share
minutes,Powell,can,69,0.1213139887336226,0.015340151178301467
minutes,Powell,could,1206,2.120357542213752,0.2681191640729213
minutes,Powell,may,284,0.4993213449325916,0.06313917296576256
minutes,Powell,should,184,0.32350396995632696,0.04090706980880391
minutes,Powell,will,470,0.8263416623884439,0.10449088483770565
minutes,Powell,would,2285,4.0174270182076475,0.5080035571365051
minutes,Yellen,can,15,0.051577763794472924,0.006038647342995169
minutes,Yellen,could,443,1.5232632907301005,0.17834138486312398
minutes,Yellen,may,199,0.6842649996733409,0.08011272141706924
minutes,Yellen,should,202,0.6945805524322354,0.08132045088566828
minutes,Yellen,will,397,1.3650914817603834,0.15982286634460546
minutes,Yellen,would,1228,4.222499595974184,0.4943639291465378
press_conf,Powell,can,1764,3.0737919161363623,0.1614497528830313
press_conf,Powell,could,948,1.6519017780596776,0.08676551345414607
press_conf,Powell,may,468,0.8154958144851573,0.042833607907743
press_conf,Powell,should,533,0.9287591220525402,0.04878272011715175
press_conf,Powell,will,4056,7.067630392204697,0.371224601867106
press_conf,Powell,would,3157,5.501111722926584,0.2889438037708219
press_conf,Yellen,can,228,1.8468118195956453,0.09934640522875816
press_conf,Yellen,could,264,2.1384136858475893,0.11503267973856209
press_conf,Yellen,may,114,0.9234059097978227,0.04967320261437908
press_conf,Yellen,should,159,1.2879082426127528,0.06928104575163399
press_conf,Yellen,will,776,6.28564022809746,0.3381263616557734
press_conf,Yellen,would,754,6.10743908761016,0.32854030501089326
speech,Powell,can,295,2.0079364539161566,0.18277571251548946
speech,Powell,could,153,1.0414043303361762,0.09479553903345725
speech,Powell,may,161,1.0958568443406822,0.09975216852540272
speech,Powell,should,89,0.6057842183001286,0.05514250309789343
speech,Powell,will,665,4.526365226624557,0.41201982651796776
speech,Powell,would,251,1.708447626891374,0.15551425030978935
speech,Yellen,can,272,1.7114022172725785,0.14774579033134166
speech,Yellen,could,231,1.4534335006984032,0.12547528517110265
speech,Yellen,may,270,1.6988183774396919,0.14665942422596415
speech,Yellen,should,134,0.8431172688034027,0.07278652906029331
speech,Yellen,will,543,3.416512514628714,0.2949483976099946
speech,Yellen,would,391,2.4601406873293317,0.21238457360130364
statement,Powell,can,2,0.07521624670928921,0.004576659038901602
statement,Powell,could,46,1.7299736743136518,0.10526315789473684
statement,Powell,may,12,0.45129748025573524,0.02745995423340961
statement,Powell,will,329,12.373072583678075,0.7528604118993135
statement,Powell,would,48,1.805189921022941,0.10983981693363844
statement,Yellen,can,2,0.1005631536604988,0.006134969325153374
statement,Yellen,could,3,0.1508447304907482,0.009202453987730062
statement,Yellen,may,15,0.7542236524537409,0.046012269938650305
statement,Yellen,should,36,1.8101367658889782,0.11042944785276074
statement,Yellen,will,269,13.525744167337088,0.8251533742331288
statement,Yellen,would,1,0.0502815768302494,0.003067484662576687
