genre,macro,modal,metric,n,r,p,rho,p_rho,q_bh
statement,cfnai_ma3_lag2,will,per1k,101,-0.222,0.0258,0.016,0.8735,0.1412
statement,cfnai_ma3_lag2,will,share,101,-0.178,0.0746,0.045,0.658,0.2542
statement,cfnai_ma3_lag2,would,per1k,101,0.155,0.1212,-0.034,0.7361,0.3151
statement,cfnai_ma3_lag2,would,share,101,0.159,0.1112,0.028,0.7792,0.3043
statement,cfnai_ma3_lag2,could,per1k,101,0.144,0.1507,-0.078,0.438,0.3407
statement,cfnai_ma3_lag2,could,share,101,0.148,0.1396,-0.016,0.874,0.3398
statement,cfnai_ma3_lag2,can,per1k,101,0.008,0.9369,0.012,0.9014,0.9842
statement,cfnai_ma3_lag2,can,share,101,0.008,0.9346,0.012,0.9062,0.9842
statement,cfnai_ma3_lag2,should,per1k,101,0.025,0.8009,-0.003,0.9779,0.9327
statement,cfnai_ma3_lag2,should,share,101,0.023,0.8161,-0.007,0.943,0.9327
statement,cfnai_ma3_lag2,may,per1k,101,0.005,0.9603,-0.089,0.3749,0.9895
statement,cfnai_ma3_lag2,may,share,101,0.005,0.961,-0.088,0.381,0.9895
statement,cfnai_ma3_lag2,ALL6,per1k,101,-0.069,0.4933,-0.047,0.6392,0.7102
statement,vix_pre28,will,per1k,101,-0.116,0.2497,-0.221,0.0262,0.4556
statement,vix_pre28,will,share,101,-0.171,0.0882,-0.314,0.0014,0.2597
statement,vix_pre28,would,per1k,101,0.176,0.0782,0.319,0.0012,0.2542
statement,vix_pre28,would,share,101,0.205,0.0399,0.372,0.0001,0.1804
statement,vix_pre28,could,per1k,101,0.177,0.0772,0.312,0.0015,0.2542
statement,vix_pre28,could,share,101,0.211,0.0344,0.368,0.0002,0.1626
statement,vix_pre28,can,per1k,101,0.37,0.0001,0.182,0.0679,0.0017
statement,vix_pre28,can,share,101,0.393,0.0,0.183,0.067,0.0
statement,vix_pre28,should,per1k,101,-0.256,0.0097,-0.322,0.001,0.0679
statement,vix_pre28,should,share,101,-0.234,0.0184,-0.29,0.0033,0.1126
statement,vix_pre28,may,per1k,101,-0.063,0.5331,-0.113,0.2618,0.72
statement,vix_pre28,may,share,101,-0.024,0.8137,-0.105,0.2978,0.9327
statement,vix_pre28,ALL6,per1k,101,-0.025,0.8008,-0.03,0.7635,0.9327
minutes,cfnai_ma3_lag2,will,per1k,99,0.049,0.6277,0.027,0.7898,0.7961
minutes,cfnai_ma3_lag2,will,share,99,0.05,0.6221,0.011,0.9107,0.7961
minutes,cfnai_ma3_lag2,would,per1k,99,-0.065,0.5248,0.112,0.2683,0.7181
minutes,cfnai_ma3_lag2,would,share,99,-0.075,0.4588,0.06,0.5579,0.672
minutes,cfnai_ma3_lag2,could,per1k,99,0.034,0.7419,-0.086,0.397,0.9185
minutes,cfnai_ma3_lag2,could,share,99,0.04,0.6925,-0.151,0.1359,0.8677
minutes,cfnai_ma3_lag2,can,per1k,99,-0.125,0.218,0.267,0.0075,0.4049
minutes,cfnai_ma3_lag2,can,share,99,-0.097,0.3371,0.273,0.0062,0.5551
minutes,cfnai_ma3_lag2,should,per1k,99,-0.0,0.9986,-0.042,0.678,0.9986
minutes,cfnai_ma3_lag2,should,share,99,-0.004,0.9705,-0.071,0.485,0.9895
minutes,cfnai_ma3_lag2,may,per1k,99,0.019,0.8509,-0.013,0.8981,0.9471
