genre,modal,spec,n,adjR2,b_cfnai_ma3_lag2,p_cfnai_ma3_lag2,b_vix_pre28,p_vix_pre28,b_unrate_gap_lag1,p_unrate_gap_lag1,b_corepce_gap_lag2,p_corepce_gap_lag2,b_cfnai_ma3_lag1,p_cfnai_ma3_lag1
statement,will,main,101,0.048,-0.6471,0.0027,-0.0617,0.3778,,,,,,
statement,will,robust+gaps,101,0.101,-0.2639,0.1161,-0.0765,0.2211,0.6505,0.0095,0.0232,0.9446,,
statement,will,altlag,101,0.031,,,-0.0654,0.3393,,,,,-0.7523,0.074
statement,would,main,101,0.041,0.2144,0.0,0.0392,0.3307,,,,,,
statement,would,robust+gaps,101,0.629,0.2459,0.0013,-0.0039,0.7446,0.27,0.0012,0.9152,0.0,,
statement,would,altlag,101,0.041,,,0.0413,0.2933,,,,,0.3027,0.0003
statement,could,main,101,0.037,0.1902,0.0,0.0372,0.3503,,,,,,
statement,could,robust+gaps,101,0.621,0.2273,0.0017,-0.004,0.726,0.2681,0.0001,0.8679,0.0,,
statement,could,altlag,101,0.04,,,0.0393,0.312,,,,,0.2806,0.0001
statement,can,main,101,0.121,0.0106,0.5029,0.0166,0.0848,,,,,,
statement,can,robust+gaps,101,0.195,-0.0079,0.6592,0.0208,0.0098,-0.0493,0.0839,-0.0762,0.0086,,
statement,can,altlag,101,0.123,,,0.0169,0.0899,,,,,0.0248,0.3971
statement,should,main,101,0.047,0.0037,0.8945,-0.0386,0.0202,,,,,,
statement,should,robust+gaps,101,0.2,0.1225,0.3954,-0.0319,0.0255,0.1436,0.4016,-0.2384,0.0144,,
statement,should,altlag,101,0.047,,,-0.0388,0.0194,,,,,-0.009,0.862
statement,may,main,101,-0.016,-0.0002,0.9962,-0.0092,0.5275,,,,,,
statement,may,robust+gaps,101,-0.027,-0.032,0.5763,-0.0105,0.5392,-0.0411,0.5844,0.0525,0.7524,,
statement,may,altlag,101,-0.015,,,-0.01,0.5022,,,,,-0.0449,0.6396
statement,six,main,101,-0.015,-0.2283,0.1456,-0.0165,0.768,,,,,,
statement,six,robust+gaps,101,0.27,0.2918,0.1858,-0.1061,0.1246,1.2417,0.0005,1.5443,0.0014,,
statement,six,altlag,101,-0.018,,,-0.0166,0.7726,,,,,-0.1979,0.5053
minutes,will,main,99,0.02,0.0136,0.5917,-0.0159,0.2386,,,,,,
minutes,will,robust+gaps,99,0.183,0.0988,0.049,-0.018,0.2257,0.1324,0.0786,-0.0505,0.3545,,
minutes,will,altlag,99,0.019,,,-0.0159,0.2337,,,,,0.0107,0.8098
minutes,would,main,99,0.011,-0.0386,0.3698,0.0243,0.236,,,,,,
minutes,would,robust+gaps,99,0.03,0.0418,0.3364,0.0186,0.4028,0.1382,0.0229,0.0035,0.9698,,
minutes,would,altlag,99,0.01,,,0.0242,0.2422,,,,,-0.0374,0.5699
minutes,could,main,99,0.005,0.029,0.3319,0.0177,0.1259,,,,,,
minutes,could,robust+gaps,99,0.027,-0.0223,0.7276,0.0286,0.0199,-0.1139,0.155,-0.1029,0.1598,,
minutes,could,altlag,99,0.003,,,0.0171,0.1486,,,,,-0.0032,0.9504
minutes,can,main,99,0.187,-0.0097,0.3439,0.0094,0.0002,,,,,,
minutes,can,robust+gaps,99,0.249,-0.0002,0.9839,0.0066,0.0003,0.0243,0.0057,0.031,0.0242,,
minutes,can,altlag,99,0.19,,,0.0093,0.0007,,,,,-0.0168,0.3136
minutes,should,main,99,0.017,-0.0055,0.6338,-0.0109,0.1046,,,,,,
minutes,should,robust+gaps,99,0.102,0.0277,0.5606,-0.0091,0.1269,0.0421,0.4603,-0.0563,0.086,,
minutes,should,altlag,99,0.019,,,-0.0112,0.0901,,,,,-0.0178,0.3186
minutes,may,main,99,0.012,0.001,0.9484,-0.0134,0.0437,,,,,,
minutes,may,robust+gaps,99,0.002,-0.0188,0.5039,-0.0098,0.1837,-0.0422,0.2042,-0.0324,0.4399,,
minutes,may,altlag,99,0.013,,,-0.014,0.0315,,,,,-0.025,0.2723
minutes,six,main,99,-0.018,-0.0102,0.8798,0.0112,0.6809,,,,,,
minutes,six,robust+gaps,99,0.076,0.1269,0.1944,0.0169,0.5441,0.1809,0.1501,-0.2076,0.0835,,
minutes,six,altlag,99,-0.015,,,0.0095,0.712,,,,,-0.0894,0.4333
press_conf,will,main,80,0.162,0.3109,0.0,0.1418,0.0,,,,,,
press_conf,will,robust+gaps,80,0.152,0.3536,0.0468,0.1265,0.0309,0.1238,0.6785,0.1931,0.5054,,
press_conf,will,altlag,80,0.156,,,0.1445,0.0,,,,,0.3953,0.0037
press_conf,would,main,80,0.028,0.1711,0.0004,-0.0379,0.0817,,,,,,
press_conf,would,robust+gaps,80,0.02,0.2285,0.0,-0.0511,0.0067,0.1343,0.0395,0.1377,0.1131,,
press_conf,would,altlag,80,0.032,,,-0.0355,0.0903,,,,,0.2621,0.0045
press_conf,could,main,80,0.045,-0.0527,0.2693,-0.0251,0.024,,,,,,
press_conf,could,robust+gaps,80,0.091,0.01,0.705,-0.028,0.0028,0.096,0.0323,-0.041,0.3439,,
press_conf,could,altlag,80,0.062,,,-0.0266,0.0175,,,,,-0.119,0.0668
press_conf,can,main,80,0.212,-0.1325,0.0003,0.0726,0.0001,,,,,,
press_conf,can,robust+gaps,80,0.22,-0.0709,0.1164,0.0606,0.0089,0.1342,0.112,0.1107,0.3677,,
press_conf,can,altlag,80,0.206,,,0.0715,0.0001,,,,,-0.1642,0.0123
press_conf,should,main,80,-0.004,0.058,0.0009,-0.0007,0.9348,,,,,,
press_conf,should,robust+gaps,80,0.084,0.0906,0.0025,0.0031,0.6747,0.0266,0.5017,-0.1095,0.0338,,
press_conf,should,altlag,80,0.013,,,0.0006,0.948,,,,,0.1103,0.0
press_conf,may,main,80,-0.022,0.0179,0.1745,0.0001,0.983,,,,,,
press_conf,may,robust+gaps,80,-0.035,0.0376,0.0231,-0.0017,0.7861,0.0341,0.155,0.0022,0.944,,
press_conf,may,altlag,80,-0.025,,,0.0001,0.9844,,,,,0.0145,0.4919
press_conf,six,main,80,0.118,0.3727,0.0049,0.1509,0.0,,,,,,
press_conf,six,robust+gaps,80,0.155,0.6494,0.0006,0.1095,0.0914,0.5489,0.0707,0.2932,0.3437,,
press_conf,six,altlag,80,0.114,,,0.1546,0.0,,,,,0.4989,0.0823
speech,will,main,124,0.015,-0.1727,0.0899,0.0685,0.0332,,,,,,
speech,will,robust+gaps,124,0.017,-0.2827,0.07,0.0563,0.2485,-0.0388,0.7629,0.3112,0.059,,
speech,will,altlag,124,0.013,,,0.0687,0.0575,,,,,-0.0494,0.6852
speech,would,main,124,0.008,0.1855,0.0099,-0.0209,0.2307,,,,,,
speech,would,robust+gaps,124,0.012,0.2662,0.0026,-0.0177,0.3564,0.0483,0.5357,-0.1412,0.1702,,
speech,would,altlag,124,-0.002,,,-0.0217,0.2504,,,,,0.0436,0.4304
speech,could,main,124,0.013,0.137,0.0145,-0.0189,0.0478,,,,,,
speech,could,robust+gaps,124,0.01,0.2132,0.0003,-0.0237,0.0084,0.073,0.0633,-0.013,0.8522,,
speech,could,altlag,124,0.002,,,-0.0214,0.04,,,,,0.0051,0.9318
speech,can,main,124,0.142,-0.6671,0.0,0.0562,0.0096,,,,,,
speech,can,robust+gaps,124,0.176,-0.6018,0.0,0.0747,0.0001,-0.0162,0.7414,-0.3576,0.0,,
speech,can,altlag,124,0.1,,,0.0451,0.0563,,,,,-0.3595,0.0
speech,should,main,124,-0.008,0.0653,0.254,0.0083,0.6708,,,,,,
speech,should,robust+gaps,124,0.014,-0.0112,0.7799,0.0205,0.3199,-0.0989,0.0191,-0.1001,0.3165,,
speech,should,altlag,124,-0.007,,,0.0104,0.646,,,,,0.0508,0.3948
speech,may,main,124,0.002,0.0451,0.5527,-0.0258,0.0697,,,,,,
speech,may,robust+gaps,124,-0.015,0.0576,0.534,-0.0254,0.0199,0.0081,0.8832,-0.0194,0.8607,,
speech,may,altlag,124,0.001,,,-0.0287,0.074,,,,,-0.0281,0.6027
speech,six,main,124,0.003,-0.4069,0.0553,0.0674,0.3335,,,,,,
speech,six,robust+gaps,124,-0.007,-0.3587,0.0957,0.0848,0.2756,-0.0246,0.9088,-0.32,0.2805,,
speech,six,altlag,124,0.005,,,0.0523,0.4839,,,,,-0.3375,0.1271
