series,macro,n,r,p,rho,p_rho
novel_per1k,cfnai_ma3_lag2,101,0.006,0.9502,0.071,0.4774
novel_per1k,vix_pre28,101,0.197,0.0484,0.096,0.3398
formulaic_per1k,cfnai_ma3_lag2,101,-0.059,0.5609,-0.146,0.1464
formulaic_per1k,vix_pre28,101,-0.139,0.1645,-0.011,0.9146
novel_will_per1k,cfnai_ma3_lag2,101,-0.012,0.903,0.008,0.9398
novel_will_per1k,vix_pre28,101,0.146,0.1454,0.077,0.4435
novel_would_per1k,cfnai_ma3_lag2,101,0.094,0.3485,0.229,0.0213
novel_would_per1k,vix_pre28,101,-0.065,0.5191,-0.062,0.5375
novel_can_per1k,cfnai_ma3_lag2,101,0.008,0.9369,0.012,0.9014
novel_can_per1k,vix_pre28,101,0.37,0.0001,0.182,0.0679
novel_should_per1k,cfnai_ma3_lag2,101,0.01,0.9172,0.058,0.5642
novel_should_per1k,vix_pre28,101,-0.038,0.7027,0.004,0.9656
novel_may_per1k,cfnai_ma3_lag2,101,0.016,0.8742,0.019,0.8493
novel_may_per1k,vix_pre28,101,0.23,0.0209,0.213,0.0326
