genre,modal,pclass,total_n,macro,n,r,p,rho,p_rho,q_bh
statement,could,causative,50,cfnai_ma3_lag2,101,0.144,0.1507,-0.078,0.438,0.5057
statement,could,causative,50,vix_pre28,101,0.177,0.0772,0.312,0.0015,0.3765
statement,will,activity,132,cfnai_ma3_lag2,101,-0.267,0.0069,-0.35,0.0003,0.0872
statement,will,activity,132,vix_pre28,101,0.081,0.4223,0.182,0.0679,0.7409
statement,will,aspectual,126,cfnai_ma3_lag2,101,-0.065,0.5201,-0.153,0.1266,0.8327
statement,will,aspectual,126,vix_pre28,101,0.347,0.0004,0.404,0.0,0.0111
statement,will,copular_adj,55,cfnai_ma3_lag2,101,0.272,0.0059,0.401,0.0,0.0781
statement,will,copular_adj,55,vix_pre28,101,0.076,0.4514,0.125,0.2137,0.7699
statement,will,mental,105,cfnai_ma3_lag2,101,-0.348,0.0004,-0.283,0.0041,0.0111
statement,will,mental,105,vix_pre28,101,-0.285,0.0039,-0.39,0.0001,0.0542
statement,will,occurrence,47,cfnai_ma3_lag2,101,-0.063,0.5294,0.17,0.0897,0.8327
statement,will,occurrence,47,vix_pre28,101,-0.183,0.0669,-0.231,0.0199,0.363
statement,will,policy_action,57,cfnai_ma3_lag2,101,0.034,0.7357,0.04,0.6916,0.893
statement,will,policy_action,57,vix_pre28,101,-0.325,0.0009,-0.413,0.0,0.0192
statement,would,copular_adj,46,cfnai_ma3_lag2,101,0.138,0.1701,-0.093,0.3548,0.514
statement,would,copular_adj,46,vix_pre28,101,0.198,0.0468,0.339,0.0005,0.3015
minutes,can,occurrence,42,cfnai_ma3_lag2,99,0.046,0.648,0.296,0.003,0.8785
minutes,can,occurrence,42,vix_pre28,99,0.495,0.0,0.539,0.0,0.0
minutes,could,activity,206,cfnai_ma3_lag2,99,-0.172,0.0889,-0.18,0.075,0.3986
minutes,could,activity,206,vix_pre28,99,0.189,0.0614,0.086,0.3956,0.3469
minutes,could,aspectual,40,cfnai_ma3_lag2,99,-0.15,0.1378,-0.073,0.4703,0.4911
minutes,could,aspectual,40,vix_pre28,99,-0.008,0.9392,0.083,0.4118,0.9824
minutes,could,causative,486,cfnai_ma3_lag2,99,0.142,0.1619,0.1,0.3247,0.5057
minutes,could,causative,486,vix_pre28,99,0.147,0.1459,0.231,0.0214,0.5057
minutes,could,copular_adj,94,cfnai_ma3_lag2,99,-0.038,0.7112,-0.143,0.1569,0.8861
minutes,could,copular_adj,94,vix_pre28,99,-0.011,0.9177,0.064,0.5307,0.9775
minutes,could,existence,60,cfnai_ma3_lag2,99,-0.022,0.8258,-0.069,0.4993,0.9332
minutes,could,existence,60,vix_pre28,99,-0.054,0.5973,-0.046,0.6494,0.8648
minutes,could,mental,55,cfnai_ma3_lag2,99,0.116,0.2531,0.156,0.1238,0.5905
minutes,could,mental,55,vix_pre28,99,0.037,0.7133,0.011,0.912,0.8861
minutes,could,occurrence,240,cfnai_ma3_lag2,99,0.128,0.206,0.038,0.7074,0.5785
minutes,could,occurrence,240,vix_pre28,99,0.123,0.227,0.0,0.9972,0.5898
minutes,could,other,273,cfnai_ma3_lag2,99,-0.032,0.7506,-0.126,0.2145,0.8969
minutes,could,other,273,vix_pre28,99,-0.006,0.9563,0.012,0.9053,0.9824
minutes,could,policy_action,129,cfnai_ma3_lag2,99,-0.033,0.7442,-0.13,0.1996,0.8956
minutes,could,policy_action,129,vix_pre28,99,0.184,0.0679,0.238,0.0177,0.363
minutes,may,causative,82,cfnai_ma3_lag2,99,0.012,0.9034,0.095,0.3504,0.9775
minutes,may,causative,82,vix_pre28,99,-0.151,0.135,-0.193,0.0559,0.4911
minutes,may,copular_adj,94,cfnai_ma3_lag2,99,-0.039,0.7003,-0.141,0.1627,0.8861
minutes,may,copular_adj,94,vix_pre28,99,-0.059,0.5641,-0.044,0.6661,0.8553
minutes,may,occurrence,65,cfnai_ma3_lag2,99,-0.087,0.3916,0.081,0.425,0.7306
minutes,may,occurrence,65,vix_pre28,99,-0.124,0.2213,-0.105,0.3003,0.5898
minutes,may,other,124,cfnai_ma3_lag2,99,0.045,0.6549,-0.089,0.3804,0.8785
minutes,may,other,124,vix_pre28,99,-0.047,0.641,-0.076,0.4568,0.8785
minutes,may,policy_action,51,cfnai_ma3_lag2,99,0.059,0.5603,0.048,0.6339,0.8553
minutes,may,policy_action,51,vix_pre28,99,-0.142,0.1613,-0.057,0.5746,0.5057
minutes,should,activity,73,cfnai_ma3_lag2,99,0.011,0.911,-0.05,0.6212,0.9775
