genre,modal,predicate,total_n,macro,n,r,p,rho,p_rho,q_bh
minutes,would,expand,83,vix_pre28,99,-0.414,0.0,-0.475,0.0,0.0
press_conf,can,do,178,vix_pre28,80,0.451,0.0,0.251,0.0247,0.0
statement,will,expand,34,vix_pre28,101,-0.393,0.0,-0.484,0.0,0.0
minutes,would,be+appropriate,247,vix_pre28,99,0.374,0.0001,0.35,0.0004,0.005
minutes,would,take,124,vix_pre28,99,0.365,0.0002,0.3,0.0026,0.008
statement,will,continue,125,vix_pre28,101,0.35,0.0003,0.406,0.0,0.01
minutes,will,assess,72,vix_pre28,99,-0.343,0.0005,-0.307,0.002,0.0143
statement,will,warrant,21,vix_pre28,101,-0.335,0.0006,-0.427,0.0,0.015
statement,will,evolve,20,vix_pre28,101,-0.323,0.001,-0.404,0.0,0.0222
minutes,would,be+important,52,cfnai_ma3_lag2,99,-0.312,0.0017,-0.014,0.8868,0.034
minutes,could,impede,106,vix_pre28,99,0.296,0.003,0.357,0.0003,0.0462
press_conf,will,need,57,vix_pre28,80,0.329,0.0029,0.27,0.0153,0.0462
minutes,would,help,89,vix_pre28,99,0.298,0.0027,0.321,0.0012,0.0462
minutes,will,continue,151,vix_pre28,99,0.291,0.0035,0.283,0.0045,0.05
statement,will,monitor,32,cfnai_ma3_lag2,101,-0.276,0.0052,-0.056,0.5782,0.0647
press_conf,will,go,148,vix_pre28,80,0.308,0.0055,0.202,0.0727,0.0647
statement,will,be+appropriate,47,cfnai_ma3_lag2,101,0.274,0.0055,0.369,0.0001,0.0647
minutes,would,be+prepared,97,vix_pre28,99,0.27,0.007,0.328,0.0009,0.0778
minutes,would,continue,261,vix_pre28,99,0.267,0.0075,0.21,0.0368,0.0789
press_conf,will,help,47,cfnai_ma3_lag2,80,0.283,0.011,0.142,0.2076,0.0974
press_conf,can,everything,54,vix_pre28,80,0.283,0.0108,0.29,0.009,0.0974
press_conf,would,take,85,vix_pre28,80,-0.282,0.0112,-0.298,0.0073,0.0974
press_conf,will,need,57,cfnai_ma3_lag2,80,-0.287,0.01,-0.021,0.8515,0.0974
minutes,would,be+important,52,vix_pre28,99,0.249,0.013,0.193,0.0556,0.1083
statement,will,assess,72,vix_pre28,101,-0.238,0.0167,-0.279,0.0047,0.1315
statement,will,assess,72,cfnai_ma3_lag2,101,-0.237,0.0171,-0.353,0.0003,0.1315
minutes,will,be+appropriate,58,cfnai_ma3_lag2,99,0.237,0.0182,0.331,0.0008,0.1348
press_conf,can,have,57,vix_pre28,80,0.247,0.027,0.255,0.0223,0.1929
minutes,would,assess,52,cfnai_ma3_lag2,99,-0.211,0.0358,-0.44,0.0,0.2469
press_conf,will,see,182,vix_pre28,80,0.231,0.039,0.321,0.0037,0.2516
press_conf,will,take,158,vix_pre28,80,0.232,0.0386,0.278,0.0127,0.2516
press_conf,can,say,82,vix_pre28,80,0.228,0.0415,0.088,0.4402,0.2594
minutes,could,impede,106,cfnai_ma3_lag2,99,0.2,0.0466,0.019,0.8538,0.26
minutes,will,assess,72,cfnai_ma3_lag2,99,-0.203,0.0443,-0.288,0.0039,0.26
statement,could,impede,46,vix_pre28,101,0.198,0.0468,0.339,0.0005,0.26
statement,would,be+prepared,46,vix_pre28,101,0.198,0.0468,0.339,0.0005,0.26
press_conf,could,follow,80,cfnai_ma3_lag2,80,0.219,0.0513,0.105,0.3552,0.2773
statement,should,help,21,vix_pre28,101,-0.193,0.0537,-0.196,0.0495,0.2779
press_conf,will,depend,68,vix_pre28,80,0.216,0.0542,0.266,0.0171,0.2779
press_conf,will,get,66,cfnai_ma3_lag2,80,-0.208,0.0639,-0.203,0.0714,0.3195
press_conf,will,be,111,vix_pre28,80,0.203,0.0705,0.262,0.0187,0.3439
press_conf,would,need,57,vix_pre28,80,-0.199,0.0764,-0.13,0.2488,0.3638
minutes,would,take,124,cfnai_ma3_lag2,99,-0.178,0.0783,-0.192,0.0574,0.3642
minutes,would,warrant,43,vix_pre28,99,-0.176,0.0814,-0.178,0.0773,0.37
press_conf,will,be,111,cfnai_ma3_lag2,80,0.194,0.0854,0.214,0.0571,0.3774
speech,would,like,54,vix_pre28,124,-0.154,0.0868,-0.267,0.0027,0.3774
minutes,could,result,44,cfnai_ma3_lag2,99,-0.172,0.0896,-0.087,0.3944,0.3813
press_conf,would,expect,95,cfnai_ma3_lag2,80,0.188,0.0949,0.245,0.0285,0.3954
minutes,would,need,77,cfnai_ma3_lag2,99,-0.164,0.1048,-0.308,0.0019,0.4278
