sample,genre,macro,modal,metric,n,r,p,rho,p_rho
excl2020,statement,cfnai_ma3_lag2,will,per1k,91,0.013,0.9053,0.007,0.9459
excl2020,statement,cfnai_ma3_lag2,would,per1k,91,0.037,0.728,-0.125,0.236
excl2020,statement,cfnai_ma3_lag2,could,per1k,91,-0.057,0.5905,-0.186,0.0772
excl2020,statement,cfnai_ma3_lag2,can,per1k,91,0.034,0.7482,0.068,0.5233
excl2020,statement,cfnai_ma3_lag2,should,per1k,91,-0.055,0.6059,-0.017,0.8732
excl2020,statement,cfnai_ma3_lag2,may,per1k,91,-0.146,0.1677,-0.11,0.2991
excl2020,statement,vix_pre28,will,per1k,91,-0.357,0.0005,-0.378,0.0002
excl2020,statement,vix_pre28,would,per1k,91,0.447,0.0,0.432,0.0
excl2020,statement,vix_pre28,could,per1k,91,0.456,0.0,0.428,0.0
excl2020,statement,vix_pre28,can,per1k,91,0.006,0.9532,0.041,0.7013
excl2020,statement,vix_pre28,should,per1k,91,-0.233,0.0262,-0.286,0.006
excl2020,statement,vix_pre28,may,per1k,91,-0.064,0.5497,-0.082,0.4421
excl2020,minutes,cfnai_ma3_lag2,will,per1k,91,0.047,0.6591,0.018,0.8656
excl2020,minutes,cfnai_ma3_lag2,would,per1k,91,0.146,0.1667,0.148,0.1612
excl2020,minutes,cfnai_ma3_lag2,could,per1k,91,-0.103,0.333,-0.114,0.2803
excl2020,minutes,cfnai_ma3_lag2,can,per1k,91,0.311,0.0027,0.339,0.001
excl2020,minutes,cfnai_ma3_lag2,should,per1k,91,0.015,0.8846,0.003,0.9787
excl2020,minutes,cfnai_ma3_lag2,may,per1k,91,0.131,0.2156,0.071,0.5036
excl2020,minutes,vix_pre28,will,per1k,91,-0.365,0.0004,-0.424,0.0
excl2020,minutes,vix_pre28,would,per1k,91,-0.008,0.9407,-0.036,0.7318
excl2020,minutes,vix_pre28,could,per1k,91,0.136,0.2,0.208,0.0479
excl2020,minutes,vix_pre28,can,per1k,91,0.445,0.0,0.443,0.0
excl2020,minutes,vix_pre28,should,per1k,91,-0.228,0.03,-0.146,0.1664
excl2020,minutes,vix_pre28,may,per1k,91,-0.13,0.2195,-0.163,0.122
excl2020,press_conf,cfnai_ma3_lag2,will,per1k,71,0.312,0.0082,0.192,0.1086
excl2020,press_conf,cfnai_ma3_lag2,would,per1k,71,0.036,0.7668,0.098,0.4182
excl2020,press_conf,cfnai_ma3_lag2,could,per1k,71,0.048,0.6889,0.065,0.5884
excl2020,press_conf,cfnai_ma3_lag2,can,per1k,71,0.168,0.162,0.145,0.2272
