genre,feature,target,k_months,n,r,p
statement,will_per1k,CFNAI_MA3,-9,101,-0.05,0.6214
statement,will_per1k,CFNAI_MA3,-8,101,-0.089,0.3786
statement,will_per1k,CFNAI_MA3,-7,101,-0.12,0.2335
statement,will_per1k,CFNAI_MA3,-6,101,-0.123,0.2204
statement,will_per1k,CFNAI_MA3,-5,101,-0.055,0.5853
statement,will_per1k,CFNAI_MA3,-4,101,-0.042,0.6731
statement,will_per1k,CFNAI_MA3,-3,101,-0.194,0.0524
statement,will_per1k,CFNAI_MA3,-2,101,-0.222,0.0258
statement,will_per1k,CFNAI_MA3,-1,101,-0.173,0.0842
statement,will_per1k,CFNAI_MA3,0,101,0.007,0.9474
statement,will_per1k,CFNAI_MA3,1,101,0.231,0.0199
statement,will_per1k,CFNAI_MA3,2,101,0.27,0.0063
statement,will_per1k,CFNAI_MA3,3,101,0.362,0.0002
statement,will_per1k,CFNAI_MA3,4,100,0.109,0.2804
statement,will_per1k,CFNAI_MA3,5,99,0.121,0.2312
statement,will_per1k,CFNAI_MA3,6,99,0.153,0.1313
statement,will_per1k,CFNAI_MA3,7,98,0.102,0.3186
statement,will_per1k,CFNAI_MA3,8,97,0.122,0.2352
statement,will_per1k,CFNAI_MA3,9,97,0.017,0.8681
statement,will_per1k,VIX_M,-9,101,-0.057,0.5738
statement,will_per1k,VIX_M,-8,101,-0.012,0.9063
statement,will_per1k,VIX_M,-7,101,-0.077,0.4428
statement,will_per1k,VIX_M,-6,101,-0.088,0.3795
statement,will_per1k,VIX_M,-5,101,-0.105,0.2956
statement,will_per1k,VIX_M,-4,101,0.062,0.5374
statement,will_per1k,VIX_M,-3,101,0.11,0.2745
statement,will_per1k,VIX_M,-2,101,0.005,0.9626
statement,will_per1k,VIX_M,-1,101,0.063,0.5343
statement,will_per1k,VIX_M,0,101,-0.193,0.053
statement,will_per1k,VIX_M,1,101,-0.151,0.1309
statement,will_per1k,VIX_M,2,101,-0.207,0.0383
statement,will_per1k,VIX_M,3,101,-0.211,0.0346
statement,will_per1k,VIX_M,4,100,-0.303,0.0022
statement,will_per1k,VIX_M,5,99,-0.292,0.0034
statement,will_per1k,VIX_M,6,99,-0.29,0.0036
statement,will_per1k,VIX_M,7,98,-0.261,0.0095
statement,will_per1k,VIX_M,8,97,-0.251,0.0131
statement,will_per1k,VIX_M,9,97,-0.222,0.0287
statement,would_per1k,CFNAI_MA3,-9,101,-0.003,0.9767
statement,would_per1k,CFNAI_MA3,-8,101,-0.005,0.9575
statement,would_per1k,CFNAI_MA3,-7,101,-0.054,0.5888
statement,would_per1k,CFNAI_MA3,-6,101,0.008,0.9384
statement,would_per1k,CFNAI_MA3,-5,101,0.005,0.9602
