genre,feature,target,peak_k,n,peak_r,peak_p,absr
minutes,will+assess,VIX_M,-7,99,-0.608,0.0,0.608
minutes,neg_can_per1k,CFNAI_MA3,5,97,-0.576,0.0,0.576
minutes,can_per1k,VIX_M,-2,99,0.569,0.0,0.569
press_conf,will_per1k,VIX_M,1,80,0.541,0.0,0.541
press_conf,neg_will_per1k,VIX_M,0,80,0.54,0.0,0.54
statement,can_per1k,CFNAI_MA3,2,101,-0.517,0.0,0.517
press_conf,can_per1k,VIX_M,-1,80,0.498,0.0,0.498
press_conf,can+do,VIX_M,-1,80,0.492,0.0,0.492
minutes,neg_can_per1k,VIX_M,3,99,0.481,0.0,0.481
minutes,could+impede,VIX_M,-5,99,0.469,0.0,0.469
minutes,would+expand,VIX_M,1,99,-0.463,0.0,0.463
statement,will+expand,VIX_M,4,100,-0.459,0.0,0.459
statement,will+continue,VIX_M,-2,101,0.45,0.0,0.45
statement,would_per1k,VIX_M,-8,101,0.447,0.0,0.447
statement,can_per1k,VIX_M,0,101,0.443,0.0,0.443
minutes,would+help,VIX_M,6,97,0.44,0.0,0.44
statement,could_per1k,VIX_M,-5,101,0.437,0.0,0.437
statement,will+evolve,VIX_M,4,100,-0.437,0.0,0.437
press_conf,six_per1k,VIX_M,0,80,0.436,0.0001,0.436
statement,will+warrant,VIX_M,4,100,-0.434,0.0,0.434
minutes,would+continue,VIX_M,-6,99,0.43,0.0,0.43
minutes,could_per1k,VIX_M,5,97,0.413,0.0,0.413
press_conf,will+need,VIX_M,-3,80,0.412,0.0001,0.412
press_conf,will_per1k,CFNAI_MA3,1,80,-0.406,0.0002,0.406
press_conf,could_per1k,VIX_M,1,80,-0.401,0.0002,0.401
minutes,would+be+appropriate,VIX_M,1,99,0.398,0.0,0.398
press_conf,will+take,VIX_M,-7,80,0.386,0.0004,0.386
statement,novel_modal_per1k,CFNAI_MA3,2,101,-0.386,0.0001,0.386
minutes,will+continue,VIX_M,-9,99,0.382,0.0001,0.382
press_conf,will+go,VIX_M,7,77,0.374,0.0008,0.374
statement,will+take,CFNAI_MA3,5,99,-0.366,0.0002,0.366
minutes,would+take,VIX_M,-2,99,0.364,0.0002,0.364
statement,six_per1k,VIX_M,6,99,-0.363,0.0002,0.363
statement,will_per1k,CFNAI_MA3,3,101,0.362,0.0002,0.362
press_conf,can+do,CFNAI_MA3,4,79,0.359,0.0012,0.359
statement,should_per1k,VIX_M,7,98,-0.357,0.0003,0.357
statement,six_per1k,CFNAI_MA3,3,101,0.355,0.0003,0.355
press_conf,will+see,VIX_M,-7,80,0.343,0.0019,0.343
press_conf,could_per1k,CFNAI_MA3,2,80,0.333,0.0025,0.333
statement,novel_modal_per1k,VIX_M,0,101,0.329,0.0008,0.329
minutes,would_per1k,CFNAI_MA3,5,97,0.321,0.0014,0.321
press_conf,will+do,VIX_M,-7,80,0.319,0.004,0.319
press_conf,will+look,CFNAI_MA3,8,76,-0.312,0.0061,0.312
minutes,would+be+important,CFNAI_MA3,-2,99,-0.312,0.0017,0.312
press_conf,neg_can_per1k,CFNAI_MA3,-3,80,-0.307,0.0057,0.307
press_conf,six_per1k,CFNAI_MA3,5,78,0.306,0.0064,0.306
press_conf,neg_will_per1k,CFNAI_MA3,5,78,0.306,0.0065,0.306
press_conf,neg_can_per1k,VIX_M,-4,80,0.305,0.0059,0.305
statement,will_per1k,VIX_M,4,100,-0.303,0.0022,0.303
press_conf,will+take,CFNAI_MA3,5,78,-0.298,0.0081,0.298
press_conf,will+say,VIX_M,-4,80,0.296,0.0077,0.296
press_conf,may_per1k,VIX_M,7,77,-0.291,0.0102,0.291
press_conf,will+go,CFNAI_MA3,5,78,0.29,0.0101,0.29
press_conf,will+need,CFNAI_MA3,-2,80,-0.287,0.01,0.287
press_conf,would+say,VIX_M,-6,80,0.283,0.0109,0.283
press_conf,will+continue,CFNAI_MA3,5,78,0.282,0.0123,0.282
minutes,would+be+appropriate,CFNAI_MA3,-5,99,-0.275,0.0059,0.275
statement,will+take,VIX_M,0,101,-0.266,0.0072,0.266
minutes,would+help,CFNAI_MA3,8,95,-0.265,0.0094,0.265
minutes,should_per1k,VIX_M,-2,99,-0.26,0.0094,0.26
press_conf,would_per1k,VIX_M,8,76,-0.259,0.0241,0.259
minutes,could_per1k,CFNAI_MA3,5,97,-0.254,0.012,0.254
press_conf,will+have,CFNAI_MA3,4,79,-0.253,0.0242,0.253
minutes,will+take,VIX_M,8,95,-0.252,0.0139,0.252
press_conf,would+like,CFNAI_MA3,-8,80,0.25,0.025,0.25
minutes,would+be+important,VIX_M,-1,99,0.247,0.0137,0.247
minutes,neg_would_per1k,CFNAI_MA3,8,95,0.245,0.0166,0.245
minutes,may_per1k,VIX_M,-6,99,-0.243,0.0154,0.243
minutes,would_per1k,VIX_M,0,99,0.242,0.016,0.242
press_conf,can_per1k,CFNAI_MA3,4,79,0.237,0.0355,0.237
press_conf,would+like,VIX_M,-2,80,-0.236,0.035,0.236
press_conf,may_per1k,CFNAI_MA3,8,76,0.236,0.0406,0.236
press_conf,neg_would_per1k,VIX_M,6,78,-0.232,0.0414,0.232
